# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12480,"2025-09-11T14:43:10.312Z","11. 09. 2025 16:43"
"Registration of a test company @high @middle @low","Register a new company","passed",14396,"2025-09-11T14:43:24.857Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15070,"2025-09-11T14:43:40.858Z","11. 09. 2025 16:43"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3419,"2025-09-11T14:43:44.408Z","11. 09. 2025 16:43"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12804,"2025-09-11T14:43:59.178Z","11. 09. 2025 16:43"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",9000,"2025-09-11T14:44:10.231Z","11. 09. 2025 16:44"
"Individual due date - invoice @high @middle @low","Create contact","passed",3446,"2025-09-11T14:44:13.863Z","11. 09. 2025 16:44"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",5183,"2025-09-11T14:44:19.151Z","11. 09. 2025 16:44"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",16652,"2025-09-11T14:44:35.891Z","11. 09. 2025 16:44"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4597,"2025-09-11T14:44:40.604Z","11. 09. 2025 16:44"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9338,"2025-09-11T14:44:51.732Z","11. 09. 2025 16:44"
"Individual due date - proforma @middle @low","Create contact","passed",3535,"2025-09-11T14:44:55.417Z","11. 09. 2025 16:44"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5557,"2025-09-11T14:45:01.068Z","11. 09. 2025 16:45"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",17345,"2025-09-11T14:45:18.614Z","11. 09. 2025 16:45"
"Individual due date - proforma @middle @low","Delete contact","passed",4663,"2025-09-11T14:45:23.346Z","11. 09. 2025 16:45"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",9283,"2025-09-11T14:45:34.402Z","11. 09. 2025 16:45"
"Individual due date - corrective @low","Create contact","passed",4146,"2025-09-11T14:45:38.673Z","11. 09. 2025 16:45"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5057,"2025-09-11T14:45:43.899Z","11. 09. 2025 16:45"
"Individual due date - corrective @low","Create invoice for corrective","passed",18031,"2025-09-11T14:46:02.064Z","11. 09. 2025 16:46"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",13944,"2025-09-11T14:46:16.102Z","11. 09. 2025 16:46"
"Individual due date - corrective @low","Delete contact","passed",4730,"2025-09-11T14:46:20.884Z","11. 09. 2025 16:46"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",24470,"2025-09-11T14:46:47.082Z","11. 09. 2025 16:46"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date created","passed",26665,"2025-09-11T14:47:14.993Z","11. 09. 2025 16:47"
"Add bank account - invoice @high @middle @low","Add bank account","passed",27799,"2025-09-11T14:47:44.914Z","11. 09. 2025 16:47"
"Add bank account - proforma @high @middle @low","Add bank account","passed",27657,"2025-09-11T14:48:14.195Z","11. 09. 2025 16:48"
"Delete testing company @high @middle @low","Delete company","passed",16807,"2025-09-11T14:48:31.770Z","11. 09. 2025 16:48"
