# První spuštění paralelních testů - padl flaky test u registrace
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","failed",26245,"2025-07-09T19:43:47.419Z","09. 07. 2025 21:43"
"Registration of a test company @high @middle @low","Register a new company","passed",19349,"2025-07-09T19:44:06.846Z","09. 07. 2025 21:44"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16349,"2025-07-09T19:44:24.097Z","09. 07. 2025 21:44"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4293,"2025-07-09T19:44:28.440Z","09. 07. 2025 21:44"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12485,"2025-07-09T19:44:41.736Z","09. 07. 2025 21:44"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",51038,"2025-07-09T19:45:33.862Z","09. 07. 2025 21:45"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",3722,"2025-07-09T19:45:37.655Z","09. 07. 2025 21:45"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5752,"2025-07-09T19:45:43.476Z","09. 07. 2025 21:45"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",23147,"2025-07-09T19:46:06.704Z","09. 07. 2025 21:46"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",4471,"2025-07-09T19:46:11.221Z","09. 07. 2025 21:46"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",3928,"2025-07-09T19:46:15.188Z","09. 07. 2025 21:46"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4012,"2025-07-09T19:46:19.252Z","09. 07. 2025 21:46"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",51454,"2025-07-09T19:47:11.841Z","09. 07. 2025 21:47"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3676,"2025-07-09T19:47:15.594Z","09. 07. 2025 21:47"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",5013,"2025-07-09T19:47:20.658Z","09. 07. 2025 21:47"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",23277,"2025-07-09T19:47:44.021Z","09. 07. 2025 21:47"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",4544,"2025-07-09T19:47:48.613Z","09. 07. 2025 21:47"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",3925,"2025-07-09T19:47:52.579Z","09. 07. 2025 21:47"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",4404,"2025-07-09T19:47:57.017Z","09. 07. 2025 21:47"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",21198,"2025-07-09T19:48:19.250Z","09. 07. 2025 21:48"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4577,"2025-07-09T19:48:23.863Z","09. 07. 2025 21:48"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",21323,"2025-07-09T19:48:46.268Z","09. 07. 2025 21:48"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4330,"2025-07-09T19:48:50.635Z","09. 07. 2025 21:48"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",44605,"2025-07-09T19:49:36.263Z","09. 07. 2025 21:49"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",9811,"2025-07-09T19:49:46.152Z","09. 07. 2025 21:49"
"Add center in the invoice and control edited invoice @high @middle @low","Center is propagated to the corrective","passed",18675,"2025-07-09T19:50:04.906Z","09. 07. 2025 21:50"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 1","passed",4464,"2025-07-09T19:50:09.413Z","09. 07. 2025 21:50"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 2","passed",3910,"2025-07-09T19:50:13.362Z","09. 07. 2025 21:50"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 3","passed",4460,"2025-07-09T19:50:17.865Z","09. 07. 2025 21:50"
"Add center in the proforma and control edited proforma @low","Add three centers to the proforma and set them to the three proforma items","passed",44028,"2025-07-09T19:51:02.938Z","09. 07. 2025 21:51"
"Add center in the proforma and control edited proforma @low","Edit proforma and control centers are set","passed",10917,"2025-07-09T19:51:13.909Z","09. 07. 2025 21:51"
"Add center in the proforma and control edited proforma @low","Delete center 4","passed",4294,"2025-07-09T19:51:18.252Z","09. 07. 2025 21:51"
"Add center in the proforma and control edited proforma @low","Delete center 5","passed",4168,"2025-07-09T19:51:22.462Z","09. 07. 2025 21:51"
"Add center in the proforma and control edited proforma @low","Delete center 6","passed",3915,"2025-07-09T19:51:26.419Z","09. 07. 2025 21:51"
"Add activity in the invoice and control edited invoice @high @middle @low","Add three activity to the invoice and set them to the three invoice items","passed",44595,"2025-07-09T19:52:12.011Z","09. 07. 2025 21:52"
"Add activity in the invoice and control edited invoice @high @middle @low","Edit invoice and control activity are set","passed",10074,"2025-07-09T19:52:22.161Z","09. 07. 2025 21:52"
"Add activity in the invoice and control edited invoice @high @middle @low","Activity propagated to the corrective","passed",18420,"2025-07-09T19:52:40.633Z","09. 07. 2025 21:52"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 1","passed",4605,"2025-07-09T19:52:45.277Z","09. 07. 2025 21:52"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 2","passed",3903,"2025-07-09T19:52:49.223Z","09. 07. 2025 21:52"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 3","passed",3957,"2025-07-09T19:52:53.221Z","09. 07. 2025 21:52"
"Add activity in the proforma and control edited proforma @low","Add three activity to the proforma and set them to the three invoice items","passed",44952,"2025-07-09T19:53:39.158Z","09. 07. 2025 21:53"
"Add activity in the proforma and control edited proforma @low","Edit proforma and control activity are set","passed",10192,"2025-07-09T19:53:49.421Z","09. 07. 2025 21:53"
"Add activity in the proforma and control edited proforma @low","Delete activity 4","passed",4592,"2025-07-09T19:53:54.048Z","09. 07. 2025 21:53"
"Add activity in the proforma and control edited proforma @low","Delete activity 5","passed",4300,"2025-07-09T19:53:58.386Z","09. 07. 2025 21:53"
"Add activity in the proforma and control edited proforma @low","Delete activity 6","passed",3961,"2025-07-09T19:54:02.391Z","09. 07. 2025 21:54"
"Add project in the invoice and control edited invoice @low","Create contact","passed",10173,"2025-07-09T19:54:13.623Z","09. 07. 2025 21:54"
"Add project in the invoice and control edited invoice @low","Create center","passed",3757,"2025-07-09T19:54:17.436Z","09. 07. 2025 21:54"
"Add project in the invoice and control edited invoice @low","Create activity","passed",2905,"2025-07-09T19:54:20.418Z","09. 07. 2025 21:54"
"Add project in the invoice and control edited invoice @low","Add three project to the invoice and set them to the three invoice items","passed",49192,"2025-07-09T19:55:09.684Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Edit invoice and control projects are set","passed",9319,"2025-07-09T19:55:19.069Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Projects propagated to the corrective","passed",18535,"2025-07-09T19:55:37.721Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Delete contact","passed",4476,"2025-07-09T19:55:42.242Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Delete activity","passed",3950,"2025-07-09T19:55:46.232Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Delete center","passed",4285,"2025-07-09T19:55:50.568Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Delete project 1","passed",3972,"2025-07-09T19:55:54.585Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Delete project 2","passed",3942,"2025-07-09T19:55:58.574Z","09. 07. 2025 21:55"
"Add project in the invoice and control edited invoice @low","Delete project 3","passed",3955,"2025-07-09T19:56:02.567Z","09. 07. 2025 21:56"
"Add project in the invoice and control edited proforma @high @middle @low","Create contact","passed",9873,"2025-07-09T19:56:13.470Z","09. 07. 2025 21:56"
"Add project in the invoice and control edited proforma @high @middle @low","Create center","passed",3023,"2025-07-09T19:56:16.566Z","09. 07. 2025 21:56"
"Add project in the invoice and control edited proforma @high @middle @low","Create activity","passed",2703,"2025-07-09T19:56:19.317Z","09. 07. 2025 21:56"
"Add project in the invoice and control edited proforma @high @middle @low","Add three project to the proforma and set them to the three invoice items","passed",49226,"2025-07-09T19:57:08.653Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Edit proforma and control projects are set","passed",9808,"2025-07-09T19:57:18.533Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Delete contact","passed",4832,"2025-07-09T19:57:23.407Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Delete activity","passed",3932,"2025-07-09T19:57:27.381Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Delete center","passed",3922,"2025-07-09T19:57:31.363Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Delete project 1","passed",3941,"2025-07-09T19:57:35.348Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Delete project 2","passed",3926,"2025-07-09T19:57:39.323Z","09. 07. 2025 21:57"
"Add project in the invoice and control edited proforma @high @middle @low","Delete project 3","passed",3997,"2025-07-09T19:57:43.367Z","09. 07. 2025 21:57"
"Delete testing company @high @middle @low","Delete company","passed",18079,"2025-07-09T19:58:02.125Z","09. 07. 2025 21:58"
