"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",8965,"2025-08-19T16:09:38.681Z","19. 08. 2025 18:09"
"Registration of a test company @high @middle @low","Register a new company","passed",12391,"2025-08-19T16:09:51.127Z","19. 08. 2025 18:09"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",11294,"2025-08-19T16:10:03.387Z","19. 08. 2025 18:10"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2528,"2025-08-19T16:10:06.127Z","19. 08. 2025 18:10"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10568,"2025-08-19T16:10:18.408Z","19. 08. 2025 18:10"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",45681,"2025-08-19T16:11:05.280Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2480,"2025-08-19T16:11:07.852Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",3843,"2025-08-19T16:11:11.801Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",20433,"2025-08-19T16:11:32.443Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",3932,"2025-08-19T16:11:36.425Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",3831,"2025-08-19T16:11:40.308Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4123,"2025-08-19T16:11:44.475Z","19. 08. 2025 18:11"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",44794,"2025-08-19T16:12:30.831Z","19. 08. 2025 18:12"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",2298,"2025-08-19T16:12:33.219Z","19. 08. 2025 18:12"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",3822,"2025-08-19T16:12:37.170Z","19. 08. 2025 18:12"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",20352,"2025-08-19T16:12:57.629Z","19. 08. 2025 18:12"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",3659,"2025-08-19T16:13:01.346Z","19. 08. 2025 18:13"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",3753,"2025-08-19T16:13:05.139Z","19. 08. 2025 18:13"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",4129,"2025-08-19T16:13:09.314Z","19. 08. 2025 18:13"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",17470,"2025-08-19T16:13:28.280Z","19. 08. 2025 18:13"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",3938,"2025-08-19T16:13:32.258Z","19. 08. 2025 18:13"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",17308,"2025-08-19T16:13:50.924Z","19. 08. 2025 18:13"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",3752,"2025-08-19T16:13:54.714Z","19. 08. 2025 18:13"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",38092,"2025-08-19T16:14:34.048Z","19. 08. 2025 18:14"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",7373,"2025-08-19T16:14:41.493Z","19. 08. 2025 18:14"
"Add center in the invoice and control edited invoice @high @middle @low","Center is propagated to the corrective","passed",14272,"2025-08-19T16:14:55.821Z","19. 08. 2025 18:14"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 1","passed",3996,"2025-08-19T16:14:59.857Z","19. 08. 2025 18:14"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 2","passed",3732,"2025-08-19T16:15:03.618Z","19. 08. 2025 18:15"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 3","passed",3780,"2025-08-19T16:15:07.439Z","19. 08. 2025 18:15"
"Add center in the proforma and control edited proforma @low","Add three centers to the proforma and set them to the three proforma items","passed",38397,"2025-08-19T16:15:47.026Z","19. 08. 2025 18:15"
"Add center in the proforma and control edited proforma @low","Edit proforma and control centers are set","passed",7558,"2025-08-19T16:15:54.657Z","19. 08. 2025 18:15"
"Add center in the proforma and control edited proforma @low","Delete center 4","passed",3654,"2025-08-19T16:15:58.346Z","19. 08. 2025 18:15"
"Add center in the proforma and control edited proforma @low","Delete center 5","passed",3708,"2025-08-19T16:16:02.087Z","19. 08. 2025 18:16"
"Add center in the proforma and control edited proforma @low","Delete center 6","passed",3622,"2025-08-19T16:16:05.748Z","19. 08. 2025 18:16"
"Add activity in the invoice and control edited invoice @high @middle @low","Add three activity to the invoice and set them to the three invoice items","passed",38978,"2025-08-19T16:16:45.892Z","19. 08. 2025 18:16"
"Add activity in the invoice and control edited invoice @high @middle @low","Edit invoice and control activity are set","passed",7166,"2025-08-19T16:16:53.148Z","19. 08. 2025 18:16"
"Add activity in the invoice and control edited invoice @high @middle @low","Activity propagated to the corrective","passed",13804,"2025-08-19T16:17:07.031Z","19. 08. 2025 18:17"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 1","passed",3958,"2025-08-19T16:17:11.028Z","19. 08. 2025 18:17"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 2","passed",3732,"2025-08-19T16:17:14.789Z","19. 08. 2025 18:17"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 3","passed",3691,"2025-08-19T16:17:18.514Z","19. 08. 2025 18:17"
"Add activity in the proforma and control edited proforma @low","Add three activity to the proforma and set them to the three invoice items","passed",38520,"2025-08-19T16:17:58.357Z","19. 08. 2025 18:17"
"Add activity in the proforma and control edited proforma @low","Edit proforma and control activity are set","passed",7245,"2025-08-19T16:18:05.734Z","19. 08. 2025 18:18"
"Add activity in the proforma and control edited proforma @low","Delete activity 4","passed",3747,"2025-08-19T16:18:09.571Z","19. 08. 2025 18:18"
"Add activity in the proforma and control edited proforma @low","Delete activity 5","passed",3664,"2025-08-19T16:18:13.295Z","19. 08. 2025 18:18"
"Add activity in the proforma and control edited proforma @low","Delete activity 6","passed",3712,"2025-08-19T16:18:17.051Z","19. 08. 2025 18:18"
"Add project in the invoice and control edited invoice @low","Create contact","passed",7052,"2025-08-19T16:18:25.259Z","19. 08. 2025 18:18"
"Add project in the invoice and control edited invoice @low","Create center","passed",2161,"2025-08-19T16:18:27.493Z","19. 08. 2025 18:18"
"Add project in the invoice and control edited invoice @low","Create activity","passed",1993,"2025-08-19T16:18:29.543Z","19. 08. 2025 18:18"
"Add project in the invoice and control edited invoice @low","Add three project to the invoice and set them to the three invoice items","passed",44036,"2025-08-19T16:19:13.675Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Edit invoice and control projects are set","passed",7284,"2025-08-19T16:19:21.061Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Projects propagated to the corrective","passed",14462,"2025-08-19T16:19:35.582Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Delete contact","passed",3944,"2025-08-19T16:19:39.570Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Delete activity","passed",3834,"2025-08-19T16:19:43.468Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Delete center","passed",3736,"2025-08-19T16:19:47.250Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Delete project 1","passed",3741,"2025-08-19T16:19:51.040Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Delete project 2","passed",3850,"2025-08-19T16:19:54.929Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited invoice @low","Delete project 3","passed",3679,"2025-08-19T16:19:58.642Z","19. 08. 2025 18:19"
"Add project in the invoice and control edited proforma @high @middle @low","Create contact","passed",6702,"2025-08-19T16:20:06.588Z","19. 08. 2025 18:20"
"Add project in the invoice and control edited proforma @high @middle @low","Create center","passed",2102,"2025-08-19T16:20:08.773Z","19. 08. 2025 18:20"
"Add project in the invoice and control edited proforma @high @middle @low","Create activity","passed",1944,"2025-08-19T16:20:10.790Z","19. 08. 2025 18:20"
