# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9789,"2025-08-25T13:13:12.546Z","25. 08. 2025 15:13"
"Registration of a test company @high @middle @low","Register a new company","passed",12229,"2025-08-25T13:13:24.825Z","25. 08. 2025 15:13"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",13888,"2025-08-25T13:13:39.394Z","25. 08. 2025 15:13"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2398,"2025-08-25T13:13:41.820Z","25. 08. 2025 15:13"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12495,"2025-08-25T13:13:54.969Z","25. 08. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",46923,"2025-08-25T13:14:42.924Z","25. 08. 2025 15:14"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",3503,"2025-08-25T13:14:46.461Z","25. 08. 2025 15:14"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",4784,"2025-08-25T13:14:51.276Z","25. 08. 2025 15:14"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",21332,"2025-08-25T13:15:12.658Z","25. 08. 2025 15:15"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2383,"2025-08-25T13:15:15.069Z","25. 08. 2025 15:15"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2819,"2025-08-25T13:15:17.909Z","25. 08. 2025 15:15"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5164,"2025-08-25T13:15:23.107Z","25. 08. 2025 15:15"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",47619,"2025-08-25T13:16:11.779Z","25. 08. 2025 15:16"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",6006,"2025-08-25T13:16:17.828Z","25. 08. 2025 15:16"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",5421,"2025-08-25T13:16:23.278Z","25. 08. 2025 15:16"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",20702,"2025-08-25T13:16:44.030Z","25. 08. 2025 15:16"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",1940,"2025-08-25T13:16:46.017Z","25. 08. 2025 15:16"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",2863,"2025-08-25T13:16:48.898Z","25. 08. 2025 15:16"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",5029,"2025-08-25T13:16:53.960Z","25. 08. 2025 15:16"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",18898,"2025-08-25T13:17:13.881Z","25. 08. 2025 15:17"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4363,"2025-08-25T13:17:18.285Z","25. 08. 2025 15:17"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",18443,"2025-08-25T13:17:37.586Z","25. 08. 2025 15:17"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",3954,"2025-08-25T13:17:41.584Z","25. 08. 2025 15:17"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",41118,"2025-08-25T13:18:23.606Z","25. 08. 2025 15:18"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",7587,"2025-08-25T13:18:31.241Z","25. 08. 2025 15:18"
"Add center in the invoice and control edited invoice @high @middle @low","Center is propagated to the corrective","passed",14516,"2025-08-25T13:18:45.799Z","25. 08. 2025 15:18"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 1","passed",4079,"2025-08-25T13:18:49.915Z","25. 08. 2025 15:18"
