# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",14393,"2025-09-03T16:25:45.484Z","03. 09. 2025 18:25"
"Registration of a test company @high @middle @low","Register a new company","passed",14195,"2025-09-03T16:25:59.712Z","03. 09. 2025 18:25"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17578,"2025-09-03T16:26:18.048Z","03. 09. 2025 18:26"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3110,"2025-09-03T16:26:21.209Z","03. 09. 2025 18:26"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13330,"2025-09-03T16:26:35.396Z","03. 09. 2025 18:26"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",49651,"2025-09-03T16:27:26.421Z","03. 09. 2025 18:27"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2937,"2025-09-03T16:27:29.424Z","03. 09. 2025 18:27"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5062,"2025-09-03T16:27:34.570Z","03. 09. 2025 18:27"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",22087,"2025-09-03T16:27:56.776Z","03. 09. 2025 18:27"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2145,"2025-09-03T16:27:58.983Z","03. 09. 2025 18:27"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2757,"2025-09-03T16:28:01.795Z","03. 09. 2025 18:28"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5188,"2025-09-03T16:28:07.024Z","03. 09. 2025 18:28"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",48501,"2025-09-03T16:28:56.743Z","03. 09. 2025 18:28"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",2776,"2025-09-03T16:28:59.602Z","03. 09. 2025 18:28"
