# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11143,"2025-09-08T08:17:48.882Z","08. 09. 2025 10:17"
"Registration of a test company @high @middle @low","Register a new company","passed",12146,"2025-09-08T08:18:01.091Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",13819,"2025-09-08T08:18:15.905Z","08. 09. 2025 10:18"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3207,"2025-09-08T08:18:19.253Z","08. 09. 2025 10:18"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13256,"2025-09-08T08:18:34.847Z","08. 09. 2025 10:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",51399,"2025-09-08T08:19:28.202Z","08. 09. 2025 10:19"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2852,"2025-09-08T08:19:31.165Z","08. 09. 2025 10:19"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",4744,"2025-09-08T08:19:36.002Z","08. 09. 2025 10:19"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",23806,"2025-09-08T08:19:59.932Z","08. 09. 2025 10:19"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2476,"2025-09-08T08:20:02.564Z","08. 09. 2025 10:20"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2724,"2025-09-08T08:20:05.486Z","08. 09. 2025 10:20"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4983,"2025-09-08T08:20:10.583Z","08. 09. 2025 10:20"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",51134,"2025-09-08T08:21:04.215Z","08. 09. 2025 10:21"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3938,"2025-09-08T08:21:08.501Z","08. 09. 2025 10:21"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",5335,"2025-09-08T08:21:13.980Z","08. 09. 2025 10:21"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",23541,"2025-09-08T08:21:37.691Z","08. 09. 2025 10:21"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",2691,"2025-09-08T08:21:40.500Z","08. 09. 2025 10:21"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",2669,"2025-09-08T08:21:43.290Z","08. 09. 2025 10:21"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",5038,"2025-09-08T08:21:48.414Z","08. 09. 2025 10:21"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",22438,"2025-09-08T08:22:13.289Z","08. 09. 2025 10:22"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4304,"2025-09-08T08:22:17.693Z","08. 09. 2025 10:22"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",21654,"2025-09-08T08:22:41.509Z","08. 09. 2025 10:22"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4104,"2025-09-08T08:22:45.789Z","08. 09. 2025 10:22"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",43420,"2025-09-08T08:23:30.674Z","08. 09. 2025 10:23"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",8552,"2025-09-08T08:23:39.294Z","08. 09. 2025 10:23"
"Add center in the invoice and control edited invoice @high @middle @low","Center is propagated to the corrective","passed",15168,"2025-09-08T08:23:54.537Z","08. 09. 2025 10:23"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 1","passed",4194,"2025-09-08T08:23:58.783Z","08. 09. 2025 10:23"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 2","passed",3867,"2025-09-08T08:24:02.686Z","08. 09. 2025 10:24"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 3","passed",3900,"2025-09-08T08:24:06.628Z","08. 09. 2025 10:24"
"Add center in the proforma and control edited proforma @low","Add three centers to the proforma and set them to the three proforma items","passed",41829,"2025-09-08T08:24:49.638Z","08. 09. 2025 10:24"
"Add center in the proforma and control edited proforma @low","Edit proforma and control centers are set","passed",8304,"2025-09-08T08:24:58.018Z","08. 09. 2025 10:24"
"Add center in the proforma and control edited proforma @low","Delete center 4","passed",3837,"2025-09-08T08:25:01.903Z","08. 09. 2025 10:25"
"Add center in the proforma and control edited proforma @low","Delete center 5","passed",3895,"2025-09-08T08:25:05.833Z","08. 09. 2025 10:25"
"Add center in the proforma and control edited proforma @low","Delete center 6","passed",3898,"2025-09-08T08:25:09.779Z","08. 09. 2025 10:25"
"Add activity in the invoice and control edited invoice @high @middle @low","Add three activity to the invoice and set them to the three invoice items","passed",39707,"2025-09-08T08:25:50.625Z","08. 09. 2025 10:25"
"Add activity in the invoice and control edited invoice @high @middle @low","Edit invoice and control activity are set","passed",7716,"2025-09-08T08:25:58.424Z","08. 09. 2025 10:25"
"Add activity in the invoice and control edited invoice @high @middle @low","Activity propagated to the corrective","passed",14574,"2025-09-08T08:26:13.056Z","08. 09. 2025 10:26"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 1","passed",4291,"2025-09-08T08:26:17.395Z","08. 09. 2025 10:26"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 2","passed",3887,"2025-09-08T08:26:21.325Z","08. 09. 2025 10:26"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 3","passed",3830,"2025-09-08T08:26:25.218Z","08. 09. 2025 10:26"
"Add activity in the proforma and control edited proforma @low","Add three activity to the proforma and set them to the three invoice items","passed",39179,"2025-09-08T08:27:05.587Z","08. 09. 2025 10:27"
"Add activity in the proforma and control edited proforma @low","Edit proforma and control activity are set","passed",8922,"2025-09-08T08:27:14.571Z","08. 09. 2025 10:27"
"Add activity in the proforma and control edited proforma @low","Delete activity 4","passed",3760,"2025-09-08T08:27:18.369Z","08. 09. 2025 10:27"
"Add activity in the proforma and control edited proforma @low","Delete activity 5","passed",4000,"2025-09-08T08:27:22.412Z","08. 09. 2025 10:27"
"Add activity in the proforma and control edited proforma @low","Delete activity 6","passed",3867,"2025-09-08T08:27:26.330Z","08. 09. 2025 10:27"
"Add project in the invoice and control edited invoice @low","Create contact","passed",8233,"2025-09-08T08:27:35.826Z","08. 09. 2025 10:27"
"Add project in the invoice and control edited invoice @low","Create center","passed",3065,"2025-09-08T08:27:38.981Z","08. 09. 2025 10:27"
"Add project in the invoice and control edited invoice @low","Create activity","passed",2550,"2025-09-08T08:27:41.613Z","08. 09. 2025 10:27"
"Add project in the invoice and control edited invoice @low","Add three project to the invoice and set them to the three invoice items","passed",45415,"2025-09-08T08:28:27.381Z","08. 09. 2025 10:28"
"Add project in the invoice and control edited invoice @low","Edit invoice and control projects are set","passed",7774,"2025-09-08T08:28:35.244Z","08. 09. 2025 10:28"
"Add project in the invoice and control edited invoice @low","Projects propagated to the corrective","passed",15232,"2025-09-08T08:28:50.563Z","08. 09. 2025 10:28"
"Add project in the invoice and control edited invoice @low","Delete contact","passed",4914,"2025-09-08T08:28:55.543Z","08. 09. 2025 10:28"
"Add project in the invoice and control edited invoice @low","Delete activity","passed",3938,"2025-09-08T08:28:59.614Z","08. 09. 2025 10:28"
"Add project in the invoice and control edited invoice @low","Delete center","passed",3876,"2025-09-08T08:29:03.549Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited invoice @low","Delete project 1","passed",3844,"2025-09-08T08:29:07.441Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited invoice @low","Delete project 2","passed",3773,"2025-09-08T08:29:11.256Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited invoice @low","Delete project 3","passed",3829,"2025-09-08T08:29:15.118Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited proforma @high @middle @low","Create contact","passed",7784,"2025-09-08T08:29:24.242Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited proforma @high @middle @low","Create center","passed",2890,"2025-09-08T08:29:27.211Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited proforma @high @middle @low","Create activity","passed",2680,"2025-09-08T08:29:29.953Z","08. 09. 2025 10:29"
"Add project in the invoice and control edited proforma @high @middle @low","Add three project to the proforma and set them to the three invoice items","passed",45549,"2025-09-08T08:30:15.614Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Edit proforma and control projects are set","passed",7945,"2025-09-08T08:30:23.643Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Delete contact","passed",4533,"2025-09-08T08:30:28.253Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Delete activity","passed",3975,"2025-09-08T08:30:32.275Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Delete center","passed",3800,"2025-09-08T08:30:36.119Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Delete project 1","passed",3807,"2025-09-08T08:30:39.974Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Delete project 2","passed",3869,"2025-09-08T08:30:43.893Z","08. 09. 2025 10:30"
"Add project in the invoice and control edited proforma @high @middle @low","Delete project 3","passed",3835,"2025-09-08T08:30:47.775Z","08. 09. 2025 10:30"
"Delete testing company @high @middle @low","Delete company","passed",14347,"2025-09-08T08:31:02.961Z","08. 09. 2025 10:31"
