# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11943,"2025-09-10T15:30:05.924Z","10. 09. 2025 17:30"
"Registration of a test company @high @middle @low","Register a new company","passed",12905,"2025-09-10T15:30:19.061Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15198,"2025-09-10T15:30:35.099Z","10. 09. 2025 17:30"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2858,"2025-09-10T15:30:38.139Z","10. 09. 2025 17:30"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12234,"2025-09-10T15:30:51.967Z","10. 09. 2025 17:30"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",51043,"2025-09-10T15:31:44.590Z","10. 09. 2025 17:31"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2876,"2025-09-10T15:31:47.694Z","10. 09. 2025 17:31"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5423,"2025-09-10T15:31:53.271Z","10. 09. 2025 17:31"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",23703,"2025-09-10T15:32:17.090Z","10. 09. 2025 17:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2204,"2025-09-10T15:32:19.497Z","10. 09. 2025 17:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2826,"2025-09-10T15:32:22.393Z","10. 09. 2025 17:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5141,"2025-09-10T15:32:27.591Z","10. 09. 2025 17:32"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",52798,"2025-09-10T15:33:23.343Z","10. 09. 2025 17:33"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3809,"2025-09-10T15:33:27.333Z","10. 09. 2025 17:33"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",6108,"2025-09-10T15:33:33.655Z","10. 09. 2025 17:33"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",23723,"2025-09-10T15:33:57.547Z","10. 09. 2025 17:33"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",2384,"2025-09-10T15:34:00.103Z","10. 09. 2025 17:34"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",3006,"2025-09-10T15:34:03.242Z","10. 09. 2025 17:34"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",4940,"2025-09-10T15:34:08.278Z","10. 09. 2025 17:34"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",22741,"2025-09-10T15:34:34.084Z","10. 09. 2025 17:34"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",5420,"2025-09-10T15:34:39.659Z","10. 09. 2025 17:34"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",21609,"2025-09-10T15:35:03.613Z","10. 09. 2025 17:35"
