# První test občas padá na tom, že se nezobrazí alert o smazání firmy, testy jsou v pořádku
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","failed",20631,"2025-07-04T06:52:05.654Z","04. 07. 2025 08:52"
"Registration of a test company @high @middle @low","Registers a new company","passed",13283,"2025-07-04T06:52:19.009Z","04. 07. 2025 08:52"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17166,"2025-07-04T06:52:37.038Z","04. 07. 2025 08:52"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4464,"2025-07-04T06:52:41.622Z","04. 07. 2025 08:52"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13163,"2025-07-04T06:52:55.697Z","04. 07. 2025 08:52"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Log: All invoice variables to console","passed",5451,"2025-07-04T06:53:02.229Z","04. 07. 2025 08:53"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Generate invoice with 21%, 12%, 0%, and NO VAT items","passed",30584,"2025-07-04T06:53:32.879Z","04. 07. 2025 08:53"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5287,"2025-07-04T06:53:38.213Z","04. 07. 2025 08:53"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",22599,"2025-07-04T06:54:00.884Z","04. 07. 2025 08:54"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5074,"2025-07-04T06:54:05.998Z","04. 07. 2025 08:54"
"Invoice creation - No VAT mode, with rounding @middle @low","Log: All invoice variables to console","passed",5525,"2025-07-04T06:54:12.582Z","04. 07. 2025 08:54"
"Invoice creation - No VAT mode, with rounding @middle @low","Generate invoice with 21%, 12%, 0%, and NO VAT items with rounding","passed",32181,"2025-07-04T06:54:44.868Z","04. 07. 2025 08:54"
"Invoice creation - Including VAT mode, no rounding @middle @low","Log: All invoice variables to console","passed",5614,"2025-07-04T06:54:51.522Z","04. 07. 2025 08:54"
"Invoice creation - Including VAT mode, no rounding @middle @low","Generates invoice with 21%, 12%, 0%, and NO VAT items","passed",23036,"2025-07-04T06:55:14.631Z","04. 07. 2025 08:55"
"Proforma creation - No VAT mode, no rounding @high @middle @low","Log: All invoice variables to console","passed",5831,"2025-07-04T06:55:21.524Z","04. 07. 2025 08:55"
"Proforma creation - No VAT mode, no rounding @high @middle @low","Generates proforma with 21%, 12%, 0%, and NO VAT items","passed",32007,"2025-07-04T06:55:53.607Z","04. 07. 2025 08:55"
"Proforma creation - No VAT mode, no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",4688,"2025-07-04T06:55:58.340Z","04. 07. 2025 08:55"
"Proforma creation - No VAT mode, no rounding @high @middle @low","Editing proforma and change price in the VAT items","passed",23072,"2025-07-04T06:56:21.502Z","04. 07. 2025 08:56"
"Proforma creation - No VAT mode, no rounding @high @middle @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5131,"2025-07-04T06:56:26.665Z","04. 07. 2025 08:56"
"Proforma creation - No VAT mode, with rounding @middle @low","Log: All invoice variables to console","passed",5211,"2025-07-04T06:56:32.919Z","04. 07. 2025 08:56"
"Proforma creation - No VAT mode, with rounding @middle @low","Generates proforma with 21%, 12%, 0%, and NO VAT items with rounding","passed",32280,"2025-07-04T06:57:05.280Z","04. 07. 2025 08:57"
"Proforma creation - Including VAT mode, no rounding @middle @low","Log: All invoice variables to console","passed",5566,"2025-07-04T06:57:11.907Z","04. 07. 2025 08:57"
"Proforma creation - Including VAT mode, no rounding @middle @low","Generates proforma with 21%, 12%, 0%, and Include VAT items no rounding","passed",22574,"2025-07-04T06:57:34.551Z","04. 07. 2025 08:57"
"Deposit creation - No VAT mode, no rounding @high @middle @low","Log: All invoice variables to console","passed",5463,"2025-07-04T06:57:41.089Z","04. 07. 2025 08:57"
"Deposit creation - No VAT mode, no rounding @high @middle @low","Delete all invoices","passed",5957,"2025-07-04T06:57:47.077Z","04. 07. 2025 08:57"
"Deposit creation - No VAT mode, no rounding @high @middle @low","Generates proforma with 21%, 12%, 0%","passed",28844,"2025-07-04T06:58:15.987Z","04. 07. 2025 08:58"
"Deposit creation - No VAT mode, no rounding @high @middle @low","Generate deposit for proforma","passed",17479,"2025-07-04T06:58:33.578Z","04. 07. 2025 08:58"
"Deposit creation - No VAT mode, no rounding @high @middle @low","Generate final invoice","passed",20537,"2025-07-04T06:58:54.230Z","04. 07. 2025 08:58"
"Deposit creation - No VAT mode, with rounding @low","Log: All invoice variables to console","passed",5305,"2025-07-04T06:59:00.620Z","04. 07. 2025 08:59"
"Deposit creation - No VAT mode, with rounding @low","Delete all invoices","passed",6042,"2025-07-04T06:59:06.693Z","04. 07. 2025 08:59"
"Deposit creation - No VAT mode, with rounding @low","Generates proforma with 21%, 12%, 0%,","passed",28914,"2025-07-04T06:59:35.668Z","04. 07. 2025 08:59"
"Deposit creation - No VAT mode, with rounding @low","Generate deposit for proforma","passed",18104,"2025-07-04T06:59:53.883Z","04. 07. 2025 08:59"
"Deposit creation - No VAT mode, with rounding @low","Generate final invoice","passed",22997,"2025-07-04T07:00:17.009Z","04. 07. 2025 09:00"
"Corrective creation - No VAT mode, no rounding  @high @middle @low","Log: All invoice variables to console","passed",5857,"2025-07-04T07:00:23.924Z","04. 07. 2025 09:00"
"Corrective creation - No VAT mode, no rounding  @high @middle @low","Generate invoice with 21%, 12%, 0%","passed",34027,"2025-07-04T07:00:58.049Z","04. 07. 2025 09:00"
"Corrective creation - No VAT mode, no rounding  @high @middle @low","Generate corrective","passed",20851,"2025-07-04T07:01:19.019Z","04. 07. 2025 09:01"
"Delete Company @high @middle @low","Delete company","passed",18597,"2025-07-04T07:01:38.406Z","04. 07. 2025 09:01"
