"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12867,"2025-07-04T07:17:09.847Z","04. 07. 2025 09:17"
"Registration of a test company @high @middle @low","Registers a new company","passed",12646,"2025-07-04T07:17:22.524Z","04. 07. 2025 09:17"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",18353,"2025-07-04T07:17:41.707Z","04. 07. 2025 09:17"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4488,"2025-07-04T07:17:46.302Z","04. 07. 2025 09:17"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13277,"2025-07-04T07:18:00.480Z","04. 07. 2025 09:18"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5635,"2025-07-04T07:18:07.239Z","04. 07. 2025 09:18"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21%, 12%, 0%, and NO VAT items","passed",30762,"2025-07-04T07:18:38.072Z","04. 07. 2025 09:18"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5264,"2025-07-04T07:18:43.387Z","04. 07. 2025 09:18"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",23148,"2025-07-04T07:19:06.604Z","04. 07. 2025 09:19"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",7120,"2025-07-04T07:19:13.764Z","04. 07. 2025 09:19"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",5542,"2025-07-04T07:19:20.390Z","04. 07. 2025 09:19"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21%, 12%, 0%, and NO VAT items with rounding","passed",31604,"2025-07-04T07:19:52.088Z","04. 07. 2025 09:19"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5244,"2025-07-04T07:19:58.416Z","04. 07. 2025 09:19"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21%, 12%, 0%, and NO VAT items","passed",22331,"2025-07-04T07:20:20.817Z","04. 07. 2025 09:20"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5411,"2025-07-04T07:20:27.292Z","04. 07. 2025 09:20"
"Proforma creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21%, 12%, 0%, and NO VAT items","passed",32081,"2025-07-04T07:20:59.452Z","04. 07. 2025 09:20"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",6423,"2025-07-04T07:21:05.919Z","04. 07. 2025 09:21"
"Proforma creation - No VAT mode no rounding @high @middle @low","Editing proforma and change price in the VAT items","passed",23292,"2025-07-04T07:21:29.313Z","04. 07. 2025 09:21"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5222,"2025-07-04T07:21:34.578Z","04. 07. 2025 09:21"
"Proforma creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",5653,"2025-07-04T07:21:41.319Z","04. 07. 2025 09:21"
"Proforma creation - No VAT mode with rounding @middle @low","Generates proforma with 21%, 12%, 0%, and NO VAT items with rounding","passed",32735,"2025-07-04T07:22:14.165Z","04. 07. 2025 09:22"
"Proforma creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5327,"2025-07-04T07:22:20.691Z","04. 07. 2025 09:22"
"Proforma creation - Including VAT mode no rounding @middle @low","Generates proforma with 21%, 12%, 0%, and Include VAT items no rounding","passed",22801,"2025-07-04T07:22:43.559Z","04. 07. 2025 09:22"
"Deposit creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5315,"2025-07-04T07:22:49.931Z","04. 07. 2025 09:22"
"Deposit creation - No VAT mode no rounding @high @middle @low","Delete all invoices","passed",5923,"2025-07-04T07:22:55.884Z","04. 07. 2025 09:22"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21%, 12%, 0%","passed",28594,"2025-07-04T07:23:24.540Z","04. 07. 2025 09:23"
