# Běh testů paralelně
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",19618,"2025-07-04T17:01:12.462Z","04. 07. 2025 19:01"
"Registration of a test company @high @middle @low","Registers a new company","passed",16646,"2025-07-04T17:01:29.142Z","04. 07. 2025 19:01"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",19635,"2025-07-04T17:01:49.597Z","04. 07. 2025 19:01"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4815,"2025-07-04T17:01:54.531Z","04. 07. 2025 19:01"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14853,"2025-07-04T17:02:10.209Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5847,"2025-07-04T17:02:17.158Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",28983,"2025-07-04T17:02:46.222Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5084,"2025-07-04T17:02:51.357Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",23053,"2025-07-04T17:03:14.538Z","04. 07. 2025 19:03"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5006,"2025-07-04T17:03:19.607Z","04. 07. 2025 19:03"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",6631,"2025-07-04T17:03:27.258Z","04. 07. 2025 19:03"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",31004,"2025-07-04T17:03:58.355Z","04. 07. 2025 19:03"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5815,"2025-07-04T17:04:05.250Z","04. 07. 2025 19:04"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",20870,"2025-07-04T17:04:26.193Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",6552,"2025-07-04T17:04:33.842Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0% and NO VAT items","passed",31260,"2025-07-04T17:05:05.204Z","04. 07. 2025 19:05"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",5162,"2025-07-04T17:05:10.421Z","04. 07. 2025 19:05"
"Proforma creation - No VAT mode no rounding @high @middle @low","Editing proforma and change price in the VAT items","passed",22859,"2025-07-04T17:05:33.748Z","04. 07. 2025 19:05"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5116,"2025-07-04T17:05:38.920Z","04. 07. 2025 19:05"
"Proforma creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",5710,"2025-07-04T17:05:45.734Z","04. 07. 2025 19:05"
"Proforma creation - No VAT mode with rounding @middle @low","Generates proforma with 21% 12% 0% and NO VAT items with rounding","passed",31185,"2025-07-04T17:06:16.994Z","04. 07. 2025 19:06"
"Proforma creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5923,"2025-07-04T17:06:23.975Z","04. 07. 2025 19:06"
