#Testy po přechod na nový server fungují
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",8202,"2025-07-29T09:50:17.521Z","29. 07. 2025 11:50"
"Registration of a test company @high @middle @low","Registers a new company","passed",11219,"2025-07-29T09:50:28.790Z","29. 07. 2025 11:50"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",10469,"2025-07-29T09:50:40.053Z","29. 07. 2025 11:50"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2581,"2025-07-29T09:50:42.711Z","29. 07. 2025 11:50"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10216,"2025-07-29T09:50:54.036Z","29. 07. 2025 11:50"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",3925,"2025-07-29T09:50:58.987Z","29. 07. 2025 11:50"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",29986,"2025-07-29T09:51:29.082Z","29. 07. 2025 11:51"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4105,"2025-07-29T09:51:33.254Z","29. 07. 2025 11:51"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",18262,"2025-07-29T09:51:51.625Z","29. 07. 2025 11:51"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",4052,"2025-07-29T09:51:55.735Z","29. 07. 2025 11:51"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",3648,"2025-07-29T09:52:00.451Z","29. 07. 2025 11:52"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",28726,"2025-07-29T09:52:29.281Z","29. 07. 2025 11:52"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",3737,"2025-07-29T09:52:34.106Z","29. 07. 2025 11:52"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",18076,"2025-07-29T09:52:52.258Z","29. 07. 2025 11:52"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",3733,"2025-07-29T09:52:57.085Z","29. 07. 2025 11:52"
"Proforma creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0% and NO VAT items","passed",28040,"2025-07-29T09:53:25.208Z","29. 07. 2025 11:53"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",4043,"2025-07-29T09:53:29.332Z","29. 07. 2025 11:53"
"Proforma creation - No VAT mode no rounding @high @middle @low","Editing proforma and change price in the VAT items","passed",19760,"2025-07-29T09:53:49.180Z","29. 07. 2025 11:53"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4453,"2025-07-29T09:53:53.687Z","29. 07. 2025 11:53"
"Proforma creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",3638,"2025-07-29T09:53:58.487Z","29. 07. 2025 11:53"
"Proforma creation - No VAT mode with rounding @middle @low","Generates proforma with 21% 12% 0% and NO VAT items with rounding","passed",29592,"2025-07-29T09:54:28.206Z","29. 07. 2025 11:54"
"Proforma creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",3732,"2025-07-29T09:54:33.026Z","29. 07. 2025 11:54"
"Proforma creation - Including VAT mode no rounding @middle @low","Generates proforma with 21% 12% 0% and Include VAT items no rounding","passed",19705,"2025-07-29T09:54:52.798Z","29. 07. 2025 11:54"
"Deposit creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",3908,"2025-07-29T09:54:57.868Z","29. 07. 2025 11:54"
"Deposit creation - No VAT mode no rounding @high @middle @low","Delete all invoices","passed",3628,"2025-07-29T09:55:01.544Z","29. 07. 2025 11:55"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0%","passed",23236,"2025-07-29T09:55:24.848Z","29. 07. 2025 11:55"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generate deposit for proforma","passed",12055,"2025-07-29T09:55:37.027Z","29. 07. 2025 11:55"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generate final invoice","passed",13924,"2025-07-29T09:55:51.091Z","29. 07. 2025 11:55"
"Deposit creation - No VAT mode with rounding @low","Log: All invoice variables to console","passed",4859,"2025-07-29T09:55:57.087Z","29. 07. 2025 11:55"
"Deposit creation - No VAT mode with rounding @low","Delete all invoices","passed",3408,"2025-07-29T09:56:00.528Z","29. 07. 2025 11:56"
"Deposit creation - No VAT mode with rounding @low","Generates proforma with 21% 12% 0%","passed",23714,"2025-07-29T09:56:24.331Z","29. 07. 2025 11:56"
"Deposit creation - No VAT mode with rounding @low","Generate deposit for proforma","passed",11645,"2025-07-29T09:56:36.126Z","29. 07. 2025 11:56"
"Deposit creation - No VAT mode with rounding @low","Generate final invoice","passed",13590,"2025-07-29T09:56:49.835Z","29. 07. 2025 11:56"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Log: All invoice variables to console","passed",3524,"2025-07-29T09:56:54.409Z","29. 07. 2025 11:56"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Generate invoice with 21% 12% 0%","passed",29276,"2025-07-29T09:57:23.784Z","29. 07. 2025 11:57"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Generate corrective","passed",15123,"2025-07-29T09:57:39.010Z","29. 07. 2025 11:57"
"Delete Company @high @middle @low","Delete company","passed",14230,"2025-07-29T09:57:53.919Z","29. 07. 2025 11:57"
