# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15741,"2025-08-25T10:55:13.796Z","25. 08. 2025 12:55"
"Registration of a test company @high @middle @low","Registers a new company","passed",18935,"2025-08-25T10:55:32.786Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17619,"2025-08-25T10:55:51.755Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3752,"2025-08-25T10:55:55.739Z","25. 08. 2025 12:55"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13850,"2025-08-25T10:56:11.121Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",6535,"2025-08-25T10:56:19.148Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",30768,"2025-08-25T10:56:50.081Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4622,"2025-08-25T10:56:54.767Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",21539,"2025-08-25T10:57:16.453Z","25. 08. 2025 12:57"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",4571,"2025-08-25T10:57:21.090Z","25. 08. 2025 12:57"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",4860,"2025-08-25T10:57:27.343Z","25. 08. 2025 12:57"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",32674,"2025-08-25T10:58:00.128Z","25. 08. 2025 12:58"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",4561,"2025-08-25T10:58:06.124Z","25. 08. 2025 12:58"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",22860,"2025-08-25T10:58:29.086Z","25. 08. 2025 12:58"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5919,"2025-08-25T10:58:36.461Z","25. 08. 2025 12:58"
