# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC spadl pouze flak test na smazání firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12596,"2025-08-31T17:27:06.224Z","31. 08. 2025 19:27"
"Registration of a test company @high @middle @low","Registers a new company","passed",13037,"2025-08-31T17:27:19.337Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14004,"2025-08-31T17:27:34.242Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3972,"2025-08-31T17:27:38.420Z","31. 08. 2025 19:27"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11932,"2025-08-31T17:27:52.089Z","31. 08. 2025 19:27"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4926,"2025-08-31T17:27:58.508Z","31. 08. 2025 19:27"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",33343,"2025-08-31T17:28:32.003Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5345,"2025-08-31T17:28:37.484Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",25013,"2025-08-31T17:29:02.724Z","31. 08. 2025 19:29"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",6471,"2025-08-31T17:29:09.300Z","31. 08. 2025 19:29"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",6992,"2025-08-31T17:29:19.133Z","31. 08. 2025 19:29"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",36090,"2025-08-31T17:29:55.410Z","31. 08. 2025 19:29"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5262,"2025-08-31T17:30:02.633Z","31. 08. 2025 19:30"
