# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13153,"2025-09-03T14:30:57.074Z","03. 09. 2025 16:30"
"Registration of a test company @high @middle @low","Registers a new company","passed",17664,"2025-09-03T14:31:14.840Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17032,"2025-09-03T14:31:32.811Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3769,"2025-09-03T14:31:36.679Z","03. 09. 2025 16:31"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13808,"2025-09-03T14:31:51.971Z","03. 09. 2025 16:31"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",8019,"2025-09-03T14:32:01.472Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",33827,"2025-09-03T14:32:35.540Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4878,"2025-09-03T14:32:40.561Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",25667,"2025-09-03T14:33:06.756Z","03. 09. 2025 16:33"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5508,"2025-09-03T14:33:12.624Z","03. 09. 2025 16:33"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",6043,"2025-09-03T14:33:20.880Z","03. 09. 2025 16:33"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",36082,"2025-09-03T14:33:57.019Z","03. 09. 2025 16:33"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",6756,"2025-09-03T14:34:05.716Z","03. 09. 2025 16:34"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",22080,"2025-09-03T14:34:27.931Z","03. 09. 2025 16:34"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",6351,"2025-09-03T14:34:36.528Z","03. 09. 2025 16:34"
"Proforma creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0% and NO VAT items","passed",36441,"2025-09-03T14:35:13.311Z","03. 09. 2025 16:35"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",5814,"2025-09-03T14:35:20.017Z","03. 09. 2025 16:35"
"Proforma creation - No VAT mode no rounding @high @middle @low","Editing proforma and change price in the VAT items","passed",22774,"2025-09-03T14:35:43.065Z","03. 09. 2025 16:35"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4714,"2025-09-03T14:35:47.879Z","03. 09. 2025 16:35"
"Proforma creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",6001,"2025-09-03T14:35:55.314Z","03. 09. 2025 16:35"
"Proforma creation - No VAT mode with rounding @middle @low","Generates proforma with 21% 12% 0% and NO VAT items with rounding","passed",40501,"2025-09-03T14:36:36.007Z","03. 09. 2025 16:36"
"Proforma creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",6022,"2025-09-03T14:36:43.907Z","03. 09. 2025 16:36"
"Proforma creation - Including VAT mode no rounding @middle @low","Generates proforma with 21% 12% 0% and Include VAT items no rounding","passed",24489,"2025-09-03T14:37:08.556Z","03. 09. 2025 16:37"
"Deposit creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",6107,"2025-09-03T14:37:16.783Z","03. 09. 2025 16:37"
"Deposit creation - No VAT mode no rounding @high @middle @low","Delete all invoices","passed",5348,"2025-09-03T14:37:22.209Z","03. 09. 2025 16:37"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0%","passed",28858,"2025-09-03T14:37:51.192Z","03. 09. 2025 16:37"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generate deposit for proforma","passed",15041,"2025-09-03T14:38:06.420Z","03. 09. 2025 16:38"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generate final invoice","passed",17192,"2025-09-03T14:38:23.794Z","03. 09. 2025 16:38"
"Deposit creation - No VAT mode with rounding @low","Log: All invoice variables to console","passed",5925,"2025-09-03T14:38:31.400Z","03. 09. 2025 16:38"
"Deposit creation - No VAT mode with rounding @low","Delete all invoices","passed",5353,"2025-09-03T14:38:36.793Z","03. 09. 2025 16:38"
"Deposit creation - No VAT mode with rounding @low","Generates proforma with 21% 12% 0%","passed",26716,"2025-09-03T14:39:03.601Z","03. 09. 2025 16:39"
"Deposit creation - No VAT mode with rounding @low","Generate deposit for proforma","passed",15115,"2025-09-03T14:39:18.901Z","03. 09. 2025 16:39"
"Deposit creation - No VAT mode with rounding @low","Generate final invoice","passed",17224,"2025-09-03T14:39:36.327Z","03. 09. 2025 16:39"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Log: All invoice variables to console","passed",5756,"2025-09-03T14:39:43.437Z","03. 09. 2025 16:39"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Generate invoice with 21% 12% 0%","passed",35261,"2025-09-03T14:40:18.810Z","03. 09. 2025 16:40"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Generate corrective","passed",18258,"2025-09-03T14:40:37.220Z","03. 09. 2025 16:40"
"Delete Company @high @middle @low","Delete company","passed",16816,"2025-09-03T14:40:55.004Z","03. 09. 2025 16:40"
