# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10944,"2025-09-08T08:41:29.356Z","08. 09. 2025 10:41"
"Registration of a test company @high @middle @low","Registers a new company","passed",16663,"2025-09-08T08:41:46.070Z","08. 09. 2025 10:41"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17373,"2025-09-08T08:42:04.737Z","08. 09. 2025 10:42"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3187,"2025-09-08T08:42:08.124Z","08. 09. 2025 10:42"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12607,"2025-09-08T08:42:21.906Z","08. 09. 2025 10:42"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4865,"2025-09-08T08:42:28.389Z","08. 09. 2025 10:42"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",34986,"2025-09-08T08:43:03.509Z","08. 09. 2025 10:43"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5069,"2025-09-08T08:43:08.723Z","08. 09. 2025 10:43"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",23188,"2025-09-08T08:43:32.115Z","08. 09. 2025 10:43"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5960,"2025-09-08T08:43:38.465Z","08. 09. 2025 10:43"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",5354,"2025-09-08T08:43:46.087Z","08. 09. 2025 10:43"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",38811,"2025-09-08T08:44:25.019Z","08. 09. 2025 10:44"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",4778,"2025-09-08T08:44:31.862Z","08. 09. 2025 10:44"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",23828,"2025-09-08T08:44:55.858Z","08. 09. 2025 10:44"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5848,"2025-09-08T08:45:03.936Z","08. 09. 2025 10:45"
"Proforma creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0% and NO VAT items","passed",35159,"2025-09-08T08:45:39.429Z","08. 09. 2025 10:45"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",4900,"2025-09-08T08:45:44.459Z","08. 09. 2025 10:45"
"Proforma creation - No VAT mode no rounding @high @middle @low","Editing proforma and change price in the VAT items","passed",26195,"2025-09-08T08:46:10.856Z","08. 09. 2025 10:46"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4958,"2025-09-08T08:46:15.952Z","08. 09. 2025 10:46"
"Proforma creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",5766,"2025-09-08T08:46:23.663Z","08. 09. 2025 10:46"
"Proforma creation - No VAT mode with rounding @middle @low","Generates proforma with 21% 12% 0% and NO VAT items with rounding","passed",39498,"2025-09-08T08:47:03.401Z","08. 09. 2025 10:47"
"Proforma creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5570,"2025-09-08T08:47:11.913Z","08. 09. 2025 10:47"
"Proforma creation - Including VAT mode no rounding @middle @low","Generates proforma with 21% 12% 0% and Include VAT items no rounding","passed",22566,"2025-09-08T08:47:34.621Z","08. 09. 2025 10:47"
"Deposit creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4986,"2025-09-08T08:47:41.328Z","08. 09. 2025 10:47"
"Deposit creation - No VAT mode no rounding @high @middle @low","Delete all invoices","passed",4485,"2025-09-08T08:47:45.848Z","08. 09. 2025 10:47"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0%","passed",26086,"2025-09-08T08:48:12.027Z","08. 09. 2025 10:48"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generate deposit for proforma","passed",14848,"2025-09-08T08:48:27.024Z","08. 09. 2025 10:48"
"Deposit creation - No VAT mode no rounding @high @middle @low","Generate final invoice","passed",17132,"2025-09-08T08:48:44.303Z","08. 09. 2025 10:48"
"Deposit creation - No VAT mode with rounding @low","Log: All invoice variables to console","passed",4841,"2025-09-08T08:48:50.418Z","08. 09. 2025 10:48"
"Deposit creation - No VAT mode with rounding @low","Delete all invoices","passed",4617,"2025-09-08T08:48:55.074Z","08. 09. 2025 10:48"
"Deposit creation - No VAT mode with rounding @low","Generates proforma with 21% 12% 0%","passed",25495,"2025-09-08T08:49:20.687Z","08. 09. 2025 10:49"
"Deposit creation - No VAT mode with rounding @low","Generate deposit for proforma","passed",13554,"2025-09-08T08:49:34.375Z","08. 09. 2025 10:49"
"Deposit creation - No VAT mode with rounding @low","Generate final invoice","passed",16801,"2025-09-08T08:49:51.354Z","08. 09. 2025 10:49"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Log: All invoice variables to console","passed",4450,"2025-09-08T08:49:57.382Z","08. 09. 2025 10:49"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Generate invoice with 21% 12% 0%","passed",32390,"2025-09-08T08:50:29.869Z","08. 09. 2025 10:50"
"Corrective creation - No VAT mode no rounding  @high @middle @low","Generate corrective","passed",16656,"2025-09-08T08:50:46.660Z","08. 09. 2025 10:50"
"Delete Company @high @middle @low","Delete company","passed",14524,"2025-09-08T08:51:02.136Z","08. 09. 2025 10:51"
