# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11762,"2025-09-10T14:21:00.703Z","10. 09. 2025 16:21"
"Registration of a test company @high @middle @low","Registers a new company","passed",11663,"2025-09-10T14:21:12.433Z","10. 09. 2025 16:21"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15616,"2025-09-10T14:21:28.925Z","10. 09. 2025 16:21"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3889,"2025-09-10T14:21:32.905Z","10. 09. 2025 16:21"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12652,"2025-09-10T14:21:47.602Z","10. 09. 2025 16:21"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5663,"2025-09-10T14:21:54.641Z","10. 09. 2025 16:21"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",32366,"2025-09-10T14:22:27.158Z","10. 09. 2025 16:22"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5270,"2025-09-10T14:22:32.543Z","10. 09. 2025 16:22"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",22769,"2025-09-10T14:22:55.431Z","10. 09. 2025 16:22"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5273,"2025-09-10T14:23:00.817Z","10. 09. 2025 16:23"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",5258,"2025-09-10T14:23:07.787Z","10. 09. 2025 16:23"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",36145,"2025-09-10T14:23:44.698Z","10. 09. 2025 16:23"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5092,"2025-09-10T14:23:52.126Z","10. 09. 2025 16:23"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",23353,"2025-09-10T14:24:15.579Z","10. 09. 2025 16:24"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5385,"2025-09-10T14:24:22.182Z","10. 09. 2025 16:24"
