# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11175,"2025-09-11T13:31:54.368Z","11. 09. 2025 15:31"
"Registration of a test company @high @middle @low","Registers a new company","passed",13708,"2025-09-11T13:32:08.202Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15902,"2025-09-11T13:32:25.488Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2992,"2025-09-11T13:32:28.756Z","11. 09. 2025 15:32"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12630,"2025-09-11T13:32:42.597Z","11. 09. 2025 15:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4730,"2025-09-11T13:32:48.667Z","11. 09. 2025 15:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items","passed",38768,"2025-09-11T13:33:27.625Z","11. 09. 2025 15:33"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4997,"2025-09-11T13:33:32.807Z","11. 09. 2025 15:33"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change price in the VAT items","passed",25194,"2025-09-11T13:33:58.768Z","11. 09. 2025 15:33"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5100,"2025-09-11T13:34:04.106Z","11. 09. 2025 15:34"
"Invoice creation - No VAT mode with rounding @middle @low","Log: All invoice variables to console","passed",7177,"2025-09-11T13:34:13.129Z","11. 09. 2025 15:34"
"Invoice creation - No VAT mode with rounding @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding","passed",41204,"2025-09-11T13:34:54.488Z","11. 09. 2025 15:34"
"Invoice creation - Including VAT mode no rounding @middle @low","Log: All invoice variables to console","passed",5436,"2025-09-11T13:35:02.363Z","11. 09. 2025 15:35"
"Invoice creation - Including VAT mode no rounding @middle @low","Generates invoice with 21% 12% 0% and NO VAT items","passed",23577,"2025-09-11T13:35:26.055Z","11. 09. 2025 15:35"
"Proforma creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5576,"2025-09-11T13:35:34.076Z","11. 09. 2025 15:35"
"Proforma creation - No VAT mode no rounding @high @middle @low","Generates proforma with 21% 12% 0% and NO VAT items","passed",43788,"2025-09-11T13:36:18.122Z","11. 09. 2025 15:36"
"Proforma creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded proforma PDF contains correct data","passed",4971,"2025-09-11T13:36:23.371Z","11. 09. 2025 15:36"
