"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13141,"2025-07-04T07:05:08.548Z","04. 07. 2025 09:05"
"Registration of a test company @high @middle @low","Register a new company","passed",12846,"2025-07-04T07:05:21.427Z","04. 07. 2025 09:05"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16634,"2025-07-04T07:05:38.888Z","04. 07. 2025 09:05"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4353,"2025-07-04T07:05:43.373Z","04. 07. 2025 09:05"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13693,"2025-07-04T07:05:57.958Z","04. 07. 2025 09:05"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Log: All invoice variables to console","passed",5650,"2025-07-04T07:06:04.728Z","04. 07. 2025 09:06"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Generate invoice with 21%, 12%, 0%, and NO VAT items Eur currency","passed",36812,"2025-07-04T07:06:41.627Z","04. 07. 2025 09:06"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5707,"2025-07-04T07:06:47.387Z","04. 07. 2025 09:06"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",12210,"2025-07-04T07:06:59.664Z","04. 07. 2025 09:06"
"Invoice creation - No VAT mode, no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5740,"2025-07-04T07:07:05.440Z","04. 07. 2025 09:07"
"Invoice creation - No VAT mode, with rounding eur currency @middle @low","Log: All invoice variables to console","passed",5550,"2025-07-04T07:07:12.071Z","04. 07. 2025 09:07"
"Invoice creation - No VAT mode, with rounding eur currency @middle @low","Generate invoice with 21%, 12%, 0%, and NO VAT items with rounding eur currency","passed",33796,"2025-07-04T07:07:45.944Z","04. 07. 2025 09:07"
"Proforma creation - No VAT mode, no rounding eur currency @low","Log: All invoice variables to console","passed",5447,"2025-07-04T07:07:52.513Z","04. 07. 2025 09:07"
"Proforma creation - No VAT mode, no rounding eur currency @low","Generates proforma with 21%, 12%, 0%, and NO VAT items eur currency","passed",35267,"2025-07-04T07:08:27.890Z","04. 07. 2025 09:08"
"Proforma creation - No VAT mode, no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",5298,"2025-07-04T07:08:33.250Z","04. 07. 2025 09:08"
"Proforma creation - No VAT mode, no rounding eur currency @low","Editing proforma and change showing czech currency","passed",12243,"2025-07-04T07:08:45.594Z","04. 07. 2025 09:08"
"Proforma creation - No VAT mode, no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5308,"2025-07-04T07:08:50.947Z","04. 07. 2025 09:08"
"Proforma creation - No VAT mode, with rounding eur currency @low","Log: All invoice variables to console","passed",5344,"2025-07-04T07:08:57.337Z","04. 07. 2025 09:08"
"Proforma creation - No VAT mode, with rounding eur currency @low","Generate proforma with 21%, 12%, 0%, and NO VAT items with rounding eur currency","passed",33689,"2025-07-04T07:09:31.101Z","04. 07. 2025 09:09"
"Deposit creation - No VAT mode, no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5441,"2025-07-04T07:09:37.712Z","04. 07. 2025 09:09"
"Deposit creation - No VAT mode, no rounding eur currency @high @middle @low","Delete all invoices","passed",10718,"2025-07-04T07:09:48.462Z","04. 07. 2025 09:09"
"Deposit creation - No VAT mode, no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",32641,"2025-07-04T07:10:21.173Z","04. 07. 2025 09:10"
"Deposit creation - No VAT mode, no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",24091,"2025-07-04T07:10:45.394Z","04. 07. 2025 09:10"
"Deposit creation - No VAT mode, no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",24491,"2025-07-04T07:11:10.010Z","04. 07. 2025 09:11"
"Corrective creation - No VAT mode, no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5479,"2025-07-04T07:11:16.589Z","04. 07. 2025 09:11"
"Corrective creation - No VAT mode, no rounding eur currency @high @middle @low","Delete all invoices","passed",6620,"2025-07-04T07:11:23.241Z","04. 07. 2025 09:11"
"Corrective creation - No VAT mode, no rounding eur currency @high @middle @low","Generate invoice with 21%, 12%, 0%","passed",34991,"2025-07-04T07:11:58.311Z","04. 07. 2025 09:11"
"Corrective creation - No VAT mode, no rounding eur currency @high @middle @low","Create corrective","passed",23790,"2025-07-04T07:12:22.214Z","04. 07. 2025 09:12"
"Delete Company @high @middle @low","Delete company","failed",17816,"2025-07-04T07:12:40.849Z","04. 07. 2025 09:12"
