# Dva testy spadly při vytvoření firmy a smazání jsou to flaky testy kdy se nezachitila zpráva alert - budu opravovat v budoucnu dva testy měli v názvu čárku proto jsou neznáme na příští run opraveno
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","failed",19615,"2025-07-04T08:54:26.209Z","04. 07. 2025 10:54"
"Registration of a test company @high @middle @low","Register a new company","passed",13222,"2025-07-04T08:54:39.492Z","04. 07. 2025 10:54"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",21627,"2025-07-04T08:55:01.979Z","04. 07. 2025 10:55"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4804,"2025-07-04T08:55:06.891Z","04. 07. 2025 10:55"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14212,"2025-07-04T08:55:22.050Z","04. 07. 2025 10:55"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5267,"2025-07-04T08:55:28.486Z","04. 07. 2025 10:55"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",35426,"2025-07-04T08:56:04.004Z","04. 07. 2025 10:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5935,"2025-07-04T08:56:09.996Z","04. 07. 2025 10:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",11129,"2025-07-04T08:56:21.204Z","04. 07. 2025 10:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5207,"2025-07-04T08:56:26.447Z","04. 07. 2025 10:56"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",5451,"2025-07-04T08:56:32.944Z","04. 07. 2025 10:56"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",33067,"2025-07-04T08:57:06.070Z","04. 07. 2025 10:57"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",5398,"2025-07-04T08:57:12.717Z","04. 07. 2025 10:57"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21%, 12%, 0%, and NO VAT items eur currency","passed",35158,"2025-07-04T08:57:47.985Z","04. 07. 2025 10:57"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",5523,"2025-07-04T08:57:53.564Z","04. 07. 2025 10:57"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",11795,"2025-07-04T08:58:05.449Z","04. 07. 2025 10:58"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",6178,"2025-07-04T08:58:11.670Z","04. 07. 2025 10:58"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",5399,"2025-07-04T08:58:18.288Z","04. 07. 2025 10:58"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21%, 12%, 0%, and NO VAT items with rounding eur currency","passed",33063,"2025-07-04T08:58:51.430Z","04. 07. 2025 10:58"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5570,"2025-07-04T08:58:58.070Z","04. 07. 2025 10:58"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",5717,"2025-07-04T08:59:03.816Z","04. 07. 2025 10:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",31379,"2025-07-04T08:59:35.265Z","04. 07. 2025 10:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",24115,"2025-07-04T08:59:59.503Z","04. 07. 2025 10:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",25387,"2025-07-04T09:00:25.034Z","04. 07. 2025 11:00"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5713,"2025-07-04T09:00:31.815Z","04. 07. 2025 11:00"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",6678,"2025-07-04T09:00:38.531Z","04. 07. 2025 11:00"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",35229,"2025-07-04T09:01:13.854Z","04. 07. 2025 11:01"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",23361,"2025-07-04T09:01:37.326Z","04. 07. 2025 11:01"
"Delete Company @high @middle @low","Delete company","failed",18431,"2025-07-04T09:01:56.540Z","04. 07. 2025 11:01"
