# Běh testů paralelně
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",16018,"2025-07-04T17:01:08.859Z","04. 07. 2025 19:01"
"Registration of a test company @high @middle @low","Register a new company","passed",14691,"2025-07-04T17:01:23.582Z","04. 07. 2025 19:01"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",21212,"2025-07-04T17:01:45.550Z","04. 07. 2025 19:01"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",5238,"2025-07-04T17:01:50.843Z","04. 07. 2025 19:01"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",15476,"2025-07-04T17:02:07.222Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",6217,"2025-07-04T17:02:14.512Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",34453,"2025-07-04T17:02:49.063Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5077,"2025-07-04T17:02:54.196Z","04. 07. 2025 19:02"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",12106,"2025-07-04T17:03:06.388Z","04. 07. 2025 19:03"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",6728,"2025-07-04T17:03:13.159Z","04. 07. 2025 19:03"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",5921,"2025-07-04T17:03:20.144Z","04. 07. 2025 19:03"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",34008,"2025-07-04T17:03:54.236Z","04. 07. 2025 19:03"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",5724,"2025-07-04T17:04:00.986Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",35028,"2025-07-04T17:04:36.114Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",5011,"2025-07-04T17:04:41.208Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",12910,"2025-07-04T17:04:54.250Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4964,"2025-07-04T17:04:59.253Z","04. 07. 2025 19:04"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",6032,"2025-07-04T17:05:06.310Z","04. 07. 2025 19:05"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",33056,"2025-07-04T17:05:39.456Z","04. 07. 2025 19:05"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5595,"2025-07-04T17:05:46.168Z","04. 07. 2025 19:05"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",5734,"2025-07-04T17:05:51.925Z","04. 07. 2025 19:05"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",32047,"2025-07-04T17:06:24.048Z","04. 07. 2025 19:06"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",25134,"2025-07-04T17:06:49.303Z","04. 07. 2025 19:06"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",26858,"2025-07-04T17:07:16.289Z","04. 07. 2025 19:07"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5793,"2025-07-04T17:07:23.317Z","04. 07. 2025 19:07"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",5590,"2025-07-04T17:07:28.938Z","04. 07. 2025 19:07"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",34174,"2025-07-04T17:08:03.228Z","04. 07. 2025 19:08"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",23565,"2025-07-04T17:08:26.897Z","04. 07. 2025 19:08"
"Delete Company @high @middle @low","Delete company","passed",18525,"2025-07-04T17:08:46.238Z","04. 07. 2025 19:08"
