# Testy prošli v pořádku
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",16531,"2025-07-17T12:12:31.653Z","17. 07. 2025 14:12"
"Registration of a test company @high @middle @low","Register a new company","passed",20156,"2025-07-17T12:12:51.888Z","17. 07. 2025 14:12"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",18539,"2025-07-17T12:13:11.685Z","17. 07. 2025 14:13"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4327,"2025-07-17T12:13:16.097Z","17. 07. 2025 14:13"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14793,"2025-07-17T12:13:32.439Z","17. 07. 2025 14:13"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5937,"2025-07-17T12:13:40.073Z","17. 07. 2025 14:13"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",39002,"2025-07-17T12:14:19.529Z","17. 07. 2025 14:14"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5920,"2025-07-17T12:14:25.566Z","17. 07. 2025 14:14"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",13344,"2025-07-17T12:14:39.152Z","17. 07. 2025 14:14"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",6105,"2025-07-17T12:14:45.349Z","17. 07. 2025 14:14"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",6109,"2025-07-17T12:14:53.591Z","17. 07. 2025 14:14"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",36381,"2025-07-17T12:15:30.162Z","17. 07. 2025 14:15"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",5736,"2025-07-17T12:15:37.808Z","17. 07. 2025 14:15"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",38699,"2025-07-17T12:16:16.643Z","17. 07. 2025 14:16"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",5672,"2025-07-17T12:16:22.426Z","17. 07. 2025 14:16"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",14044,"2025-07-17T12:16:36.589Z","17. 07. 2025 14:16"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5067,"2025-07-17T12:16:41.726Z","17. 07. 2025 14:16"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",5876,"2025-07-17T12:16:49.551Z","17. 07. 2025 14:16"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",35768,"2025-07-17T12:17:25.457Z","17. 07. 2025 14:17"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6050,"2025-07-17T12:17:33.373Z","17. 07. 2025 14:17"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",6518,"2025-07-17T12:17:39.946Z","17. 07. 2025 14:17"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",35124,"2025-07-17T12:18:15.249Z","17. 07. 2025 14:18"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",25521,"2025-07-17T12:18:41.277Z","17. 07. 2025 14:18"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",29564,"2025-07-17T12:19:11.105Z","17. 07. 2025 14:19"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6250,"2025-07-17T12:19:19.385Z","17. 07. 2025 14:19"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",6849,"2025-07-17T12:19:26.293Z","17. 07. 2025 14:19"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",39375,"2025-07-17T12:20:05.866Z","17. 07. 2025 14:20"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",25923,"2025-07-17T12:20:31.966Z","17. 07. 2025 14:20"
"Delete Company @high @middle @low","Delete company","passed",20602,"2025-07-17T12:20:54.063Z","17. 07. 2025 14:20"
