# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15699,"2025-08-25T10:55:13.784Z","25. 08. 2025 12:55"
"Registration of a test company @high @middle @low","Register a new company","passed",16464,"2025-08-25T10:55:30.303Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",18174,"2025-08-25T10:55:49.499Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2880,"2025-08-25T10:55:52.556Z","25. 08. 2025 12:55"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13705,"2025-08-25T10:56:08.096Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5947,"2025-08-25T10:56:15.382Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",31274,"2025-08-25T10:56:46.767Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4926,"2025-08-25T10:56:51.794Z","25. 08. 2025 12:56"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",9844,"2025-08-25T10:57:01.723Z","25. 08. 2025 12:57"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",4925,"2025-08-25T10:57:06.692Z","25. 08. 2025 12:57"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",4492,"2025-08-25T10:57:12.509Z","25. 08. 2025 12:57"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",30762,"2025-08-25T10:57:43.361Z","25. 08. 2025 12:57"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",5372,"2025-08-25T10:57:50.164Z","25. 08. 2025 12:57"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",30595,"2025-08-25T10:58:20.881Z","25. 08. 2025 12:58"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",4768,"2025-08-25T10:58:25.744Z","25. 08. 2025 12:58"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",10128,"2025-08-25T10:58:35.995Z","25. 08. 2025 12:58"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4718,"2025-08-25T10:58:40.764Z","25. 08. 2025 12:58"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",5591,"2025-08-25T10:58:47.657Z","25. 08. 2025 12:58"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",29250,"2025-08-25T10:59:17.111Z","25. 08. 2025 12:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5319,"2025-08-25T10:59:24.193Z","25. 08. 2025 12:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4356,"2025-08-25T10:59:28.604Z","25. 08. 2025 12:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",28204,"2025-08-25T10:59:56.902Z","25. 08. 2025 12:59"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",20883,"2025-08-25T11:00:17.982Z","25. 08. 2025 13:00"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",22258,"2025-08-25T11:00:40.402Z","25. 08. 2025 13:00"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4786,"2025-08-25T11:00:46.532Z","25. 08. 2025 13:00"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4598,"2025-08-25T11:00:51.174Z","25. 08. 2025 13:00"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",32082,"2025-08-25T11:01:23.419Z","25. 08. 2025 13:01"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",19543,"2025-08-25T11:01:43.139Z","25. 08. 2025 13:01"
"Delete Company @high @middle @low","Delete company","passed",16387,"2025-08-25T11:02:00.589Z","25. 08. 2025 13:02"
