# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC spadl pouze flak test na smazání firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13324,"2025-08-31T17:27:06.934Z","31. 08. 2025 19:27"
"Registration of a test company @high @middle @low","Register a new company","passed",16272,"2025-08-31T17:27:23.270Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15179,"2025-08-31T17:27:39.388Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2646,"2025-08-31T17:27:42.326Z","31. 08. 2025 19:27"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12138,"2025-08-31T17:27:55.648Z","31. 08. 2025 19:27"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",5352,"2025-08-31T17:28:02.524Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",31920,"2025-08-31T17:28:34.634Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4919,"2025-08-31T17:28:39.690Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",10686,"2025-08-31T17:28:50.525Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5740,"2025-08-31T17:28:56.387Z","31. 08. 2025 19:28"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",6769,"2025-08-31T17:29:05.639Z","31. 08. 2025 19:29"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",34204,"2025-08-31T17:29:40.023Z","31. 08. 2025 19:29"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",5269,"2025-08-31T17:29:47.840Z","31. 08. 2025 19:29"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",36330,"2025-08-31T17:30:24.296Z","31. 08. 2025 19:30"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",5817,"2025-08-31T17:30:30.282Z","31. 08. 2025 19:30"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",12911,"2025-08-31T17:30:43.450Z","31. 08. 2025 19:30"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5247,"2025-08-31T17:30:48.802Z","31. 08. 2025 19:30"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",5942,"2025-08-31T17:30:57.183Z","31. 08. 2025 19:30"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",40199,"2025-08-31T17:31:37.621Z","31. 08. 2025 19:31"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",5677,"2025-08-31T17:31:46.185Z","31. 08. 2025 19:31"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4239,"2025-08-31T17:31:50.498Z","31. 08. 2025 19:31"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",42354,"2025-08-31T17:32:33.070Z","31. 08. 2025 19:32"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",24777,"2025-08-31T17:32:58.126Z","31. 08. 2025 19:32"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",25304,"2025-08-31T17:33:24.337Z","31. 08. 2025 19:33"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6762,"2025-08-31T17:33:34.191Z","31. 08. 2025 19:33"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4034,"2025-08-31T17:33:38.277Z","31. 08. 2025 19:33"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",32467,"2025-08-31T17:34:11.354Z","31. 08. 2025 19:34"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",19404,"2025-08-31T17:34:30.965Z","31. 08. 2025 19:34"
"Delete Company @high @middle @low","Delete company","failed",20989,"2025-08-31T17:34:53.234Z","31. 08. 2025 19:34"
