# Testování beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13258,"2025-09-03T14:30:57.180Z","03. 09. 2025 16:30"
"Registration of a test company @high @middle @low","Register a new company","passed",18948,"2025-09-03T14:31:16.221Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15964,"2025-09-03T14:31:33.302Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3212,"2025-09-03T14:31:36.720Z","03. 09. 2025 16:31"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13913,"2025-09-03T14:31:52.155Z","03. 09. 2025 16:31"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",7948,"2025-09-03T14:32:01.550Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",34813,"2025-09-03T14:32:36.553Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",5533,"2025-09-03T14:32:42.192Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",12377,"2025-09-03T14:32:54.735Z","03. 09. 2025 16:32"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5988,"2025-09-03T14:33:00.814Z","03. 09. 2025 16:33"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",7278,"2025-09-03T14:33:10.318Z","03. 09. 2025 16:33"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",32942,"2025-09-03T14:33:43.392Z","03. 09. 2025 16:33"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",6772,"2025-09-03T14:33:52.292Z","03. 09. 2025 16:33"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",37631,"2025-09-03T14:34:30.252Z","03. 09. 2025 16:34"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",5127,"2025-09-03T14:34:35.507Z","03. 09. 2025 16:34"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",12922,"2025-09-03T14:34:48.677Z","03. 09. 2025 16:34"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",5546,"2025-09-03T14:34:54.378Z","03. 09. 2025 16:34"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",6644,"2025-09-03T14:35:03.630Z","03. 09. 2025 16:35"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",36558,"2025-09-03T14:35:40.342Z","03. 09. 2025 16:35"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6094,"2025-09-03T14:35:48.576Z","03. 09. 2025 16:35"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4533,"2025-09-03T14:35:53.187Z","03. 09. 2025 16:35"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",34646,"2025-09-03T14:36:28.052Z","03. 09. 2025 16:36"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",22209,"2025-09-03T14:36:50.505Z","03. 09. 2025 16:36"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",25429,"2025-09-03T14:37:16.200Z","03. 09. 2025 16:37"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",6069,"2025-09-03T14:37:24.541Z","03. 09. 2025 16:37"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4942,"2025-09-03T14:37:29.523Z","03. 09. 2025 16:37"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",33979,"2025-09-03T14:38:03.707Z","03. 09. 2025 16:38"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",20466,"2025-09-03T14:38:24.403Z","03. 09. 2025 16:38"
"Delete Company @high @middle @low","Delete company","passed",16588,"2025-09-03T14:38:42.078Z","03. 09. 2025 16:38"
