# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9503,"2025-09-08T10:33:49.571Z","08. 09. 2025 12:33"
"Registration of a test company @high @middle @low","Register a new company","passed",12232,"2025-09-08T10:34:01.852Z","08. 09. 2025 12:34"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12747,"2025-09-08T10:34:15.293Z","08. 09. 2025 12:34"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2692,"2025-09-08T10:34:18.099Z","08. 09. 2025 12:34"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11328,"2025-09-08T10:34:30.185Z","08. 09. 2025 12:34"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4467,"2025-09-08T10:34:35.643Z","08. 09. 2025 12:34"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",28665,"2025-09-08T10:35:04.396Z","08. 09. 2025 12:35"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4624,"2025-09-08T10:35:09.079Z","08. 09. 2025 12:35"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",9262,"2025-09-08T10:35:18.410Z","08. 09. 2025 12:35"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",4283,"2025-09-08T10:35:22.728Z","08. 09. 2025 12:35"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",4795,"2025-09-08T10:35:28.438Z","08. 09. 2025 12:35"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",27770,"2025-09-08T10:35:56.279Z","08. 09. 2025 12:35"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",4779,"2025-09-08T10:36:02.026Z","08. 09. 2025 12:36"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",29086,"2025-09-08T10:36:31.187Z","08. 09. 2025 12:36"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",4475,"2025-09-08T10:36:35.733Z","08. 09. 2025 12:36"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",9357,"2025-09-08T10:36:45.168Z","08. 09. 2025 12:36"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4311,"2025-09-08T10:36:49.516Z","08. 09. 2025 12:36"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",4688,"2025-09-08T10:36:55.107Z","08. 09. 2025 12:36"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",27617,"2025-09-08T10:37:22.811Z","08. 09. 2025 12:37"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4534,"2025-09-08T10:37:28.287Z","08. 09. 2025 12:37"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4182,"2025-09-08T10:37:32.491Z","08. 09. 2025 12:37"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",25834,"2025-09-08T10:37:58.401Z","08. 09. 2025 12:37"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",20340,"2025-09-08T10:38:18.848Z","08. 09. 2025 12:38"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",17463,"2025-09-08T10:38:36.435Z","08. 09. 2025 12:38"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4641,"2025-09-08T10:38:42.029Z","08. 09. 2025 12:38"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4494,"2025-09-08T10:38:46.550Z","08. 09. 2025 12:38"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",29520,"2025-09-08T10:39:16.150Z","08. 09. 2025 12:39"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",18125,"2025-09-08T10:39:34.396Z","08. 09. 2025 12:39"
"Delete Company @high @middle @low","Delete company","passed",14702,"2025-09-08T10:39:49.760Z","08. 09. 2025 12:39"
