# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",16332,"2025-09-10T14:57:42.549Z","10. 09. 2025 16:57"
"Registration of a test company @high @middle @low","Register a new company","passed",11960,"2025-09-10T14:57:54.560Z","10. 09. 2025 16:57"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",13011,"2025-09-10T14:58:08.248Z","10. 09. 2025 16:58"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2796,"2025-09-10T14:58:11.086Z","10. 09. 2025 16:58"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11687,"2025-09-10T14:58:23.514Z","10. 09. 2025 16:58"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4895,"2025-09-10T14:58:29.440Z","10. 09. 2025 16:58"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",29687,"2025-09-10T14:58:59.224Z","10. 09. 2025 16:58"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4466,"2025-09-10T14:59:03.743Z","10. 09. 2025 16:59"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",8616,"2025-09-10T14:59:12.434Z","10. 09. 2025 16:59"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",5309,"2025-09-10T14:59:17.797Z","10. 09. 2025 16:59"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",5200,"2025-09-10T14:59:23.906Z","10. 09. 2025 16:59"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",27812,"2025-09-10T14:59:51.784Z","10. 09. 2025 16:59"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",4515,"2025-09-10T14:59:57.361Z","10. 09. 2025 16:59"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",30313,"2025-09-10T15:00:27.797Z","10. 09. 2025 17:00"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",4542,"2025-09-10T15:00:32.403Z","10. 09. 2025 17:00"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",8930,"2025-09-10T15:00:41.432Z","10. 09. 2025 17:00"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4445,"2025-09-10T15:00:45.921Z","10. 09. 2025 17:00"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",4682,"2025-09-10T15:00:51.511Z","10. 09. 2025 17:00"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",28105,"2025-09-10T15:01:19.697Z","10. 09. 2025 17:01"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4666,"2025-09-10T15:01:25.290Z","10. 09. 2025 17:01"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4088,"2025-09-10T15:01:29.408Z","10. 09. 2025 17:01"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",25815,"2025-09-10T15:01:55.279Z","10. 09. 2025 17:01"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",28532,"2025-09-10T15:02:23.932Z","10. 09. 2025 17:02"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",20676,"2025-09-10T15:02:44.723Z","10. 09. 2025 17:02"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4647,"2025-09-10T15:02:50.366Z","10. 09. 2025 17:02"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",3942,"2025-09-10T15:02:54.337Z","10. 09. 2025 17:02"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",29753,"2025-09-10T15:03:24.182Z","10. 09. 2025 17:03"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",18054,"2025-09-10T15:03:42.366Z","10. 09. 2025 17:03"
"Delete Company @high @middle @low","Delete company","passed",14573,"2025-09-10T15:03:57.612Z","10. 09. 2025 17:03"
