# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",9724,"2025-09-11T14:25:49.151Z","11. 09. 2025 16:25"
"Registration of a test company @high @middle @low","Register a new company","passed",11621,"2025-09-11T14:26:00.828Z","11. 09. 2025 16:26"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12551,"2025-09-11T14:26:14.133Z","11. 09. 2025 16:26"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2864,"2025-09-11T14:26:17.040Z","11. 09. 2025 16:26"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11303,"2025-09-11T14:26:29.112Z","11. 09. 2025 16:26"
"Invoice creation - No VAT mode no rounding @high @middle @low","Log: All invoice variables to console","passed",4542,"2025-09-11T14:26:34.730Z","11. 09. 2025 16:26"
"Invoice creation - No VAT mode no rounding @high @middle @low","Generate invoice with 21% 12% 0% and NO VAT items Eur currency","passed",28990,"2025-09-11T14:27:03.834Z","11. 09. 2025 16:27"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded invoice PDF contains correct data","passed",4871,"2025-09-11T14:27:08.768Z","11. 09. 2025 16:27"
"Invoice creation - No VAT mode no rounding @high @middle @low","Editing invoice and change showing czech currency","passed",9484,"2025-09-11T14:27:18.338Z","11. 09. 2025 16:27"
"Invoice creation - No VAT mode no rounding @high @middle @low","Checks that the downloaded edited invoice PDF contains correct data","passed",4442,"2025-09-11T14:27:22.830Z","11. 09. 2025 16:27"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Log: All invoice variables to console","passed",4752,"2025-09-11T14:27:28.743Z","11. 09. 2025 16:27"
"Invoice creation - No VAT mode with rounding eur currency @middle @low","Generate invoice with 21% 12% 0% and NO VAT items with rounding eur currency","passed",27983,"2025-09-11T14:27:57.052Z","11. 09. 2025 16:27"
"Proforma creation - No VAT mode no rounding eur currency @low","Log: All invoice variables to console","passed",5149,"2025-09-11T14:28:03.231Z","11. 09. 2025 16:28"
"Proforma creation - No VAT mode no rounding eur currency @low","Generates proforma with 21% 12% 0% and NO VAT items eur currency","passed",29692,"2025-09-11T14:28:33.252Z","11. 09. 2025 16:28"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded proforma PDF contains correct data","passed",4463,"2025-09-11T14:28:37.844Z","11. 09. 2025 16:28"
"Proforma creation - No VAT mode no rounding eur currency @low","Editing proforma and change showing czech currency","passed",9314,"2025-09-11T14:28:47.257Z","11. 09. 2025 16:28"
"Proforma creation - No VAT mode no rounding eur currency @low","Checks that the downloaded edited proforma PDF contains correct data","passed",4649,"2025-09-11T14:28:51.952Z","11. 09. 2025 16:28"
"Proforma creation - No VAT mode with rounding eur currency @low","Log: All invoice variables to console","passed",4852,"2025-09-11T14:28:57.847Z","11. 09. 2025 16:28"
"Proforma creation - No VAT mode with rounding eur currency @low","Generate proforma with 21% 12% 0% and NO VAT items with rounding eur currency","passed",28370,"2025-09-11T14:29:26.313Z","11. 09. 2025 16:29"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4766,"2025-09-11T14:29:32.130Z","11. 09. 2025 16:29"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4107,"2025-09-11T14:29:36.275Z","11. 09. 2025 16:29"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create proforma for testing eur currency","passed",26551,"2025-09-11T14:30:02.901Z","11. 09. 2025 16:30"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Create deposit with eur currency","passed",19659,"2025-09-11T14:30:22.687Z","11. 09. 2025 16:30"
"Deposit creation - No VAT mode no rounding eur currency @high @middle @low","Vytvoření vyúčtování","passed",17303,"2025-09-11T14:30:40.121Z","11. 09. 2025 16:30"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Log: All invoice variables to console","passed",4871,"2025-09-11T14:30:46.074Z","11. 09. 2025 16:30"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Delete all invoices","passed",4412,"2025-09-11T14:30:50.526Z","11. 09. 2025 16:30"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Generate invoice with 21% 12% 0%","passed",29593,"2025-09-11T14:31:20.231Z","11. 09. 2025 16:31"
"Corrective creation - No VAT mode no rounding eur currency @high @middle @low","Create corrective","passed",18129,"2025-09-11T14:31:38.472Z","11. 09. 2025 16:31"
"Delete Company @high @middle @low","Delete company","passed",13925,"2025-09-11T14:31:53.152Z","11. 09. 2025 16:31"
