# Běh testů paralelně
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",17557,"2025-07-04T17:01:10.398Z","04. 07. 2025 19:01"
"Registration of a test company @high @middle @low","Register a new company","passed",16942,"2025-07-04T17:01:27.374Z","04. 07. 2025 19:01"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",20726,"2025-07-04T17:01:48.867Z","04. 07. 2025 19:01"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4774,"2025-07-04T17:01:53.693Z","04. 07. 2025 19:01"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",15452,"2025-07-04T17:02:09.952Z","04. 07. 2025 19:02"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",28335,"2025-07-04T17:02:39.440Z","04. 07. 2025 19:02"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",11508,"2025-07-04T17:02:52.047Z","04. 07. 2025 19:02"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",21487,"2025-07-04T17:03:13.596Z","04. 07. 2025 19:03"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",19054,"2025-07-04T17:03:32.721Z","04. 07. 2025 19:03"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",11469,"2025-07-04T17:03:45.260Z","04. 07. 2025 19:03"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",17318,"2025-07-04T17:04:02.636Z","04. 07. 2025 19:04"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",21390,"2025-07-04T17:04:24.086Z","04. 07. 2025 19:04"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",17367,"2025-07-04T17:04:42.581Z","04. 07. 2025 19:04"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",18488,"2025-07-04T17:05:01.143Z","04. 07. 2025 19:05"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",13387,"2025-07-04T17:05:14.575Z","04. 07. 2025 19:05"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",17860,"2025-07-04T17:05:32.506Z","04. 07. 2025 19:05"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",12270,"2025-07-04T17:05:44.826Z","04. 07. 2025 19:05"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the deposit","passed",15223,"2025-07-04T17:06:00.108Z","04. 07. 2025 19:06"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited deposit","passed",10163,"2025-07-04T17:06:10.332Z","04. 07. 2025 19:06"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",6100,"2025-07-04T17:06:16.456Z","04. 07. 2025 19:06"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",16659,"2025-07-04T17:06:33.199Z","04. 07. 2025 19:06"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",19748,"2025-07-04T17:06:53.039Z","04. 07. 2025 19:06"
