"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",8197,"2025-07-29T09:50:17.522Z","29. 07. 2025 11:50"
"Registration of a test company @high @middle @low","Register a new company","passed",12949,"2025-07-29T09:50:30.524Z","29. 07. 2025 11:50"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",10212,"2025-07-29T09:50:41.490Z","29. 07. 2025 11:50"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2383,"2025-07-29T09:50:43.937Z","29. 07. 2025 11:50"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",10181,"2025-07-29T09:50:55.071Z","29. 07. 2025 11:50"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",22042,"2025-07-29T09:51:18.231Z","29. 07. 2025 11:51"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",7155,"2025-07-29T09:51:26.728Z","29. 07. 2025 11:51"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",17118,"2025-07-29T09:51:43.908Z","29. 07. 2025 11:51"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",13315,"2025-07-29T09:51:57.284Z","29. 07. 2025 11:51"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",6859,"2025-07-29T09:52:05.175Z","29. 07. 2025 11:52"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",12845,"2025-07-29T09:52:18.073Z","29. 07. 2025 11:52"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",15755,"2025-07-29T09:52:33.886Z","29. 07. 2025 11:52"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",8092,"2025-07-29T09:52:43.147Z","29. 07. 2025 11:52"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",13000,"2025-07-29T09:52:56.217Z","29. 07. 2025 11:52"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",6435,"2025-07-29T09:53:02.703Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",13230,"2025-07-29T09:53:15.997Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",5500,"2025-07-29T09:53:21.548Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the deposit","passed",9639,"2025-07-29T09:53:31.239Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited deposit","passed",5359,"2025-07-29T09:53:36.663Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3273,"2025-07-29T09:53:39.980Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",12271,"2025-07-29T09:53:52.318Z","29. 07. 2025 11:53"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",11803,"2025-07-29T09:54:04.186Z","29. 07. 2025 11:54"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",6078,"2025-07-29T09:54:10.338Z","29. 07. 2025 11:54"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",2337,"2025-07-29T09:54:12.724Z","29. 07. 2025 11:54"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",9014,"2025-07-29T09:54:23.148Z","29. 07. 2025 11:54"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",19197,"2025-07-29T09:54:42.432Z","29. 07. 2025 11:54"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",12857,"2025-07-29T09:54:55.387Z","29. 07. 2025 11:54"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",11842,"2025-07-29T09:55:07.294Z","29. 07. 2025 11:55"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4047,"2025-07-29T09:55:11.399Z","29. 07. 2025 11:55"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Delete all invoices","passed",7029,"2025-07-29T09:55:19.698Z","29. 07. 2025 11:55"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Add contact on the proforma","passed",18767,"2025-07-29T09:55:38.526Z","29. 07. 2025 11:55"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Edit contact on the proforma","passed",13061,"2025-07-29T09:55:51.670Z","29. 07. 2025 11:55"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the deposit","passed",9605,"2025-07-29T09:56:01.374Z","29. 07. 2025 11:56"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the final invoice","passed",9487,"2025-07-29T09:56:10.949Z","29. 07. 2025 11:56"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Smazání kontaktu","passed",4265,"2025-07-29T09:56:15.269Z","29. 07. 2025 11:56"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",27695,"2025-07-29T09:56:44.350Z","29. 07. 2025 11:56"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4286,"2025-07-29T09:56:48.692Z","29. 07. 2025 11:56"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",26735,"2025-07-29T09:57:16.724Z","29. 07. 2025 11:57"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",3897,"2025-07-29T09:57:20.684Z","29. 07. 2025 11:57"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",47251,"2025-07-29T09:58:08.958Z","29. 07. 2025 11:58"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",43147,"2025-07-29T09:58:52.184Z","29. 07. 2025 11:58"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",47530,"2025-07-29T09:59:40.864Z","29. 07. 2025 11:59"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",42908,"2025-07-29T10:00:23.866Z","29. 07. 2025 12:00"
"Add footer text in deposit @low","Create proforma","passed",17164,"2025-07-29T10:00:42.076Z","29. 07. 2025 12:00"
"Add footer text in deposit @low","Add header text and create footer text","passed",52656,"2025-07-29T10:01:34.811Z","29. 07. 2025 12:01"
"Add footer text in corrective @low","Create invoice","passed",17369,"2025-07-29T10:01:53.224Z","29. 07. 2025 12:01"
"Add footer text in corrective @low","Add header text and create footer text","passed",52199,"2025-07-29T10:02:45.498Z","29. 07. 2025 12:02"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",7976,"2025-07-29T10:02:54.627Z","29. 07. 2025 12:02"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",27742,"2025-07-29T10:03:22.450Z","29. 07. 2025 12:03"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",3826,"2025-07-29T10:03:26.310Z","29. 07. 2025 12:03"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",21694,"2025-07-29T10:03:48.058Z","29. 07. 2025 12:03"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",3788,"2025-07-29T10:03:51.894Z","29. 07. 2025 12:03"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",7710,"2025-07-29T10:04:00.744Z","29. 07. 2025 12:04"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",27828,"2025-07-29T10:04:28.636Z","29. 07. 2025 12:04"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",3817,"2025-07-29T10:04:32.500Z","29. 07. 2025 12:04"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of deposit when template is clear","passed",22740,"2025-07-29T10:04:55.299Z","29. 07. 2025 12:04"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded deposit","passed",4722,"2025-07-29T10:05:00.075Z","29. 07. 2025 12:05"
"Delete Company @high @middle @low","Delete company","passed",14811,"2025-07-29T10:05:15.767Z","29. 07. 2025 12:05"
