# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13044,"2025-08-25T10:55:11.102Z","25. 08. 2025 12:55"
"Registration of a test company @high @middle @low","Register a new company","passed",16629,"2025-08-25T10:55:27.849Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16207,"2025-08-25T10:55:44.983Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4208,"2025-08-25T10:55:49.286Z","25. 08. 2025 12:55"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12870,"2025-08-25T10:56:03.644Z","25. 08. 2025 12:56"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",25931,"2025-08-25T10:56:31.849Z","25. 08. 2025 12:56"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",8691,"2025-08-25T10:56:41.850Z","25. 08. 2025 12:56"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",18367,"2025-08-25T10:57:00.277Z","25. 08. 2025 12:57"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",17064,"2025-08-25T10:57:17.433Z","25. 08. 2025 12:57"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",9456,"2025-08-25T10:57:28.331Z","25. 08. 2025 12:57"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",14254,"2025-08-25T10:57:42.665Z","25. 08. 2025 12:57"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",18525,"2025-08-25T10:58:01.542Z","25. 08. 2025 12:58"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",10861,"2025-08-25T10:58:13.924Z","25. 08. 2025 12:58"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",15256,"2025-08-25T10:58:29.283Z","25. 08. 2025 12:58"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",10279,"2025-08-25T10:58:39.644Z","25. 08. 2025 12:58"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",14732,"2025-08-25T10:58:54.442Z","25. 08. 2025 12:58"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",10448,"2025-08-25T10:59:04.965Z","25. 08. 2025 12:59"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the deposit","passed",12013,"2025-08-25T10:59:17.074Z","25. 08. 2025 12:59"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited deposit","passed",8163,"2025-08-25T10:59:25.371Z","25. 08. 2025 12:59"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3730,"2025-08-25T10:59:29.144Z","25. 08. 2025 12:59"
