# Testování beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13158,"2025-09-03T14:30:57.065Z","03. 09. 2025 16:30"
"Registration of a test company @high @middle @low","Register a new company","passed",13941,"2025-09-03T14:31:11.100Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15093,"2025-09-03T14:31:27.310Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3501,"2025-09-03T14:31:30.936Z","03. 09. 2025 16:31"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",16064,"2025-09-03T14:31:48.952Z","03. 09. 2025 16:31"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",29241,"2025-09-03T14:32:19.710Z","03. 09. 2025 16:32"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",11033,"2025-09-03T14:32:33.048Z","03. 09. 2025 16:32"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",20236,"2025-09-03T14:32:53.383Z","03. 09. 2025 16:32"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",21048,"2025-09-03T14:33:14.599Z","03. 09. 2025 16:33"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",10956,"2025-09-03T14:33:27.555Z","03. 09. 2025 16:33"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",15910,"2025-09-03T14:33:43.570Z","03. 09. 2025 16:33"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",19521,"2025-09-03T14:34:03.253Z","03. 09. 2025 16:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",13186,"2025-09-03T14:34:18.305Z","03. 09. 2025 16:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",16460,"2025-09-03T14:34:34.947Z","03. 09. 2025 16:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",8358,"2025-09-03T14:34:43.465Z","03. 09. 2025 16:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",17108,"2025-09-03T14:35:00.775Z","03. 09. 2025 16:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",9279,"2025-09-03T14:35:10.256Z","03. 09. 2025 16:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the deposit","passed",12434,"2025-09-03T14:35:22.788Z","03. 09. 2025 16:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited deposit","passed",7898,"2025-09-03T14:35:30.785Z","03. 09. 2025 16:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",4656,"2025-09-03T14:35:35.515Z","03. 09. 2025 16:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",15674,"2025-09-03T14:35:51.313Z","03. 09. 2025 16:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",15110,"2025-09-03T14:36:06.540Z","03. 09. 2025 16:36"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",8899,"2025-09-03T14:36:15.601Z","03. 09. 2025 16:36"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",5095,"2025-09-03T14:36:20.807Z","03. 09. 2025 16:36"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",10657,"2025-09-03T14:36:34.294Z","03. 09. 2025 16:36"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",25049,"2025-09-03T14:36:59.576Z","03. 09. 2025 16:36"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",17425,"2025-09-03T14:37:17.202Z","03. 09. 2025 16:37"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",14841,"2025-09-03T14:37:32.179Z","03. 09. 2025 16:37"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4527,"2025-09-03T14:37:36.804Z","03. 09. 2025 16:37"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Delete all invoices","passed",10844,"2025-09-03T14:37:49.721Z","03. 09. 2025 16:37"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Add contact on the proforma","passed",21040,"2025-09-03T14:38:10.872Z","03. 09. 2025 16:38"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Edit contact on the proforma","passed",16168,"2025-09-03T14:38:27.127Z","03. 09. 2025 16:38"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the deposit","passed",11452,"2025-09-03T14:38:38.657Z","03. 09. 2025 16:38"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the final invoice","passed",13794,"2025-09-03T14:38:52.535Z","03. 09. 2025 16:38"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Smazání kontaktu","passed",4787,"2025-09-03T14:38:57.371Z","03. 09. 2025 16:38"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",32245,"2025-09-03T14:39:30.877Z","03. 09. 2025 16:39"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4636,"2025-09-03T14:39:35.573Z","03. 09. 2025 16:39"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",35335,"2025-09-03T14:40:12.329Z","03. 09. 2025 16:40"
