# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15032,"2025-09-08T09:30:51.373Z","08. 09. 2025 11:30"
"Registration of a test company @high @middle @low","Register a new company","passed",11907,"2025-09-08T09:31:03.320Z","08. 09. 2025 11:31"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12137,"2025-09-08T09:31:16.219Z","08. 09. 2025 11:31"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2838,"2025-09-08T09:31:19.119Z","08. 09. 2025 11:31"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11435,"2025-09-08T09:31:31.379Z","08. 09. 2025 11:31"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",23550,"2025-09-08T09:31:56.083Z","08. 09. 2025 11:31"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",8567,"2025-09-08T09:32:05.676Z","08. 09. 2025 11:32"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",18075,"2025-09-08T09:32:23.818Z","08. 09. 2025 11:32"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",15199,"2025-09-08T09:32:39.075Z","08. 09. 2025 11:32"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",8523,"2025-09-08T09:32:48.654Z","08. 09. 2025 11:32"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",14223,"2025-09-08T09:33:02.924Z","08. 09. 2025 11:33"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",16805,"2025-09-08T09:33:19.792Z","08. 09. 2025 11:33"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",9720,"2025-09-08T09:33:30.561Z","08. 09. 2025 11:33"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",14528,"2025-09-08T09:33:45.151Z","08. 09. 2025 11:33"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",9841,"2025-09-08T09:33:55.048Z","08. 09. 2025 11:33"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",13813,"2025-09-08T09:34:08.913Z","08. 09. 2025 11:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",6707,"2025-09-08T09:34:15.672Z","08. 09. 2025 11:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the deposit","passed",10255,"2025-09-08T09:34:25.995Z","08. 09. 2025 11:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited deposit","passed",7395,"2025-09-08T09:34:33.442Z","08. 09. 2025 11:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",3903,"2025-09-08T09:34:37.369Z","08. 09. 2025 11:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",13608,"2025-09-08T09:34:51.035Z","08. 09. 2025 11:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",12947,"2025-09-08T09:35:04.043Z","08. 09. 2025 11:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",7143,"2025-09-08T09:35:11.244Z","08. 09. 2025 11:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",3174,"2025-09-08T09:35:14.461Z","08. 09. 2025 11:35"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",8845,"2025-09-08T09:35:24.432Z","08. 09. 2025 11:35"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",19488,"2025-09-08T09:35:44.000Z","08. 09. 2025 11:35"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",14869,"2025-09-08T09:35:58.952Z","08. 09. 2025 11:35"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",13231,"2025-09-08T09:36:12.255Z","08. 09. 2025 11:36"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4690,"2025-09-08T09:36:16.991Z","08. 09. 2025 11:36"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Delete all invoices","passed",8914,"2025-09-08T09:36:27.061Z","08. 09. 2025 11:36"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Add contact on the proforma","passed",19684,"2025-09-08T09:36:46.821Z","08. 09. 2025 11:36"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Edit contact on the proforma","passed",14647,"2025-09-08T09:37:01.531Z","08. 09. 2025 11:37"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the deposit","passed",10902,"2025-09-08T09:37:12.491Z","08. 09. 2025 11:37"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the final invoice","passed",12107,"2025-09-08T09:37:24.663Z","08. 09. 2025 11:37"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Smazání kontaktu","passed",4800,"2025-09-08T09:37:29.508Z","08. 09. 2025 11:37"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",29572,"2025-09-08T09:38:00.146Z","08. 09. 2025 11:38"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4727,"2025-09-08T09:38:04.925Z","08. 09. 2025 11:38"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",30293,"2025-09-08T09:38:36.292Z","08. 09. 2025 11:38"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",5021,"2025-09-08T09:38:41.375Z","08. 09. 2025 11:38"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",50251,"2025-09-08T09:39:32.713Z","08. 09. 2025 11:39"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",44014,"2025-09-08T09:40:16.818Z","08. 09. 2025 11:40"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",49384,"2025-09-08T09:41:07.183Z","08. 09. 2025 11:41"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",44221,"2025-09-08T09:41:51.496Z","08. 09. 2025 11:41"
"Add footer text in deposit @low","Create proforma","passed",19299,"2025-09-08T09:42:11.803Z","08. 09. 2025 11:42"
"Add footer text in deposit @low","Add header text and create footer text","passed",54339,"2025-09-08T09:43:06.200Z","08. 09. 2025 11:43"
"Add footer text in corrective @low","Create invoice","passed",19197,"2025-09-08T09:43:26.386Z","08. 09. 2025 11:43"
"Add footer text in corrective @low","Add header text and create footer text","passed",54250,"2025-09-08T09:44:20.720Z","08. 09. 2025 11:44"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",9318,"2025-09-08T09:44:31.110Z","08. 09. 2025 11:44"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",28586,"2025-09-08T09:44:59.761Z","08. 09. 2025 11:44"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",3993,"2025-09-08T09:45:03.785Z","08. 09. 2025 11:45"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",22633,"2025-09-08T09:45:26.462Z","08. 09. 2025 11:45"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",4046,"2025-09-08T09:45:30.538Z","08. 09. 2025 11:45"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",9087,"2025-09-08T09:45:40.554Z","08. 09. 2025 11:45"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",28374,"2025-09-08T09:46:08.992Z","08. 09. 2025 11:46"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",4267,"2025-09-08T09:46:13.288Z","08. 09. 2025 11:46"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of deposit when template is clear","passed",22964,"2025-09-08T09:46:36.320Z","08. 09. 2025 11:46"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded deposit","passed",4327,"2025-09-08T09:46:40.692Z","08. 09. 2025 11:46"
"Delete Company @high @middle @low","Delete company","passed",14486,"2025-09-08T09:46:55.791Z","08. 09. 2025 11:46"
