# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12336,"2025-09-10T14:21:01.285Z","10. 09. 2025 16:21"
"Registration of a test company @high @middle @low","Register a new company","passed",16321,"2025-09-10T14:21:17.653Z","10. 09. 2025 16:21"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16612,"2025-09-10T14:21:35.330Z","10. 09. 2025 16:21"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2925,"2025-09-10T14:21:38.414Z","10. 09. 2025 16:21"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12390,"2025-09-10T14:21:51.786Z","10. 09. 2025 16:21"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",25252,"2025-09-10T14:22:18.495Z","10. 09. 2025 16:22"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",9837,"2025-09-10T14:22:30.296Z","10. 09. 2025 16:22"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",19601,"2025-09-10T14:22:50.060Z","10. 09. 2025 16:22"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",16564,"2025-09-10T14:23:06.768Z","10. 09. 2025 16:23"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",10154,"2025-09-10T14:23:18.652Z","10. 09. 2025 16:23"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",14727,"2025-09-10T14:23:33.453Z","10. 09. 2025 16:23"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",19453,"2025-09-10T14:23:52.993Z","10. 09. 2025 16:23"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",11137,"2025-09-10T14:24:07.791Z","10. 09. 2025 16:24"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",15766,"2025-09-10T14:24:23.696Z","10. 09. 2025 16:24"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",7884,"2025-09-10T14:24:31.663Z","10. 09. 2025 16:24"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the proforma","passed",16065,"2025-09-10T14:24:47.813Z","10. 09. 2025 16:24"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited proforma","passed",7978,"2025-09-10T14:24:55.885Z","10. 09. 2025 16:24"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the deposit","passed",12162,"2025-09-10T14:25:08.145Z","10. 09. 2025 16:25"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited deposit","passed",7981,"2025-09-10T14:25:16.198Z","10. 09. 2025 16:25"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Delete all invoices","passed",4458,"2025-09-10T14:25:20.703Z","10. 09. 2025 16:25"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Prepare invoice for corrective","passed",14113,"2025-09-10T14:25:34.905Z","10. 09. 2025 16:25"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the corrective","passed",14416,"2025-09-10T14:25:49.487Z","10. 09. 2025 16:25"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited corrective","passed",7314,"2025-09-10T14:25:56.940Z","10. 09. 2025 16:25"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Smazaní kontaktů z nastavení","passed",3529,"2025-09-10T14:26:00.715Z","10. 09. 2025 16:26"
"Add contact on the invoice @high @middle @low","Delete all invoices","passed",10757,"2025-09-10T14:26:13.598Z","10. 09. 2025 16:26"
"Add contact on the invoice @high @middle @low","Add new contact on the invoice","passed",22570,"2025-09-10T14:26:36.281Z","10. 09. 2025 16:26"
"Add contact on the invoice @high @middle @low","Edit contact on the invoice","passed",17183,"2025-09-10T14:26:53.589Z","10. 09. 2025 16:26"
"Add contact on the invoice @high @middle @low","Propsání kontaktu na ODD","passed",16881,"2025-09-10T14:27:10.609Z","10. 09. 2025 16:27"
"Add contact on the invoice @high @middle @low","Smazání kontaktu","passed",4551,"2025-09-10T14:27:15.271Z","10. 09. 2025 16:27"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Delete all invoices","passed",10122,"2025-09-10T14:27:27.560Z","10. 09. 2025 16:27"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Add contact on the proforma","passed",23305,"2025-09-10T14:27:50.998Z","10. 09. 2025 16:27"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Edit contact on the proforma","passed",16257,"2025-09-10T14:28:07.364Z","10. 09. 2025 16:28"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the deposit","passed",12121,"2025-09-10T14:28:19.583Z","10. 09. 2025 16:28"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Propagation contact on the final invoice","passed",12598,"2025-09-10T14:28:32.332Z","10. 09. 2025 16:28"
"Add contact to the proforma and propagation on the deposit and final invoice @middle @low","Smazání kontaktu","passed",4347,"2025-09-10T14:28:36.806Z","10. 09. 2025 16:28"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the invoice","passed",32033,"2025-09-10T14:29:10.296Z","10. 09. 2025 16:29"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",5092,"2025-09-10T14:29:15.451Z","10. 09. 2025 16:29"
"Add delivery address to the contact @high @middle @low","Add new contact with two delivery address on the proforma","passed",31925,"2025-09-10T14:29:48.669Z","10. 09. 2025 16:29"
"Add delivery address to the contact @high @middle @low","Delete contact","passed",4214,"2025-09-10T14:29:52.937Z","10. 09. 2025 16:29"
"Add header and footer text on the invoice @high @middle @low","Add header text on the invoice","passed",49511,"2025-09-10T14:30:43.659Z","10. 09. 2025 16:30"
"Add header and footer text on the invoice @high @middle @low","Add footer text on the invoice","passed",43946,"2025-09-10T14:31:27.683Z","10. 09. 2025 16:31"
"Add header and footer text on the proforma @high @middle @low","Add header text on the proforma","passed",49617,"2025-09-10T14:32:18.551Z","10. 09. 2025 16:32"
"Add header and footer text on the proforma @high @middle @low","Add footer text on the proforma","passed",45019,"2025-09-10T14:33:03.647Z","10. 09. 2025 16:33"
"Add footer text in deposit @low","Create proforma","passed",19846,"2025-09-10T14:33:24.663Z","10. 09. 2025 16:33"
"Add footer text in deposit @low","Add header text and create footer text","passed",55232,"2025-09-10T14:34:19.962Z","10. 09. 2025 16:34"
"Add footer text in corrective @low","Create invoice","passed",21033,"2025-09-10T14:34:42.289Z","10. 09. 2025 16:34"
"Add footer text in corrective @low","Add header text and create footer text","passed",53816,"2025-09-10T14:35:36.182Z","10. 09. 2025 16:35"
"Footer and header text when template is not set invoice @low","Delete all invoices","passed",11238,"2025-09-10T14:35:48.484Z","10. 09. 2025 16:35"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of invoice when template is clear","passed",28830,"2025-09-10T14:36:17.381Z","10. 09. 2025 16:36"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded invoice","passed",4058,"2025-09-10T14:36:21.473Z","10. 09. 2025 16:36"
"Footer and header text when template is not set invoice @low","Header and footer text is on the layout of corrective when template is clear","passed",22893,"2025-09-10T14:36:44.625Z","10. 09. 2025 16:36"
"Footer and header text when template is not set invoice @low","Header and footer text is in the downloaded corrective","passed",3939,"2025-09-10T14:36:48.602Z","10. 09. 2025 16:36"
"Footer and header text when template is not set proforma @low","Delete all invoices","passed",8815,"2025-09-10T14:36:58.474Z","10. 09. 2025 16:36"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of proforma when template is clear","passed",28836,"2025-09-10T14:37:27.382Z","10. 09. 2025 16:37"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded proforma","passed",3973,"2025-09-10T14:37:31.392Z","10. 09. 2025 16:37"
"Footer and header text when template is not set proforma @low","Header and footer text is on the layout of deposit when template is clear","passed",23193,"2025-09-10T14:37:54.650Z","10. 09. 2025 16:37"
"Footer and header text when template is not set proforma @low","Header and footer text is in the downloaded deposit","passed",4351,"2025-09-10T14:37:59.044Z","10. 09. 2025 16:37"
"Delete Company @high @middle @low","Delete company","passed",14931,"2025-09-10T14:38:14.761Z","10. 09. 2025 16:38"
