# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11173,"2025-09-11T13:31:54.390Z","11. 09. 2025 15:31"
"Registration of a test company @high @middle @low","Register a new company","passed",12344,"2025-09-11T13:32:06.850Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15551,"2025-09-11T13:32:23.831Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3601,"2025-09-11T13:32:27.557Z","11. 09. 2025 15:32"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12263,"2025-09-11T13:32:41.240Z","11. 09. 2025 15:32"
"Note field cant have more than 250 chars @high @middle @low","Note field on the invoice cant have more than 250 char","passed",26453,"2025-09-11T13:33:08.978Z","11. 09. 2025 15:33"
"Note field cant have more than 250 chars on the proforma and deposit @low","Delete all invoices","passed",9819,"2025-09-11T13:33:20.619Z","11. 09. 2025 15:33"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the proforma cant have more than 250 char","passed",22052,"2025-09-11T13:33:42.816Z","11. 09. 2025 15:33"
"Note field cant have more than 250 chars on the proforma and deposit @low","Note field on the deposit cant have more than 250 char","passed",19019,"2025-09-11T13:34:01.944Z","11. 09. 2025 15:34"
"Note field cant have more than 250 chars on the corrective @low","Delete all invoices","passed",11361,"2025-09-11T13:34:15.361Z","11. 09. 2025 15:34"
"Note field cant have more than 250 chars on the corrective @low","Set invoice for corrective","passed",17126,"2025-09-11T13:34:32.755Z","11. 09. 2025 15:34"
"Note field cant have more than 250 chars on the corrective @low","Note field on the corrective cant have more than 250 char","passed",18449,"2025-09-11T13:34:51.333Z","11. 09. 2025 15:34"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Set contacts (web email fax tel) in the invoice setting","passed",11315,"2025-09-11T13:35:03.894Z","11. 09. 2025 15:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the invoice","passed",16092,"2025-09-11T13:35:20.085Z","11. 09. 2025 15:35"
"Set contacts (web email fax tel) on the invoice setting and propagation on the all invoice @middle @low","Contacts are propagated on the edited invoice","passed",7749,"2025-09-11T13:35:27.946Z","11. 09. 2025 15:35"
