# Spadl jen jeden test opět jen alert při mazání firmy - budu opravovat
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12843,"2025-07-04T09:42:12.297Z","04. 07. 2025 11:42"
"Registration of a test company @high @middle @low","Register a new company","passed",14198,"2025-07-04T09:42:26.529Z","04. 07. 2025 11:42"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16706,"2025-07-04T09:42:44.057Z","04. 07. 2025 11:42"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4883,"2025-07-04T09:42:48.985Z","04. 07. 2025 11:42"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13176,"2025-07-04T09:43:03.039Z","04. 07. 2025 11:43"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",10609,"2025-07-04T09:43:14.885Z","04. 07. 2025 11:43"
"Individual due date - invoice @high @middle @low","Create contact","passed",4806,"2025-07-04T09:43:19.737Z","04. 07. 2025 11:43"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",5807,"2025-07-04T09:43:25.593Z","04. 07. 2025 11:43"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",17954,"2025-07-04T09:43:43.601Z","04. 07. 2025 11:43"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4847,"2025-07-04T09:43:48.482Z","04. 07. 2025 11:43"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",10513,"2025-07-04T09:44:00.247Z","04. 07. 2025 11:44"
"Individual due date - proforma @middle @low","Create contact","passed",5165,"2025-07-04T09:44:05.544Z","04. 07. 2025 11:44"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",6177,"2025-07-04T09:44:11.766Z","04. 07. 2025 11:44"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",18864,"2025-07-04T09:44:30.682Z","04. 07. 2025 11:44"
"Individual due date - proforma @middle @low","Delete contact","passed",4514,"2025-07-04T09:44:35.231Z","04. 07. 2025 11:44"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",11157,"2025-07-04T09:44:47.539Z","04. 07. 2025 11:44"
"Individual due date - corrective @low","Create contact","passed",4873,"2025-07-04T09:44:52.462Z","04. 07. 2025 11:44"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",6306,"2025-07-04T09:44:58.815Z","04. 07. 2025 11:44"
"Individual due date - corrective @low","Create invoice for corrective","passed",16665,"2025-07-04T09:45:15.544Z","04. 07. 2025 11:45"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",17839,"2025-07-04T09:45:33.445Z","04. 07. 2025 11:45"
"Individual due date - corrective @low","Delete contact","passed",4773,"2025-07-04T09:45:38.257Z","04. 07. 2025 11:45"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",28693,"2025-07-04T09:46:08.082Z","04. 07. 2025 11:46"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",21829,"2025-07-04T09:46:29.985Z","04. 07. 2025 11:46"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",23476,"2025-07-04T09:46:53.533Z","04. 07. 2025 11:46"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",27120,"2025-07-04T09:47:21.785Z","04. 07. 2025 11:47"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",21794,"2025-07-04T09:47:43.649Z","04. 07. 2025 11:47"
"Add bank account - invoice @high @middle @low","Add bank account","passed",30216,"2025-07-04T09:48:14.962Z","04. 07. 2025 11:48"
"Add bank account - proforma @high @middle @low","Add bank account","passed",30205,"2025-07-04T09:48:46.302Z","04. 07. 2025 11:48"
"Delete testing company @high @middle @low","Delete company","failed",17382,"2025-07-04T09:49:04.433Z","04. 07. 2025 11:49"
