# Funkční testy na datum
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12867,"2025-07-06T07:39:01.614Z","06. 07. 2025 09:39"
"Registration of a test company @high @middle @low","Register a new company","passed",14671,"2025-07-06T07:39:16.324Z","06. 07. 2025 09:39"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17631,"2025-07-06T07:39:34.692Z","06. 07. 2025 09:39"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4215,"2025-07-06T07:39:38.934Z","06. 07. 2025 09:39"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12616,"2025-07-06T07:39:52.257Z","06. 07. 2025 09:39"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",10945,"2025-07-06T07:40:04.147Z","06. 07. 2025 09:40"
"Individual due date - invoice @high @middle @low","Create contact","passed",4223,"2025-07-06T07:40:08.415Z","06. 07. 2025 09:40"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",5419,"2025-07-06T07:40:13.887Z","06. 07. 2025 09:40"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",17460,"2025-07-06T07:40:31.391Z","06. 07. 2025 09:40"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4335,"2025-07-06T07:40:35.765Z","06. 07. 2025 09:40"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",14454,"2025-07-06T07:40:51.150Z","06. 07. 2025 09:40"
"Individual due date - proforma @middle @low","Create contact","passed",4748,"2025-07-06T07:40:55.947Z","06. 07. 2025 09:40"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5578,"2025-07-06T07:41:01.567Z","06. 07. 2025 09:41"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",17877,"2025-07-06T07:41:19.506Z","06. 07. 2025 09:41"
"Individual due date - proforma @middle @low","Delete contact","passed",4825,"2025-07-06T07:41:24.377Z","06. 07. 2025 09:41"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",10781,"2025-07-06T07:41:36.160Z","06. 07. 2025 09:41"
"Individual due date - corrective @low","Create contact","passed",4208,"2025-07-06T07:41:40.413Z","06. 07. 2025 09:41"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5184,"2025-07-06T07:41:45.640Z","06. 07. 2025 09:41"
"Individual due date - corrective @low","Create invoice for corrective","passed",18214,"2025-07-06T07:42:03.899Z","06. 07. 2025 09:42"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",17181,"2025-07-06T07:42:21.146Z","06. 07. 2025 09:42"
"Individual due date - corrective @low","Delete contact","passed",4175,"2025-07-06T07:42:25.357Z","06. 07. 2025 09:42"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",29654,"2025-07-06T07:42:55.914Z","06. 07. 2025 09:42"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",21881,"2025-07-06T07:43:17.834Z","06. 07. 2025 09:43"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",22068,"2025-07-06T07:43:39.947Z","06. 07. 2025 09:43"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",28130,"2025-07-06T07:44:08.970Z","06. 07. 2025 09:44"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",21933,"2025-07-06T07:44:30.956Z","06. 07. 2025 09:44"
"Add bank account - invoice @high @middle @low","Add bank account","passed",32820,"2025-07-06T07:45:04.656Z","06. 07. 2025 09:45"
"Add bank account - proforma @high @middle @low","Add bank account","passed",30697,"2025-07-06T07:45:36.228Z","06. 07. 2025 09:45"
"Delete testing company @high @middle @low","Delete company","passed",19398,"2025-07-06T07:45:56.262Z","06. 07. 2025 09:45"
