"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11188,"2025-08-18T06:09:27.521Z","18. 08. 2025 08:09"
"Registration of a test company @high @middle @low","Register a new company","passed",15040,"2025-08-18T06:09:42.595Z","18. 08. 2025 08:09"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",12261,"2025-08-18T06:09:55.678Z","18. 08. 2025 08:09"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3264,"2025-08-18T06:09:59.043Z","18. 08. 2025 08:09"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13698,"2025-08-18T06:10:13.961Z","18. 08. 2025 08:10"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",7571,"2025-08-18T06:10:22.980Z","18. 08. 2025 08:10"
"Individual due date - invoice @high @middle @low","Create contact","passed",3895,"2025-08-18T06:10:26.948Z","18. 08. 2025 08:10"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",3768,"2025-08-18T06:10:30.801Z","18. 08. 2025 08:10"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",15654,"2025-08-18T06:10:46.528Z","18. 08. 2025 08:10"
"Individual due date - invoice @high @middle @low","Delete contact","passed",3999,"2025-08-18T06:10:50.575Z","18. 08. 2025 08:10"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",8384,"2025-08-18T06:11:00.472Z","18. 08. 2025 08:11"
"Individual due date - proforma @middle @low","Create contact","passed",2835,"2025-08-18T06:11:03.393Z","18. 08. 2025 08:11"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",4056,"2025-08-18T06:11:07.542Z","18. 08. 2025 08:11"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",17621,"2025-08-18T06:11:25.281Z","18. 08. 2025 08:11"
"Individual due date - proforma @middle @low","Delete contact","passed",4140,"2025-08-18T06:11:29.505Z","18. 08. 2025 08:11"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",9771,"2025-08-18T06:11:40.992Z","18. 08. 2025 08:11"
"Individual due date - corrective @low","Create contact","passed",2907,"2025-08-18T06:11:43.991Z","18. 08. 2025 08:11"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",4149,"2025-08-18T06:11:48.244Z","18. 08. 2025 08:11"
"Individual due date - corrective @low","Create invoice for corrective","passed",14460,"2025-08-18T06:12:02.842Z","18. 08. 2025 08:12"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",12567,"2025-08-18T06:12:15.517Z","18. 08. 2025 08:12"
"Individual due date - corrective @low","Delete contact","passed",4130,"2025-08-18T06:12:19.701Z","18. 08. 2025 08:12"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",22766,"2025-08-18T06:12:43.837Z","18. 08. 2025 08:12"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",19948,"2025-08-18T06:13:03.886Z","18. 08. 2025 08:13"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",18477,"2025-08-18T06:13:22.458Z","18. 08. 2025 08:13"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",22029,"2025-08-18T06:13:46.072Z","18. 08. 2025 08:13"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",17018,"2025-08-18T06:14:03.186Z","18. 08. 2025 08:14"
"Add bank account - invoice @high @middle @low","Add bank account","passed",23525,"2025-08-18T06:14:28.200Z","18. 08. 2025 08:14"
"Add bank account - proforma @high @middle @low","Add bank account","passed",22762,"2025-08-18T06:14:52.415Z","18. 08. 2025 08:14"
"Delete testing company @high @middle @low","Delete company","passed",14081,"2025-08-18T06:15:07.467Z","18. 08. 2025 08:15"
