# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13728,"2025-08-25T10:55:11.782Z","25. 08. 2025 12:55"
"Registration of a test company @high @middle @low","Register a new company","passed",13657,"2025-08-25T10:55:25.492Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",19382,"2025-08-25T10:55:45.776Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3934,"2025-08-25T10:55:49.949Z","25. 08. 2025 12:55"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13796,"2025-08-25T10:56:05.340Z","25. 08. 2025 12:56"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",9267,"2025-08-25T10:56:16.614Z","25. 08. 2025 12:56"
"Individual due date - invoice @high @middle @low","Create contact","passed",4219,"2025-08-25T10:56:20.882Z","25. 08. 2025 12:56"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",4703,"2025-08-25T10:56:25.653Z","25. 08. 2025 12:56"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",15432,"2025-08-25T10:56:41.168Z","25. 08. 2025 12:56"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4966,"2025-08-25T10:56:46.211Z","25. 08. 2025 12:56"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9056,"2025-08-25T10:56:56.746Z","25. 08. 2025 12:56"
"Individual due date - proforma @middle @low","Create contact","passed",3128,"2025-08-25T10:56:59.980Z","25. 08. 2025 12:56"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",4427,"2025-08-25T10:57:04.452Z","25. 08. 2025 12:57"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",15363,"2025-08-25T10:57:19.898Z","25. 08. 2025 12:57"
"Individual due date - proforma @middle @low","Delete contact","passed",4854,"2025-08-25T10:57:24.807Z","25. 08. 2025 12:57"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",8473,"2025-08-25T10:57:34.992Z","25. 08. 2025 12:57"
"Individual due date - corrective @low","Create contact","passed",2951,"2025-08-25T10:57:38.092Z","25. 08. 2025 12:57"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",4825,"2025-08-25T10:57:43.001Z","25. 08. 2025 12:57"
"Individual due date - corrective @low","Create invoice for corrective","passed",15167,"2025-08-25T10:57:58.230Z","25. 08. 2025 12:57"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",15848,"2025-08-25T10:58:14.197Z","25. 08. 2025 12:58"
"Individual due date - corrective @low","Delete contact","passed",4446,"2025-08-25T10:58:18.704Z","25. 08. 2025 12:58"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",23322,"2025-08-25T10:58:43.455Z","25. 08. 2025 12:58"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",18902,"2025-08-25T10:59:02.460Z","25. 08. 2025 12:59"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",20288,"2025-08-25T10:59:22.851Z","25. 08. 2025 12:59"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",23606,"2025-08-25T10:59:47.927Z","25. 08. 2025 12:59"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",17646,"2025-08-25T11:00:05.688Z","25. 08. 2025 13:00"
"Add bank account - invoice @high @middle @low","Add bank account","passed",25328,"2025-08-25T11:00:32.726Z","25. 08. 2025 13:00"
"Add bank account - proforma @high @middle @low","Add bank account","passed",25564,"2025-08-25T11:00:59.670Z","25. 08. 2025 13:00"
"Delete testing company @high @middle @low","Delete company","passed",15779,"2025-08-25T11:01:16.340Z","25. 08. 2025 13:01"
