# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC spadl pouze flak test na smazání firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13178,"2025-08-31T17:27:06.773Z","31. 08. 2025 19:27"
"Registration of a test company @high @middle @low","Register a new company","passed",13849,"2025-08-31T17:27:20.690Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14071,"2025-08-31T17:27:35.654Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3831,"2025-08-31T17:27:39.613Z","31. 08. 2025 19:27"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11830,"2025-08-31T17:27:52.746Z","31. 08. 2025 19:27"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",8712,"2025-08-31T17:28:02.906Z","31. 08. 2025 19:28"
"Individual due date - invoice @high @middle @low","Create contact","passed",3339,"2025-08-31T17:28:06.355Z","31. 08. 2025 19:28"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",5000,"2025-08-31T17:28:11.489Z","31. 08. 2025 19:28"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",15417,"2025-08-31T17:28:27.009Z","31. 08. 2025 19:28"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4450,"2025-08-31T17:28:31.527Z","31. 08. 2025 19:28"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9057,"2025-08-31T17:28:42.285Z","31. 08. 2025 19:28"
"Individual due date - proforma @middle @low","Create contact","passed",3250,"2025-08-31T17:28:45.691Z","31. 08. 2025 19:28"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5186,"2025-08-31T17:28:51.016Z","31. 08. 2025 19:28"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",18756,"2025-08-31T17:29:10.006Z","31. 08. 2025 19:29"
"Individual due date - proforma @middle @low","Delete contact","passed",4749,"2025-08-31T17:29:15.020Z","31. 08. 2025 19:29"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",10524,"2025-08-31T17:29:27.769Z","31. 08. 2025 19:29"
"Individual due date - corrective @low","Create contact","passed",3607,"2025-08-31T17:29:31.504Z","31. 08. 2025 19:29"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5120,"2025-08-31T17:29:36.753Z","31. 08. 2025 19:29"
"Individual due date - corrective @low","Create invoice for corrective","passed",17502,"2025-08-31T17:29:54.349Z","31. 08. 2025 19:29"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",14415,"2025-08-31T17:30:08.999Z","31. 08. 2025 19:30"
"Individual due date - corrective @low","Delete contact","passed",5130,"2025-08-31T17:30:14.364Z","31. 08. 2025 19:30"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",25653,"2025-08-31T17:30:42.243Z","31. 08. 2025 19:30"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",20656,"2025-08-31T17:31:03.150Z","31. 08. 2025 19:31"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",23427,"2025-08-31T17:31:26.761Z","31. 08. 2025 19:31"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",26812,"2025-08-31T17:31:56.627Z","31. 08. 2025 19:31"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",22174,"2025-08-31T17:32:19.039Z","31. 08. 2025 19:32"
"Add bank account - invoice @high @middle @low","Add bank account","passed",28671,"2025-08-31T17:32:51.530Z","31. 08. 2025 19:32"
"Add bank account - proforma @high @middle @low","Add bank account","passed",29162,"2025-08-31T17:33:22.978Z","31. 08. 2025 19:33"
"Delete testing company @high @middle @low","Delete company","failed",20481,"2025-08-31T17:33:46.266Z","31. 08. 2025 19:33"
