# Testování beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13121,"2025-09-03T14:30:57.091Z","03. 09. 2025 16:30"
"Registration of a test company @high @middle @low","Register a new company","passed",14948,"2025-09-03T14:31:12.158Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16982,"2025-09-03T14:31:30.033Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3837,"2025-09-03T14:31:33.970Z","03. 09. 2025 16:31"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14504,"2025-09-03T14:31:50.189Z","03. 09. 2025 16:31"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",12882,"2025-09-03T14:32:04.587Z","03. 09. 2025 16:32"
"Individual due date - invoice @high @middle @low","Create contact","passed",3865,"2025-09-03T14:32:08.552Z","03. 09. 2025 16:32"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",5556,"2025-09-03T14:32:14.248Z","03. 09. 2025 16:32"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",18255,"2025-09-03T14:32:32.605Z","03. 09. 2025 16:32"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4439,"2025-09-03T14:32:37.118Z","03. 09. 2025 16:32"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",10219,"2025-09-03T14:32:49.472Z","03. 09. 2025 16:32"
"Individual due date - proforma @middle @low","Create contact","passed",3554,"2025-09-03T14:32:53.254Z","03. 09. 2025 16:32"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",6306,"2025-09-03T14:32:59.724Z","03. 09. 2025 16:32"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",18944,"2025-09-03T14:33:18.946Z","03. 09. 2025 16:33"
"Individual due date - proforma @middle @low","Delete contact","passed",4505,"2025-09-03T14:33:23.540Z","03. 09. 2025 16:33"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",11098,"2025-09-03T14:33:36.793Z","03. 09. 2025 16:33"
"Individual due date - corrective @low","Create contact","passed",3688,"2025-09-03T14:33:40.773Z","03. 09. 2025 16:33"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5917,"2025-09-03T14:33:46.784Z","03. 09. 2025 16:33"
"Individual due date - corrective @low","Create invoice for corrective","passed",17137,"2025-09-03T14:34:04.050Z","03. 09. 2025 16:34"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",15111,"2025-09-03T14:34:19.280Z","03. 09. 2025 16:34"
"Individual due date - corrective @low","Delete contact","passed",4568,"2025-09-03T14:34:23.926Z","03. 09. 2025 16:34"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",27034,"2025-09-03T14:34:53.026Z","03. 09. 2025 16:34"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",21304,"2025-09-03T14:35:14.502Z","03. 09. 2025 16:35"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",22151,"2025-09-03T14:35:36.865Z","03. 09. 2025 16:35"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",28363,"2025-09-03T14:36:07.858Z","03. 09. 2025 16:36"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",20660,"2025-09-03T14:36:28.662Z","03. 09. 2025 16:36"
"Add bank account - invoice @high @middle @low","Add bank account","passed",28471,"2025-09-03T14:36:59.314Z","03. 09. 2025 16:36"
"Add bank account - proforma @high @middle @low","Add bank account","passed",29062,"2025-09-03T14:37:30.626Z","03. 09. 2025 16:37"
"Delete testing company @high @middle @low","Delete company","passed",16049,"2025-09-03T14:37:47.957Z","03. 09. 2025 16:37"
