# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10497,"2025-09-08T08:41:28.940Z","08. 09. 2025 10:41"
"Registration of a test company @high @middle @low","Register a new company","passed",14399,"2025-09-08T08:41:43.387Z","08. 09. 2025 10:41"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15864,"2025-09-08T08:42:00.135Z","08. 09. 2025 10:42"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4651,"2025-09-08T08:42:05.120Z","08. 09. 2025 10:42"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12798,"2025-09-08T08:42:19.578Z","08. 09. 2025 10:42"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",8630,"2025-09-08T08:42:29.985Z","08. 09. 2025 10:42"
"Individual due date - invoice @high @middle @low","Create contact","passed",3319,"2025-09-08T08:42:33.378Z","08. 09. 2025 10:42"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",4902,"2025-09-08T08:42:38.373Z","08. 09. 2025 10:42"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",16899,"2025-09-08T08:42:55.487Z","08. 09. 2025 10:42"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4232,"2025-09-08T08:42:59.767Z","08. 09. 2025 10:42"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9251,"2025-09-08T08:43:10.432Z","08. 09. 2025 10:43"
"Individual due date - proforma @middle @low","Create contact","passed",3108,"2025-09-08T08:43:13.876Z","08. 09. 2025 10:43"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",4763,"2025-09-08T08:43:18.770Z","08. 09. 2025 10:43"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",20201,"2025-09-08T08:43:39.174Z","08. 09. 2025 10:43"
"Individual due date - proforma @middle @low","Delete contact","passed",4441,"2025-09-08T08:43:43.722Z","08. 09. 2025 10:43"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",10277,"2025-09-08T08:43:56.174Z","08. 09. 2025 10:43"
"Individual due date - corrective @low","Create contact","passed",3176,"2025-09-08T08:43:59.448Z","08. 09. 2025 10:43"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",6015,"2025-09-08T08:44:05.666Z","08. 09. 2025 10:44"
"Individual due date - corrective @low","Create invoice for corrective","passed",15982,"2025-09-08T08:44:21.788Z","08. 09. 2025 10:44"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",14413,"2025-09-08T08:44:36.343Z","08. 09. 2025 10:44"
"Individual due date - corrective @low","Delete contact","passed",4376,"2025-09-08T08:44:40.865Z","08. 09. 2025 10:44"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",25005,"2025-09-08T08:45:07.827Z","08. 09. 2025 10:45"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",19536,"2025-09-08T08:45:27.508Z","08. 09. 2025 10:45"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",19718,"2025-09-08T08:45:47.398Z","08. 09. 2025 10:45"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",24822,"2025-09-08T08:46:15.063Z","08. 09. 2025 10:46"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",22044,"2025-09-08T08:46:37.276Z","08. 09. 2025 10:46"
"Add bank account - invoice @high @middle @low","Add bank account","passed",28507,"2025-09-08T08:47:09.103Z","08. 09. 2025 10:47"
"Add bank account - proforma @high @middle @low","Add bank account","passed",26749,"2025-09-08T08:47:37.890Z","08. 09. 2025 10:47"
"Delete testing company @high @middle @low","Delete company","passed",14719,"2025-09-08T08:47:53.913Z","08. 09. 2025 10:47"
