# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11271,"2025-09-11T13:31:54.453Z","11. 09. 2025 15:31"
"Registration of a test company @high @middle @low","Register a new company","passed",17791,"2025-09-11T13:32:12.326Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15587,"2025-09-11T13:32:29.106Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2907,"2025-09-11T13:32:32.083Z","11. 09. 2025 15:32"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12558,"2025-09-11T13:32:45.701Z","11. 09. 2025 15:32"
"Individual due date - invoice @high @middle @low","Set due date in the setting - invoice","passed",10287,"2025-09-11T13:32:57.466Z","11. 09. 2025 15:32"
"Individual due date - invoice @high @middle @low","Create contact","passed",3206,"2025-09-11T13:33:01.015Z","11. 09. 2025 15:33"
"Individual due date - invoice @high @middle @low","Set due date in the contact for invoice","passed",4724,"2025-09-11T13:33:05.881Z","11. 09. 2025 15:33"
"Individual due date - invoice @high @middle @low","Test due date on the invoice is correct","passed",16291,"2025-09-11T13:33:22.293Z","11. 09. 2025 15:33"
"Individual due date - invoice @high @middle @low","Delete contact","passed",4899,"2025-09-11T13:33:27.281Z","11. 09. 2025 15:33"
"Individual due date - proforma @middle @low","Set due date in the setting - proforma","passed",9103,"2025-09-11T13:33:38.854Z","11. 09. 2025 15:33"
"Individual due date - proforma @middle @low","Create contact","passed",5012,"2025-09-11T13:33:43.982Z","11. 09. 2025 15:33"
"Individual due date - proforma @middle @low","Set due date in the contact for invoice","passed",5169,"2025-09-11T13:33:49.265Z","11. 09. 2025 15:33"
"Individual due date - proforma @middle @low","Test due date on the proforma is correct","passed",21731,"2025-09-11T13:34:11.109Z","11. 09. 2025 15:34"
"Individual due date - proforma @middle @low","Delete contact","passed",4858,"2025-09-11T13:34:16.104Z","11. 09. 2025 15:34"
"Individual due date - corrective @low","Set due date in the setting - corrective","passed",10631,"2025-09-11T13:34:30.631Z","11. 09. 2025 15:34"
"Individual due date - corrective @low","Create contact","passed",3532,"2025-09-11T13:34:34.312Z","11. 09. 2025 15:34"
"Individual due date - corrective @low","Set due date in the contact for invoice","passed",5520,"2025-09-11T13:34:40.023Z","11. 09. 2025 15:34"
"Individual due date - corrective @low","Create invoice for corrective","passed",16841,"2025-09-11T13:34:56.978Z","11. 09. 2025 15:34"
"Individual due date - corrective @low","Test due date on the corrective is correct","passed",14179,"2025-09-11T13:35:11.424Z","11. 09. 2025 15:35"
"Individual due date - corrective @low","Delete contact","passed",4503,"2025-09-11T13:35:16.109Z","11. 09. 2025 15:35"
"Test alerts for dates - invoice @high @middle @low","Due date cant be less  than date UZP","passed",25704,"2025-09-11T13:35:44.448Z","11. 09. 2025 15:35"
"Test alerts for dates - invoice @high @middle @low","Date created cant be more than 15 days date UZP","passed",19732,"2025-09-11T13:36:04.530Z","11. 09. 2025 15:36"
"Test alerts for dates - invoice @high @middle @low","Date created cant be less than 15 days date UZP","passed",22509,"2025-09-11T13:36:27.301Z","11. 09. 2025 15:36"
"Test alerts for dates - proforma @low","Due date cant be less than date created","passed",26602,"2025-09-11T13:36:57.007Z","11. 09. 2025 15:36"
"Test alerts for dates - proforma @low","Date created other dph time alert","passed",20655,"2025-09-11T13:37:17.756Z","11. 09. 2025 15:37"
"Add bank account - invoice @high @middle @low","Add bank account","passed",26346,"2025-09-11T13:37:45.579Z","11. 09. 2025 15:37"
"Add bank account - proforma @high @middle @low","Add bank account","passed",28250,"2025-09-11T13:38:15.216Z","11. 09. 2025 15:38"
"Delete testing company @high @middle @low","Delete company","passed",14467,"2025-09-11T13:38:30.899Z","11. 09. 2025 15:38"
