# Spadl opět jen alert test - faktury jsou funkční
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","failed",20578,"2025-07-04T10:16:11.855Z","04. 07. 2025 12:16"
"Registration of a test company @high @middle @low","Register a new company","passed",14622,"2025-07-04T10:16:26.544Z","04. 07. 2025 12:16"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17466,"2025-07-04T10:16:44.822Z","04. 07. 2025 12:16"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4809,"2025-07-04T10:16:49.740Z","04. 07. 2025 12:16"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13533,"2025-07-04T10:17:04.131Z","04. 07. 2025 12:17"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",57832,"2025-07-04T10:18:03.162Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",11984,"2025-07-04T10:18:15.216Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",6037,"2025-07-04T10:18:21.303Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",24765,"2025-07-04T10:18:46.135Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",4669,"2025-07-04T10:18:50.844Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",4005,"2025-07-04T10:18:54.889Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4067,"2025-07-04T10:18:58.992Z","04. 07. 2025 12:18"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",53131,"2025-07-04T10:19:53.366Z","04. 07. 2025 12:19"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3981,"2025-07-04T10:19:57.414Z","04. 07. 2025 12:19"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",6140,"2025-07-04T10:20:03.600Z","04. 07. 2025 12:20"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",25373,"2025-07-04T10:20:29.043Z","04. 07. 2025 12:20"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",4691,"2025-07-04T10:20:33.776Z","04. 07. 2025 12:20"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",4023,"2025-07-04T10:20:37.840Z","04. 07. 2025 12:20"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",4071,"2025-07-04T10:20:41.942Z","04. 07. 2025 12:20"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",24600,"2025-07-04T10:21:07.645Z","04. 07. 2025 12:21"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4877,"2025-07-04T10:21:12.558Z","04. 07. 2025 12:21"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",23933,"2025-07-04T10:21:37.545Z","04. 07. 2025 12:21"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4758,"2025-07-04T10:21:42.341Z","04. 07. 2025 12:21"
"Note is reflected to the final invoice @low","Delete all invoices","passed",11491,"2025-07-04T10:21:54.906Z","04. 07. 2025 12:21"
"Note is reflected to the final invoice @low","Create proforma with note in the proforma item","passed",17224,"2025-07-04T10:22:12.191Z","04. 07. 2025 12:22"
"Note is reflected to the final invoice @low","Create deposit to the proforma","passed",15474,"2025-07-04T10:22:27.730Z","04. 07. 2025 12:22"
"Note is reflected to the final invoice @low","Verify note is reflected on the final invoice","passed",17121,"2025-07-04T10:22:44.906Z","04. 07. 2025 12:22"
"Vat breakdown in invoice and corrective @high @middle @low","Create invoice with vat breakdown","passed",29315,"2025-07-04T10:23:15.369Z","04. 07. 2025 12:23"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded invoice pdf","passed",4301,"2025-07-04T10:23:19.702Z","04. 07. 2025 12:23"
"Vat breakdown in invoice and corrective @high @middle @low","Vat breakdown is reflected on the corrective","passed",19400,"2025-07-04T10:23:39.153Z","04. 07. 2025 12:23"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded corrective pdf","passed",4925,"2025-07-04T10:23:44.110Z","04. 07. 2025 12:23"
"Control RPDP on the invoice @high @middle @low","Log: All invoice variables to console","passed",5271,"2025-07-04T10:23:50.402Z","04. 07. 2025 12:23"
"Control RPDP on the invoice @high @middle @low","Create invoice with RPDP and verify RPDP is reflected on the layout of invoice","passed",49362,"2025-07-04T10:24:39.837Z","04. 07. 2025 12:24"
"Control RPDP on the invoice @high @middle @low","RPDP is reflected on the downloaded invoice","passed",4508,"2025-07-04T10:24:44.390Z","04. 07. 2025 12:24"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",45094,"2025-07-04T10:25:30.584Z","04. 07. 2025 12:25"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",11696,"2025-07-04T10:25:42.352Z","04. 07. 2025 12:25"
"Add center in the invoice and control edited invoice @high @middle @low","Center is propagated to the corrective","passed",19796,"2025-07-04T10:26:02.221Z","04. 07. 2025 12:26"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 1","passed",4703,"2025-07-04T10:26:06.967Z","04. 07. 2025 12:26"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 2","passed",4090,"2025-07-04T10:26:11.082Z","04. 07. 2025 12:26"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 3","passed",4035,"2025-07-04T10:26:15.147Z","04. 07. 2025 12:26"
"Add center in the proforma and control edited proforma @low","Add three centers to the proforma and set them to the three proforma items","passed",45483,"2025-07-04T10:27:01.813Z","04. 07. 2025 12:27"
"Add center in the proforma and control edited proforma @low","Edit proforma and control centers are set","passed",13207,"2025-07-04T10:27:15.078Z","04. 07. 2025 12:27"
"Add center in the proforma and control edited proforma @low","Delete center 4","passed",4222,"2025-07-04T10:27:19.342Z","04. 07. 2025 12:27"
"Add center in the proforma and control edited proforma @low","Delete center 5","passed",4037,"2025-07-04T10:27:23.408Z","04. 07. 2025 12:27"
"Add center in the proforma and control edited proforma @low","Delete center 6","passed",4017,"2025-07-04T10:27:27.460Z","04. 07. 2025 12:27"
"Add activity in the invoice and control edited invoice @high @middle @low","Add three activity to the invoice and set them to the three invoice items","passed",46714,"2025-07-04T10:28:15.306Z","04. 07. 2025 12:28"
"Add activity in the invoice and control edited invoice @high @middle @low","Edit invoice and control activity are set","passed",11043,"2025-07-04T10:28:26.413Z","04. 07. 2025 12:28"
"Add activity in the invoice and control edited invoice @high @middle @low","Activity propagated to the corrective","passed",19688,"2025-07-04T10:28:46.158Z","04. 07. 2025 12:28"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 1","passed",4353,"2025-07-04T10:28:50.541Z","04. 07. 2025 12:28"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 2","passed",3997,"2025-07-04T10:28:54.565Z","04. 07. 2025 12:28"
"Add activity in the invoice and control edited invoice @high @middle @low","Delete activity 3","passed",4004,"2025-07-04T10:28:58.599Z","04. 07. 2025 12:28"
"Add activity in the proforma and control edited proforma @low","Add three activity to the proforma and set them to the three invoice items","passed",45970,"2025-07-04T10:29:45.733Z","04. 07. 2025 12:29"
"Add activity in the proforma and control edited proforma @low","Edit proforma and control activity are set","passed",11647,"2025-07-04T10:29:57.441Z","04. 07. 2025 12:29"
"Add activity in the proforma and control edited proforma @low","Delete activity 4","passed",4404,"2025-07-04T10:30:01.890Z","04. 07. 2025 12:30"
"Add activity in the proforma and control edited proforma @low","Delete activity 5","passed",4089,"2025-07-04T10:30:06.010Z","04. 07. 2025 12:30"
"Add activity in the proforma and control edited proforma @low","Delete activity 6","passed",4455,"2025-07-04T10:30:10.505Z","04. 07. 2025 12:30"
"Add project in the invoice and control edited invoice @low","Create contact","passed",11140,"2025-07-04T10:30:22.817Z","04. 07. 2025 12:30"
"Add project in the invoice and control edited invoice @low","Create center","passed",3909,"2025-07-04T10:30:26.776Z","04. 07. 2025 12:30"
"Add project in the invoice and control edited invoice @low","Create activity","passed",3689,"2025-07-04T10:30:30.516Z","04. 07. 2025 12:30"
"Add project in the invoice and control edited invoice @low","Add three project to the invoice and set them to the three invoice items","passed",51851,"2025-07-04T10:31:22.445Z","04. 07. 2025 12:31"
"Add project in the invoice and control edited invoice @low","Edit invoice and control projects are set","passed",12193,"2025-07-04T10:31:34.711Z","04. 07. 2025 12:31"
"Add project in the invoice and control edited invoice @low","Projects propagated to the corrective","passed",19926,"2025-07-04T10:31:54.710Z","04. 07. 2025 12:31"
"Add project in the invoice and control edited invoice @low","Delete contact","passed",4734,"2025-07-04T10:31:59.482Z","04. 07. 2025 12:31"
"Add project in the invoice and control edited invoice @low","Delete activity","passed",4129,"2025-07-04T10:32:03.659Z","04. 07. 2025 12:32"
"Add project in the invoice and control edited invoice @low","Delete center","passed",4304,"2025-07-04T10:32:08.001Z","04. 07. 2025 12:32"
"Add project in the invoice and control edited invoice @low","Delete project 1","passed",4031,"2025-07-04T10:32:12.065Z","04. 07. 2025 12:32"
"Add project in the invoice and control edited invoice @low","Delete project 2","passed",4021,"2025-07-04T10:32:16.123Z","04. 07. 2025 12:32"
"Add project in the invoice and control edited invoice @low","Delete project 3","passed",4093,"2025-07-04T10:32:20.257Z","04. 07. 2025 12:32"
"Add project in the invoice and control edited proforma @high @middle @low","Create contact","passed",10316,"2025-07-04T10:32:31.799Z","04. 07. 2025 12:32"
