"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",15108,"2025-07-17T13:11:04.610Z","17. 07. 2025 15:11"
"Registration of a test company @high @middle @low","Register a new company","passed",19731,"2025-07-17T13:11:24.424Z","17. 07. 2025 15:11"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",18333,"2025-07-17T13:11:43.765Z","17. 07. 2025 15:11"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",4524,"2025-07-17T13:11:48.352Z","17. 07. 2025 15:11"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",14313,"2025-07-17T13:12:03.783Z","17. 07. 2025 15:12"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",54908,"2025-07-17T13:13:00.376Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",3706,"2025-07-17T13:13:04.209Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5713,"2025-07-17T13:13:10.009Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",24534,"2025-07-17T13:13:34.638Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",4559,"2025-07-17T13:13:39.268Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",4036,"2025-07-17T13:13:43.344Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4148,"2025-07-17T13:13:47.543Z","17. 07. 2025 15:13"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",54453,"2025-07-17T13:14:43.836Z","17. 07. 2025 15:14"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3747,"2025-07-17T13:14:47.689Z","17. 07. 2025 15:14"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",6403,"2025-07-17T13:14:54.158Z","17. 07. 2025 15:14"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",25612,"2025-07-17T13:15:19.900Z","17. 07. 2025 15:15"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",4544,"2025-07-17T13:15:24.513Z","17. 07. 2025 15:15"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",4078,"2025-07-17T13:15:28.630Z","17. 07. 2025 15:15"
