# Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",19776,"2025-08-25T10:55:17.850Z","25. 08. 2025 12:55"
"Registration of a test company @high @middle @low","Register a new company","passed",20330,"2025-08-25T10:55:38.237Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16360,"2025-08-25T10:55:55.945Z","25. 08. 2025 12:55"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3678,"2025-08-25T10:55:59.799Z","25. 08. 2025 12:55"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",11862,"2025-08-25T10:56:12.679Z","25. 08. 2025 12:56"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",49254,"2025-08-25T10:57:04.244Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2565,"2025-08-25T10:57:06.913Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",4556,"2025-08-25T10:57:11.530Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",23185,"2025-08-25T10:57:34.833Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2121,"2025-08-25T10:57:37.045Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2907,"2025-08-25T10:57:39.997Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4826,"2025-08-25T10:57:44.866Z","25. 08. 2025 12:57"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",50088,"2025-08-25T10:58:36.420Z","25. 08. 2025 12:58"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",2437,"2025-08-25T10:58:38.935Z","25. 08. 2025 12:58"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",4545,"2025-08-25T10:58:43.527Z","25. 08. 2025 12:58"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",23103,"2025-08-25T10:59:06.752Z","25. 08. 2025 12:59"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",2298,"2025-08-25T10:59:09.120Z","25. 08. 2025 12:59"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",2508,"2025-08-25T10:59:11.676Z","25. 08. 2025 12:59"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",5106,"2025-08-25T10:59:16.850Z","25. 08. 2025 12:59"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",26885,"2025-08-25T10:59:45.614Z","25. 08. 2025 12:59"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4136,"2025-08-25T10:59:49.816Z","25. 08. 2025 12:59"
