# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC spadl pouze flak test na smazání firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12802,"2025-08-31T17:27:06.427Z","31. 08. 2025 19:27"
"Registration of a test company @high @middle @low","Register a new company","passed",11460,"2025-08-31T17:27:17.989Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",13732,"2025-08-31T17:27:32.617Z","31. 08. 2025 19:27"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3075,"2025-08-31T17:27:35.962Z","31. 08. 2025 19:27"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13082,"2025-08-31T17:27:51.134Z","31. 08. 2025 19:27"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",48708,"2025-08-31T17:28:41.487Z","31. 08. 2025 19:28"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2962,"2025-08-31T17:28:44.592Z","31. 08. 2025 19:28"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5545,"2025-08-31T17:28:50.279Z","31. 08. 2025 19:28"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",24350,"2025-08-31T17:29:14.800Z","31. 08. 2025 19:29"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2608,"2025-08-31T17:29:17.522Z","31. 08. 2025 19:29"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",3017,"2025-08-31T17:29:20.694Z","31. 08. 2025 19:29"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",4999,"2025-08-31T17:29:25.802Z","31. 08. 2025 19:29"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",52806,"2025-08-31T17:30:20.882Z","31. 08. 2025 19:30"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",2896,"2025-08-31T17:30:23.947Z","31. 08. 2025 19:30"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",5403,"2025-08-31T17:30:29.635Z","31. 08. 2025 19:30"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",26082,"2025-08-31T17:30:56.008Z","31. 08. 2025 19:30"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",3178,"2025-08-31T17:30:59.394Z","31. 08. 2025 19:30"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",3115,"2025-08-31T17:31:02.688Z","31. 08. 2025 19:31"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",4999,"2025-08-31T17:31:07.844Z","31. 08. 2025 19:31"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",34791,"2025-08-31T17:31:46.695Z","31. 08. 2025 19:31"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4611,"2025-08-31T17:31:51.412Z","31. 08. 2025 19:31"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",32538,"2025-08-31T17:32:26.370Z","31. 08. 2025 19:32"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4315,"2025-08-31T17:32:30.798Z","31. 08. 2025 19:32"
"Note is reflected to the final invoice @low","Delete all invoices","passed",10387,"2025-08-31T17:32:43.041Z","31. 08. 2025 19:32"
"Note is reflected to the final invoice @low","Create proforma with note in the proforma item","passed",15560,"2025-08-31T17:32:58.707Z","31. 08. 2025 19:32"
"Note is reflected to the final invoice @low","Create deposit to the proforma","passed",12358,"2025-08-31T17:33:11.256Z","31. 08. 2025 19:33"
"Note is reflected to the final invoice @low","Verify note is reflected on the final invoice","passed",14223,"2025-08-31T17:33:25.685Z","31. 08. 2025 19:33"
"Vat breakdown in invoice and corrective @high @middle @low","Create invoice with vat breakdown","passed",26876,"2025-08-31T17:33:54.729Z","31. 08. 2025 19:33"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded invoice pdf","passed",4365,"2025-08-31T17:33:59.202Z","31. 08. 2025 19:33"
"Vat breakdown in invoice and corrective @high @middle @low","Vat breakdown is reflected on the corrective","passed",15739,"2025-08-31T17:34:15.013Z","31. 08. 2025 19:34"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded corrective pdf","passed",4500,"2025-08-31T17:34:19.559Z","31. 08. 2025 19:34"
"Control RPDP on the invoice @high @middle @low","Log: All invoice variables to console","passed",4648,"2025-08-31T17:34:25.842Z","31. 08. 2025 19:34"
"Control RPDP on the invoice @high @middle @low","Create invoice with RPDP and verify RPDP is reflected on the layout of invoice","passed",45353,"2025-08-31T17:35:11.291Z","31. 08. 2025 19:35"
"Control RPDP on the invoice @high @middle @low","RPDP is reflected on the downloaded invoice","passed",4174,"2025-08-31T17:35:15.528Z","31. 08. 2025 19:35"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",41110,"2025-08-31T17:35:57.877Z","31. 08. 2025 19:35"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",7676,"2025-08-31T17:36:05.669Z","31. 08. 2025 19:36"
"Add center in the invoice and control edited invoice @high @middle @low","Center is propagated to the corrective","passed",14796,"2025-08-31T17:36:20.556Z","31. 08. 2025 19:36"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 1","passed",4222,"2025-08-31T17:36:24.826Z","31. 08. 2025 19:36"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 2","passed",3848,"2025-08-31T17:36:28.707Z","31. 08. 2025 19:36"
"Add center in the invoice and control edited invoice @high @middle @low","Delete center 3","passed",3869,"2025-08-31T17:36:32.610Z","31. 08. 2025 19:36"
"Add center in the proforma and control edited proforma @low","Add three centers to the proforma and set them to the three proforma items","passed",41676,"2025-08-31T17:37:15.576Z","31. 08. 2025 19:37"
