# Testování Beta
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",13141,"2025-09-03T14:30:57.034Z","03. 09. 2025 16:30"
"Registration of a test company @high @middle @low","Register a new company","passed",16412,"2025-09-03T14:31:13.562Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",17414,"2025-09-03T14:31:31.923Z","03. 09. 2025 16:31"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3689,"2025-09-03T14:31:35.728Z","03. 09. 2025 16:31"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13529,"2025-09-03T14:31:50.603Z","03. 09. 2025 16:31"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",53499,"2025-09-03T14:32:45.802Z","03. 09. 2025 16:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",3882,"2025-09-03T14:32:49.869Z","03. 09. 2025 16:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5803,"2025-09-03T14:32:55.789Z","03. 09. 2025 16:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",27185,"2025-09-03T14:33:23.144Z","03. 09. 2025 16:33"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2342,"2025-09-03T14:33:25.604Z","03. 09. 2025 16:33"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2845,"2025-09-03T14:33:28.591Z","03. 09. 2025 16:33"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5324,"2025-09-03T14:33:33.983Z","03. 09. 2025 16:33"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",54846,"2025-09-03T14:34:31.106Z","03. 09. 2025 16:34"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3165,"2025-09-03T14:34:34.378Z","03. 09. 2025 16:34"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",6084,"2025-09-03T14:34:40.586Z","03. 09. 2025 16:34"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",26685,"2025-09-03T14:35:07.497Z","03. 09. 2025 16:35"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",2313,"2025-09-03T14:35:09.972Z","03. 09. 2025 16:35"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",3165,"2025-09-03T14:35:13.298Z","03. 09. 2025 16:35"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",5273,"2025-09-03T14:35:18.756Z","03. 09. 2025 16:35"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",31879,"2025-09-03T14:35:53.695Z","03. 09. 2025 16:35"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4537,"2025-09-03T14:35:58.323Z","03. 09. 2025 16:35"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",34557,"2025-09-03T14:36:34.931Z","03. 09. 2025 16:36"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4364,"2025-09-03T14:36:39.420Z","03. 09. 2025 16:36"
"Note is reflected to the final invoice @low","Delete all invoices","passed",10735,"2025-09-03T14:36:51.851Z","03. 09. 2025 16:36"
"Note is reflected to the final invoice @low","Create proforma with note in the proforma item","passed",15491,"2025-09-03T14:37:07.487Z","03. 09. 2025 16:37"
"Note is reflected to the final invoice @low","Create deposit to the proforma","passed",12601,"2025-09-03T14:37:20.263Z","03. 09. 2025 16:37"
"Note is reflected to the final invoice @low","Verify note is reflected on the final invoice","passed",13164,"2025-09-03T14:37:33.626Z","03. 09. 2025 16:37"
"Vat breakdown in invoice and corrective @high @middle @low","Create invoice with vat breakdown","passed",26716,"2025-09-03T14:38:02.323Z","03. 09. 2025 16:38"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded invoice pdf","passed",5129,"2025-09-03T14:38:07.517Z","03. 09. 2025 16:38"
"Vat breakdown in invoice and corrective @high @middle @low","Vat breakdown is reflected on the corrective","passed",14276,"2025-09-03T14:38:21.904Z","03. 09. 2025 16:38"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded corrective pdf","passed",5497,"2025-09-03T14:38:27.453Z","03. 09. 2025 16:38"
"Control RPDP on the invoice @high @middle @low","Log: All invoice variables to console","passed",6035,"2025-09-03T14:38:34.706Z","03. 09. 2025 16:38"
"Control RPDP on the invoice @high @middle @low","Create invoice with RPDP and verify RPDP is reflected on the layout of invoice","passed",45754,"2025-09-03T14:39:20.568Z","03. 09. 2025 16:39"
"Control RPDP on the invoice @high @middle @low","RPDP is reflected on the downloaded invoice","passed",4291,"2025-09-03T14:39:24.919Z","03. 09. 2025 16:39"
"Add center in the invoice and control edited invoice @high @middle @low","Add three centers to the invoice and set them to the three invoice items","passed",44796,"2025-09-03T14:40:11.004Z","03. 09. 2025 16:40"
"Add center in the invoice and control edited invoice @high @middle @low","Edit invoice and control centers are set","passed",8100,"2025-09-03T14:40:19.236Z","03. 09. 2025 16:40"
