# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",10117,"2025-09-08T08:41:28.543Z","08. 09. 2025 10:41"
"Registration of a test company @high @middle @low","Register a new company","passed",12159,"2025-09-08T08:41:40.768Z","08. 09. 2025 10:41"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",14422,"2025-09-08T08:41:56.179Z","08. 09. 2025 10:41"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3968,"2025-09-08T08:42:00.775Z","08. 09. 2025 10:42"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",13103,"2025-09-08T08:42:16.691Z","08. 09. 2025 10:42"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",50538,"2025-09-08T08:43:09.414Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",2733,"2025-09-08T08:43:12.288Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5709,"2025-09-08T08:43:18.092Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",24790,"2025-09-08T08:43:43.000Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2285,"2025-09-08T08:43:45.386Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",2710,"2025-09-08T08:43:48.272Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5083,"2025-09-08T08:43:53.438Z","08. 09. 2025 10:43"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",50844,"2025-09-08T08:44:48.291Z","08. 09. 2025 10:44"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",3020,"2025-09-08T08:44:51.498Z","08. 09. 2025 10:44"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",5901,"2025-09-08T08:44:57.524Z","08. 09. 2025 10:44"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",25287,"2025-09-08T08:45:22.992Z","08. 09. 2025 10:45"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",2582,"2025-09-08T08:45:25.766Z","08. 09. 2025 10:45"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",2781,"2025-09-08T08:45:28.665Z","08. 09. 2025 10:45"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",4836,"2025-09-08T08:45:33.630Z","08. 09. 2025 10:45"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",28064,"2025-09-08T08:46:04.015Z","08. 09. 2025 10:46"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4382,"2025-09-08T08:46:08.679Z","08. 09. 2025 10:46"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",28724,"2025-09-08T08:46:39.984Z","08. 09. 2025 10:46"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4585,"2025-09-08T08:46:44.740Z","08. 09. 2025 10:46"
"Note is reflected to the final invoice @low","Delete all invoices","passed",10484,"2025-09-08T08:46:57.357Z","08. 09. 2025 10:46"
"Note is reflected to the final invoice @low","Create proforma with note in the proforma item","passed",15014,"2025-09-08T08:47:12.511Z","08. 09. 2025 10:47"
"Note is reflected to the final invoice @low","Create deposit to the proforma","passed",11803,"2025-09-08T08:47:24.391Z","08. 09. 2025 10:47"
"Note is reflected to the final invoice @low","Verify note is reflected on the final invoice","passed",12360,"2025-09-08T08:47:36.859Z","08. 09. 2025 10:47"
"Vat breakdown in invoice and corrective @high @middle @low","Create invoice with vat breakdown","passed",24571,"2025-09-08T08:48:03.375Z","08. 09. 2025 10:48"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded invoice pdf","passed",4394,"2025-09-08T08:48:07.842Z","08. 09. 2025 10:48"
"Vat breakdown in invoice and corrective @high @middle @low","Vat breakdown is reflected on the corrective","passed",13286,"2025-09-08T08:48:21.215Z","08. 09. 2025 10:48"
"Vat breakdown in invoice and corrective @high @middle @low","Control the vat breakdown is in downloaded corrective pdf","passed",4297,"2025-09-08T08:48:25.560Z","08. 09. 2025 10:48"
"Control RPDP on the invoice @high @middle @low","Log: All invoice variables to console","passed",4933,"2025-09-08T08:48:32.068Z","08. 09. 2025 10:48"
