# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",12320,"2025-09-10T14:21:01.224Z","10. 09. 2025 16:21"
"Registration of a test company @high @middle @low","Register a new company","passed",15050,"2025-09-10T14:21:16.331Z","10. 09. 2025 16:21"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",15004,"2025-09-10T14:21:32.395Z","10. 09. 2025 16:21"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",3421,"2025-09-10T14:21:36.065Z","10. 09. 2025 16:21"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12492,"2025-09-10T14:21:50.008Z","10. 09. 2025 16:21"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",48590,"2025-09-10T14:22:40.300Z","10. 09. 2025 16:22"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",4020,"2025-09-10T14:22:44.489Z","10. 09. 2025 16:22"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5830,"2025-09-10T14:22:50.416Z","10. 09. 2025 16:22"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",24213,"2025-09-10T14:23:14.783Z","10. 09. 2025 16:23"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2523,"2025-09-10T14:23:17.481Z","10. 09. 2025 16:23"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",3050,"2025-09-10T14:23:20.616Z","10. 09. 2025 16:23"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5129,"2025-09-10T14:23:25.840Z","10. 09. 2025 16:23"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",51866,"2025-09-10T14:24:19.766Z","10. 09. 2025 16:24"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create contact for individual price in price list","passed",2889,"2025-09-10T14:24:22.778Z","10. 09. 2025 16:24"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Set individual price for contact","passed",5421,"2025-09-10T14:24:28.287Z","10. 09. 2025 16:24"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create invoice with individual price and verify layout of invoice","passed",21947,"2025-09-10T14:24:50.368Z","10. 09. 2025 16:24"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete first price list item","passed",3707,"2025-09-10T14:24:54.175Z","10. 09. 2025 16:24"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete second price list item","passed",2839,"2025-09-10T14:24:57.112Z","10. 09. 2025 16:24"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Delete contact","passed",5089,"2025-09-10T14:25:02.331Z","10. 09. 2025 16:25"
"Note in invoice item @high @middle @low","Add note to the invoice item and verify note cant be long","passed",48143,"2025-09-10T14:25:52.619Z","10. 09. 2025 16:25"
"Note in invoice item @high @middle @low","Control the note is in downloaded pdf","passed",4223,"2025-09-10T14:25:56.925Z","10. 09. 2025 16:25"
"Note in proforma item @middle @low","Add note to the proforma item and verify note cant be long","passed",29070,"2025-09-10T14:26:28.496Z","10. 09. 2025 16:26"
"Note in proforma item @middle @low","Control the note is in downloaded pdf","passed",4255,"2025-09-10T14:26:32.842Z","10. 09. 2025 16:26"
"Note is reflected to the final invoice @low","Delete all invoices","passed",10244,"2025-09-10T14:26:44.917Z","10. 09. 2025 16:26"
