# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration of a test company @high @middle @low","Repeatedly checks and deletes companies until none remain","passed",11150,"2025-09-11T13:31:54.335Z","11. 09. 2025 15:31"
"Registration of a test company @high @middle @low","Register a new company","passed",14962,"2025-09-11T13:32:09.423Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Configure payment methods","passed",16029,"2025-09-11T13:32:26.533Z","11. 09. 2025 15:32"
"Configure payment methods for company @high @middle @low","Set light-regime","passed",2821,"2025-09-11T13:32:29.560Z","11. 09. 2025 15:32"
"Create contact Bene for company @high @middle @low","Creating contact Bene","passed",12020,"2025-09-11T13:32:42.755Z","11. 09. 2025 15:32"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create price list item and set in invoice","passed",54393,"2025-09-11T13:33:38.688Z","11. 09. 2025 15:33"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create contact for individual price in price list","passed",3362,"2025-09-11T13:33:42.283Z","11. 09. 2025 15:33"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Set individual price for contact","passed",5487,"2025-09-11T13:33:48.006Z","11. 09. 2025 15:33"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Create invoice with individual price and verify layout of invoice","passed",29442,"2025-09-11T13:34:17.731Z","11. 09. 2025 15:34"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete first price list item","passed",2587,"2025-09-11T13:34:20.656Z","11. 09. 2025 15:34"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete second price list item","passed",3532,"2025-09-11T13:34:24.396Z","11. 09. 2025 15:34"
"Add price list item in the invoice and verify individual price for costumer in the invoice @high @middle @low","Delete contact","passed",5135,"2025-09-11T13:34:29.805Z","11. 09. 2025 15:34"
"Add price list item in the invoice and verify individual price for costumer in the proforma @low","Create price list item and set in proforma","passed",51697,"2025-09-11T13:35:23.774Z","11. 09. 2025 15:35"
