# Spadli pouze testy na identifikovanou osobu  - opravuje se
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",12237,"2025-08-11T13:14:33.571Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",5980,"2025-08-11T13:14:39.624Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8764,"2025-08-11T13:14:48.456Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1564,"2025-08-11T13:14:50.167Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",1926,"2025-08-11T13:14:52.143Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1235,"2025-08-11T13:14:53.409Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",845,"2025-08-11T13:14:54.355Z","11. 08. 2025 15:14"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",9263,"2025-08-11T13:15:03.683Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",8756,"2025-08-11T13:15:12.606Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",9537,"2025-08-11T13:15:22.280Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",9512,"2025-08-11T13:15:31.941Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",8470,"2025-08-11T13:15:40.571Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",9427,"2025-08-11T13:15:50.163Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",4392,"2025-08-11T13:15:54.724Z","11. 08. 2025 15:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",14646,"2025-08-11T13:16:09.421Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",11803,"2025-08-11T13:16:22.778Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account in bank module exist","passed",5576,"2025-08-11T13:16:28.412Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",7108,"2025-08-11T13:16:35.558Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1377,"2025-08-11T13:16:37.022Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",1965,"2025-08-11T13:16:39.032Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1027,"2025-08-11T13:16:40.093Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Invoice buttons exist","passed",861,"2025-08-11T13:16:41.008Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",9918,"2025-08-11T13:16:50.987Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",8339,"2025-08-11T13:16:59.455Z","11. 08. 2025 15:16"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",8836,"2025-08-11T13:17:08.407Z","11. 08. 2025 15:17"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",8461,"2025-08-11T13:17:16.968Z","11. 08. 2025 15:17"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",8282,"2025-08-11T13:17:25.340Z","11. 08. 2025 15:17"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",8434,"2025-08-11T13:17:33.895Z","11. 08. 2025 15:17"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",4253,"2025-08-11T13:17:38.282Z","11. 08. 2025 15:17"
"Registration company Fyzická osoba - quarterly payer - DE @low","Delete company","passed",14484,"2025-08-11T13:17:52.809Z","11. 08. 2025 15:17"
"Registration company Fyzická osoba - IO - DE @low","Registration company","passed",11859,"2025-08-11T13:18:07.855Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Bank account in bank module exist","passed",6391,"2025-08-11T13:18:14.318Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Folder for bank account exist in DMS module","passed",7293,"2025-08-11T13:18:21.677Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Bank account is set in invoice setting","passed",1458,"2025-08-11T13:18:23.257Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders are set in invoice setting","failed",5607,"2025-08-11T13:18:28.955Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1079,"2025-08-11T13:18:30.120Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Invoice buttons exist","passed",680,"2025-08-11T13:18:30.901Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury vystavené","passed",9093,"2025-08-11T13:18:40.030Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury přijaté","passed",8367,"2025-08-11T13:18:48.504Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Příjmové doklady","passed",8616,"2025-08-11T13:18:57.223Z","11. 08. 2025 15:18"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",9481,"2025-08-11T13:19:06.765Z","11. 08. 2025 15:19"
