# Spadli pouze testy na identifikovanou osobu  - opravuje se Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",20424,"2025-08-25T13:40:03.791Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7555,"2025-08-25T13:40:11.422Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",10887,"2025-08-25T13:40:22.387Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",2895,"2025-08-25T13:40:25.487Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3074,"2025-08-25T13:40:28.694Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1774,"2025-08-25T13:40:30.693Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1098,"2025-08-25T13:40:31.904Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",12124,"2025-08-25T13:40:44.105Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",13518,"2025-08-25T13:40:57.753Z","25. 08. 2025 15:40"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",11654,"2025-08-25T13:41:09.876Z","25. 08. 2025 15:41"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",10216,"2025-08-25T13:41:20.371Z","25. 08. 2025 15:41"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",10358,"2025-08-25T13:41:30.835Z","25. 08. 2025 15:41"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",9425,"2025-08-25T13:41:40.379Z","25. 08. 2025 15:41"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",5464,"2025-08-25T13:41:45.929Z","25. 08. 2025 15:41"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",18037,"2025-08-25T13:42:04.026Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",14930,"2025-08-25T13:42:20.638Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account in bank module exist","passed",8179,"2025-08-25T13:42:28.888Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",10078,"2025-08-25T13:42:39.039Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1529,"2025-08-25T13:42:40.731Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",1746,"2025-08-25T13:42:42.573Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1125,"2025-08-25T13:42:43.722Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Invoice buttons exist","passed",1046,"2025-08-25T13:42:44.831Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",10213,"2025-08-25T13:42:55.131Z","25. 08. 2025 15:42"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",8911,"2025-08-25T13:43:04.175Z","25. 08. 2025 15:43"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",10145,"2025-08-25T13:43:14.424Z","25. 08. 2025 15:43"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",11819,"2025-08-25T13:43:26.373Z","25. 08. 2025 15:43"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",9667,"2025-08-25T13:43:36.304Z","25. 08. 2025 15:43"
