#Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",13747,"2025-08-31T16:07:04.527Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",9676,"2025-08-31T16:07:14.257Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",10720,"2025-08-31T16:07:25.037Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",2070,"2025-08-31T16:07:27.201Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2612,"2025-08-31T16:07:29.876Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1323,"2025-08-31T16:07:31.336Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1479,"2025-08-31T16:07:32.934Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",15187,"2025-08-31T16:07:48.265Z","31. 08. 2025 18:07"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",12910,"2025-08-31T16:08:01.288Z","31. 08. 2025 18:08"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",13435,"2025-08-31T16:08:14.886Z","31. 08. 2025 18:08"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",15238,"2025-08-31T16:08:30.315Z","31. 08. 2025 18:08"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",15433,"2025-08-31T16:08:45.997Z","31. 08. 2025 18:08"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",15718,"2025-08-31T16:09:01.901Z","31. 08. 2025 18:09"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",10580,"2025-08-31T16:09:12.682Z","31. 08. 2025 18:09"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",16651,"2025-08-31T16:09:29.400Z","31. 08. 2025 18:09"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",12461,"2025-08-31T16:09:44.073Z","31. 08. 2025 18:09"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account in bank module exist","passed",8254,"2025-08-31T16:09:52.376Z","31. 08. 2025 18:09"
"Registration company Fyzická osoba - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8897,"2025-08-31T16:10:01.336Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1783,"2025-08-31T16:10:03.221Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2739,"2025-08-31T16:10:06.011Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1827,"2025-08-31T16:10:07.881Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Invoice buttons exist","passed",711,"2025-08-31T16:10:08.680Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",14720,"2025-08-31T16:10:23.544Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",14468,"2025-08-31T16:10:38.380Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",15592,"2025-08-31T16:10:54.131Z","31. 08. 2025 18:10"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",16863,"2025-08-31T16:11:11.357Z","31. 08. 2025 18:11"
"Registration company Fyzická osoba - IO - DE @low","Registration company","passed",12775,"2025-08-31T16:12:06.069Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Bank account in bank module exist","passed",12885,"2025-08-31T16:12:19.043Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Folder for bank account exist in DMS module","passed",10415,"2025-08-31T16:12:29.551Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Bank account is set in invoice setting","passed",3263,"2025-08-31T16:12:32.982Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders are set in invoice setting","passed",2575,"2025-08-31T16:12:35.744Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",2150,"2025-08-31T16:12:38.063Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Invoice buttons exist","passed",902,"2025-08-31T16:12:39.076Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury vystavené","passed",14893,"2025-08-31T16:12:54.051Z","31. 08. 2025 18:12"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury přijaté","passed",13512,"2025-08-31T16:13:07.673Z","31. 08. 2025 18:13"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Příjmové doklady","passed",13284,"2025-08-31T16:13:21.091Z","31. 08. 2025 18:13"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",14584,"2025-08-31T16:13:35.789Z","31. 08. 2025 18:13"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Ostatní pohledávky","passed",14507,"2025-08-31T16:13:50.448Z","31. 08. 2025 18:13"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené kartou","passed",16805,"2025-08-31T16:14:07.546Z","31. 08. 2025 18:14"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Interní doklady","passed",14638,"2025-08-31T16:14:22.377Z","31. 08. 2025 18:14"
"Registration company Fyzická osoba - IO - DE @low","Delete company","passed",20061,"2025-08-31T16:14:42.899Z","31. 08. 2025 18:14"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Registration company","passed",14601,"2025-08-31T16:15:03.173Z","31. 08. 2025 18:15"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",11703,"2025-08-31T16:15:15.115Z","31. 08. 2025 18:15"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",12533,"2025-08-31T16:15:27.774Z","31. 08. 2025 18:15"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",2849,"2025-08-31T16:15:30.906Z","31. 08. 2025 18:15"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",34614,"2025-08-31T16:16:06.231Z","31. 08. 2025 18:16"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",3361,"2025-08-31T16:16:10.112Z","31. 08. 2025 18:16"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Invoice buttons exist","passed",1705,"2025-08-31T16:16:12.349Z","31. 08. 2025 18:16"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",18098,"2025-08-31T16:16:30.896Z","31. 08. 2025 18:16"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",14115,"2025-08-31T16:16:45.182Z","31. 08. 2025 18:16"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",14254,"2025-08-31T16:16:59.576Z","31. 08. 2025 18:16"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",13927,"2025-08-31T16:17:13.625Z","31. 08. 2025 18:17"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",14838,"2025-08-31T16:17:28.679Z","31. 08. 2025 18:17"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",15219,"2025-08-31T16:17:44.152Z","31. 08. 2025 18:17"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",11159,"2025-08-31T16:17:55.711Z","31. 08. 2025 18:17"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Delete company","passed",21218,"2025-08-31T16:18:17.445Z","31. 08. 2025 18:18"
