# Spuštění testů na registraci BETA
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",12990,"2025-09-03T07:47:36.983Z","03. 09. 2025 09:47"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7932,"2025-09-03T07:47:45.050Z","03. 09. 2025 09:47"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",10443,"2025-09-03T07:47:55.536Z","03. 09. 2025 09:47"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",2110,"2025-09-03T07:47:57.980Z","03. 09. 2025 09:47"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3140,"2025-09-03T07:48:01.338Z","03. 09. 2025 09:48"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1626,"2025-09-03T07:48:03.028Z","03. 09. 2025 09:48"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",837,"2025-09-03T07:48:03.964Z","03. 09. 2025 09:48"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",14769,"2025-09-03T07:48:18.883Z","03. 09. 2025 09:48"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",14793,"2025-09-03T07:48:33.879Z","03. 09. 2025 09:48"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",14972,"2025-09-03T07:48:49.030Z","03. 09. 2025 09:48"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",15916,"2025-09-03T07:49:05.153Z","03. 09. 2025 09:49"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",14834,"2025-09-03T07:49:20.194Z","03. 09. 2025 09:49"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",25707,"2025-09-03T07:49:46.207Z","03. 09. 2025 09:49"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",15601,"2025-09-03T07:50:02.425Z","03. 09. 2025 09:50"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",30922,"2025-09-03T07:50:34.206Z","03. 09. 2025 09:50"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",13447,"2025-09-03T07:50:53.350Z","03. 09. 2025 09:50"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account in bank module exist","passed",8016,"2025-09-03T07:51:01.482Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",10055,"2025-09-03T07:51:11.638Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1738,"2025-09-03T07:51:13.603Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",4204,"2025-09-03T07:51:17.905Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1928,"2025-09-03T07:51:20.010Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Invoice buttons exist","passed",1267,"2025-09-03T07:51:21.429Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",17250,"2025-09-03T07:51:38.840Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",18847,"2025-09-03T07:51:58.514Z","03. 09. 2025 09:51"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",13847,"2025-09-03T07:52:12.654Z","03. 09. 2025 09:52"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",17178,"2025-09-03T07:52:30.010Z","03. 09. 2025 09:52"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",19061,"2025-09-03T07:52:49.302Z","03. 09. 2025 09:52"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",12197,"2025-09-03T07:53:01.620Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",8295,"2025-09-03T07:53:09.992Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - quarterly payer - DE @low","Delete company","passed",13173,"2025-09-03T07:53:23.246Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Registration company","passed",11844,"2025-09-03T07:53:38.118Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Bank account in bank module exist","passed",7038,"2025-09-03T07:53:45.213Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Folder for bank account exist in DMS module","passed",8477,"2025-09-03T07:53:53.747Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Bank account is set in invoice setting","passed",1573,"2025-09-03T07:53:55.405Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders are set in invoice setting","passed",2066,"2025-09-03T07:53:57.525Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1082,"2025-09-03T07:53:58.639Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Invoice buttons exist","passed",1187,"2025-09-03T07:53:59.882Z","03. 09. 2025 09:53"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury vystavené","passed",12848,"2025-09-03T07:54:12.804Z","03. 09. 2025 09:54"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury přijaté","passed",12719,"2025-09-03T07:54:25.627Z","03. 09. 2025 09:54"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Příjmové doklady","passed",12673,"2025-09-03T07:54:38.386Z","03. 09. 2025 09:54"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12615,"2025-09-03T07:54:51.085Z","03. 09. 2025 09:54"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Ostatní pohledávky","passed",11941,"2025-09-03T07:55:03.103Z","03. 09. 2025 09:55"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené kartou","passed",11892,"2025-09-03T07:55:15.060Z","03. 09. 2025 09:55"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Interní doklady","passed",8057,"2025-09-03T07:55:23.173Z","03. 09. 2025 09:55"
"Registration company Fyzická osoba - IO - DE @low","Delete company","passed",11668,"2025-09-03T07:55:34.890Z","03. 09. 2025 09:55"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Registration company","passed",11621,"2025-09-03T07:55:47.718Z","03. 09. 2025 09:55"
