# Rutinní pondělní spuštění E2E testů.
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",12322,"2025-09-08T11:22:21.672Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",6840,"2025-09-08T11:22:28.612Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",8867,"2025-09-08T11:22:37.524Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1664,"2025-09-08T11:22:39.262Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2098,"2025-09-08T11:22:41.403Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",958,"2025-09-08T11:22:42.393Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1124,"2025-09-08T11:22:43.571Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",12811,"2025-09-08T11:22:56.445Z","08. 09. 2025 13:22"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",11710,"2025-09-08T11:23:08.274Z","08. 09. 2025 13:23"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",12524,"2025-09-08T11:23:20.878Z","08. 09. 2025 13:23"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12513,"2025-09-08T11:23:33.471Z","08. 09. 2025 13:23"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11902,"2025-09-08T11:23:45.436Z","08. 09. 2025 13:23"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12557,"2025-09-08T11:23:58.065Z","08. 09. 2025 13:23"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",8105,"2025-09-08T11:24:06.249Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",11884,"2025-09-08T11:24:18.184Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",12400,"2025-09-08T11:24:31.938Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account in bank module exist","passed",6695,"2025-09-08T11:24:38.679Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8750,"2025-09-08T11:24:47.473Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1688,"2025-09-08T11:24:49.239Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2448,"2025-09-08T11:24:51.744Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1163,"2025-09-08T11:24:52.945Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Invoice buttons exist","passed",836,"2025-09-08T11:24:53.829Z","08. 09. 2025 13:24"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",13257,"2025-09-08T11:25:07.145Z","08. 09. 2025 13:25"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",12106,"2025-09-08T11:25:19.332Z","08. 09. 2025 13:25"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",12522,"2025-09-08T11:25:31.929Z","08. 09. 2025 13:25"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12652,"2025-09-08T11:25:44.667Z","08. 09. 2025 13:25"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",12150,"2025-09-08T11:25:56.905Z","08. 09. 2025 13:25"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",11889,"2025-09-08T11:26:08.882Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",8220,"2025-09-08T11:26:17.183Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - quarterly payer - DE @low","Delete company","passed",12696,"2025-09-08T11:26:29.935Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - IO - DE @low","Registration company","passed",11325,"2025-09-08T11:26:42.555Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - IO - DE @low","Bank account in bank module exist","passed",6634,"2025-09-08T11:26:49.256Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - IO - DE @low","Folder for bank account exist in DMS module","passed",8738,"2025-09-08T11:26:58.033Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - IO - DE @low","Bank account is set in invoice setting","passed",1289,"2025-09-08T11:26:59.402Z","08. 09. 2025 13:26"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders are set in invoice setting","passed",2411,"2025-09-08T11:27:01.885Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",920,"2025-09-08T11:27:02.849Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Invoice buttons exist","passed",1091,"2025-09-08T11:27:03.993Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury vystavené","passed",12788,"2025-09-08T11:27:16.848Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury přijaté","passed",12044,"2025-09-08T11:27:28.968Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Příjmové doklady","passed",12483,"2025-09-08T11:27:41.528Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12484,"2025-09-08T11:27:54.078Z","08. 09. 2025 13:27"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Ostatní pohledávky","passed",12507,"2025-09-08T11:28:06.660Z","08. 09. 2025 13:28"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené kartou","passed",13640,"2025-09-08T11:28:20.446Z","08. 09. 2025 13:28"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Interní doklady","passed",8427,"2025-09-08T11:28:29.061Z","08. 09. 2025 13:28"
"Registration company Fyzická osoba - IO - DE @low","Delete company","passed",11870,"2025-09-08T11:28:40.985Z","08. 09. 2025 13:28"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Registration company","passed",22855,"2025-09-08T11:29:05.774Z","08. 09. 2025 13:29"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",6729,"2025-09-08T11:29:12.557Z","08. 09. 2025 13:29"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8607,"2025-09-08T11:29:21.215Z","08. 09. 2025 13:29"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",1995,"2025-09-08T11:29:23.297Z","08. 09. 2025 13:29"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2426,"2025-09-08T11:29:25.780Z","08. 09. 2025 13:29"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1161,"2025-09-08T11:29:26.981Z","08. 09. 2025 13:29"
