# Otestování po nasazení vylepšení 40
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",12995,"2025-09-10T13:10:41.463Z","10. 09. 2025 15:10"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7498,"2025-09-10T13:10:49.032Z","10. 09. 2025 15:10"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",10301,"2025-09-10T13:10:59.378Z","10. 09. 2025 15:10"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1953,"2025-09-10T13:11:01.408Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2345,"2025-09-10T13:11:03.802Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1023,"2025-09-10T13:11:04.867Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1013,"2025-09-10T13:11:05.926Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",13170,"2025-09-10T13:11:19.151Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",12799,"2025-09-10T13:11:32.042Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",12889,"2025-09-10T13:11:45.004Z","10. 09. 2025 15:11"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",60656,"2025-09-10T13:12:45.699Z","10. 09. 2025 15:12"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12958,"2025-09-10T13:12:58.749Z","10. 09. 2025 15:12"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12161,"2025-09-10T13:13:10.985Z","10. 09. 2025 15:13"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",8263,"2025-09-10T13:13:19.316Z","10. 09. 2025 15:13"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",13355,"2025-09-10T13:13:32.712Z","10. 09. 2025 15:13"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",11892,"2025-09-10T13:13:45.918Z","10. 09. 2025 15:13"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account in bank module exist","passed",7300,"2025-09-10T13:13:53.267Z","10. 09. 2025 15:13"
"Registration company Fyzická osoba - quarterly payer - DE @low","Folder for bank account exist in DMS module","passed",8754,"2025-09-10T13:14:02.087Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Bank account is set in invoice setting","passed",1815,"2025-09-10T13:14:03.983Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders are set in invoice setting","passed",2073,"2025-09-10T13:14:06.106Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Path to the DMS folders is set in cashier reception setting","passed",1129,"2025-09-10T13:14:07.276Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Invoice buttons exist","passed",972,"2025-09-10T13:14:08.291Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury vystavené","passed",13013,"2025-09-10T13:14:21.354Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Faktury přijaté","passed",12496,"2025-09-10T13:14:33.948Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Příjmové doklady","passed",12844,"2025-09-10T13:14:46.898Z","10. 09. 2025 15:14"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",14905,"2025-09-10T13:15:01.971Z","10. 09. 2025 15:15"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Ostatní pohledávky","passed",12061,"2025-09-10T13:15:14.105Z","10. 09. 2025 15:15"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Účtenky - placené kartou","passed",12460,"2025-09-10T13:15:26.657Z","10. 09. 2025 15:15"
"Registration company Fyzická osoba - quarterly payer - DE @low","Test pro složku: Interní doklady","passed",8573,"2025-09-10T13:15:35.330Z","10. 09. 2025 15:15"
"Registration company Fyzická osoba - quarterly payer - DE @low","Delete company","passed",12421,"2025-09-10T13:15:47.797Z","10. 09. 2025 15:15"
"Registration company Fyzická osoba - IO - DE @low","Registration company","passed",11319,"2025-09-10T13:16:00.740Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Bank account in bank module exist","passed",7037,"2025-09-10T13:16:07.830Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Folder for bank account exist in DMS module","passed",9450,"2025-09-10T13:16:17.307Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Bank account is set in invoice setting","passed",1342,"2025-09-10T13:16:18.758Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders are set in invoice setting","passed",2132,"2025-09-10T13:16:20.956Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Path to the DMS folders is set in cashier reception setting","passed",906,"2025-09-10T13:16:21.895Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Invoice buttons exist","passed",1273,"2025-09-10T13:16:23.245Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury vystavené","passed",13078,"2025-09-10T13:16:36.410Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Faktury přijaté","passed",12269,"2025-09-10T13:16:48.779Z","10. 09. 2025 15:16"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Příjmové doklady","passed",12890,"2025-09-10T13:17:01.764Z","10. 09. 2025 15:17"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené v hotovosti","passed",12923,"2025-09-10T13:17:14.834Z","10. 09. 2025 15:17"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Ostatní pohledávky","passed",12277,"2025-09-10T13:17:27.231Z","10. 09. 2025 15:17"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Účtenky - placené kartou","passed",12626,"2025-09-10T13:17:39.944Z","10. 09. 2025 15:17"
"Registration company Fyzická osoba - IO - DE @low","Test pro složku: Interní doklady","passed",8384,"2025-09-10T13:17:48.385Z","10. 09. 2025 15:17"
"Registration company Fyzická osoba - IO - DE @low","Delete company","passed",12243,"2025-09-10T13:18:00.679Z","10. 09. 2025 15:18"
