# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Registration company","passed",12640,"2025-09-11T11:15:05.200Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account in bank module exist","passed",7595,"2025-09-11T11:15:12.859Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Folder for bank account exist in DMS module","passed",9835,"2025-09-11T11:15:22.758Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Bank account is set in invoice setting","passed",1634,"2025-09-11T11:15:24.521Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2580,"2025-09-11T11:15:27.171Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1616,"2025-09-11T11:15:28.870Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Invoice buttons exist","passed",1066,"2025-09-11T11:15:30.040Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury vystavené","passed",14953,"2025-09-11T11:15:45.074Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Faktury přijaté","passed",13891,"2025-09-11T11:15:59.126Z","11. 09. 2025 13:15"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Příjmové doklady","passed",17424,"2025-09-11T11:16:16.793Z","11. 09. 2025 13:16"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",17163,"2025-09-11T11:16:34.252Z","11. 09. 2025 13:16"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Ostatní pohledávky","passed",18323,"2025-09-11T11:16:52.774Z","11. 09. 2025 13:16"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",15663,"2025-09-11T11:17:08.653Z","11. 09. 2025 13:17"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Test pro složku: Interní doklady","passed",56712,"2025-09-11T11:18:05.676Z","11. 09. 2025 13:18"
"Registration company Fyzická osoba - monthly payer - DE @high @middle @low","Delete company","passed",15823,"2025-09-11T11:18:21.983Z","11. 09. 2025 13:18"
"Registration company Fyzická osoba - quarterly payer - DE @low","Registration company","passed",14073,"2025-09-11T11:18:39.433Z","11. 09. 2025 13:18"
