# Padl pouze test na IO a dva testy na emialy nevím kde je chyba na to musím přijít
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3164,"2025-08-11T13:34:30.535Z","11. 08. 2025 15:34"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",8293,"2025-08-11T13:34:38.877Z","11. 08. 2025 15:34"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",7133,"2025-08-11T13:34:46.045Z","11. 08. 2025 15:34"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",3456,"2025-08-11T13:34:49.522Z","11. 08. 2025 15:34"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",3570,"2025-08-11T13:34:53.111Z","11. 08. 2025 15:34"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",7213,"2025-08-11T13:35:00.358Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",2813,"2025-08-11T13:35:03.915Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",1615,"2025-08-11T13:35:06.251Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11240,"2025-08-11T13:35:18.279Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",14507,"2025-08-11T13:35:32.822Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","passed",1553,"2025-08-11T13:35:35.033Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8180,"2025-08-11T13:35:44.050Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","passed",6702,"2025-08-11T13:35:50.779Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",7674,"2025-08-11T13:35:58.482Z","11. 08. 2025 15:35"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",15350,"2025-08-11T13:36:13.867Z","11. 08. 2025 15:36"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",6227,"2025-08-11T13:36:20.155Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",11374,"2025-08-11T13:36:32.432Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",5813,"2025-08-11T13:36:38.275Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",6951,"2025-08-11T13:36:45.247Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1126,"2025-08-11T13:36:46.431Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2243,"2025-08-11T13:36:48.698Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",758,"2025-08-11T13:36:49.471Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",933,"2025-08-11T13:36:50.430Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8098,"2025-08-11T13:36:58.565Z","11. 08. 2025 15:36"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",7678,"2025-08-11T13:37:06.289Z","11. 08. 2025 15:37"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",7927,"2025-08-11T13:37:14.255Z","11. 08. 2025 15:37"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",7878,"2025-08-11T13:37:22.166Z","11. 08. 2025 15:37"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7643,"2025-08-11T13:37:29.853Z","11. 08. 2025 15:37"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7470,"2025-08-11T13:37:37.366Z","11. 08. 2025 15:37"
