# Spadli pouze testy na identifikovanou osobu  - opravuje se Spuštění a vyhodnocení testů po Binově sprintu S165 vylepšení 34 - GAMA
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3560,"2025-08-26T06:19:36.192Z","26. 08. 2025 08:19"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",8417,"2025-08-26T06:19:44.650Z","26. 08. 2025 08:19"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",7714,"2025-08-26T06:19:52.399Z","26. 08. 2025 08:19"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",3914,"2025-08-26T06:19:56.336Z","26. 08. 2025 08:19"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",3804,"2025-08-26T06:20:00.166Z","26. 08. 2025 08:20"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",7898,"2025-08-26T06:20:08.093Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",3099,"2025-08-26T06:20:11.948Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",1554,"2025-08-26T06:20:14.200Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11258,"2025-08-26T06:20:26.385Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",15077,"2025-08-26T06:20:41.531Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","passed",1546,"2025-08-26T06:20:43.734Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8160,"2025-08-26T06:20:52.788Z","26. 08. 2025 08:20"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","passed",8182,"2025-08-26T06:21:00.995Z","26. 08. 2025 08:21"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",8251,"2025-08-26T06:21:09.278Z","26. 08. 2025 08:21"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",16482,"2025-08-26T06:21:25.794Z","26. 08. 2025 08:21"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",7072,"2025-08-26T06:21:32.907Z","26. 08. 2025 08:21"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",11921,"2025-08-26T06:21:45.764Z","26. 08. 2025 08:21"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6269,"2025-08-26T06:21:52.060Z","26. 08. 2025 08:21"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8123,"2025-08-26T06:22:00.206Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1595,"2025-08-26T06:22:01.852Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2269,"2025-08-26T06:22:04.155Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",954,"2025-08-26T06:22:05.123Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",950,"2025-08-26T06:22:06.088Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",8657,"2025-08-26T06:22:14.771Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",7788,"2025-08-26T06:22:22.603Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",8195,"2025-08-26T06:22:30.837Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",8261,"2025-08-26T06:22:39.140Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",7870,"2025-08-26T06:22:47.052Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",7817,"2025-08-26T06:22:54.914Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",3984,"2025-08-26T06:22:58.940Z","26. 08. 2025 08:22"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Delete company","passed",14502,"2025-08-26T06:23:13.467Z","26. 08. 2025 08:23"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Registration company","passed",12178,"2025-08-26T06:23:26.675Z","26. 08. 2025 08:23"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account in bank module exist","passed",6165,"2025-08-26T06:23:32.870Z","26. 08. 2025 08:23"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8354,"2025-08-26T06:23:41.245Z","26. 08. 2025 08:23"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1354,"2025-08-26T06:23:42.645Z","26. 08. 2025 08:23"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2451,"2025-08-26T06:23:45.122Z","26. 08. 2025 08:23"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",791,"2025-08-26T06:23:45.929Z","26. 08. 2025 08:23"
