# Testování Beta po nasazení vylepšení 35 od Jakuba ISDOC Nevystavuje se Ostrá faktura jen DDKZ musíme opět opravit na betě
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3991,"2025-08-31T16:50:24.116Z","31. 08. 2025 18:50"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",8335,"2025-08-31T16:50:32.507Z","31. 08. 2025 18:50"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",8818,"2025-08-31T16:50:41.370Z","31. 08. 2025 18:50"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",4581,"2025-08-31T16:50:45.975Z","31. 08. 2025 18:50"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",3964,"2025-08-31T16:50:49.995Z","31. 08. 2025 18:50"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",8104,"2025-08-31T16:50:58.154Z","31. 08. 2025 18:50"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",3136,"2025-08-31T16:51:02.186Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",1820,"2025-08-31T16:51:04.801Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11514,"2025-08-31T16:51:17.359Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",15751,"2025-08-31T16:51:33.209Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","passed",1602,"2025-08-31T16:51:35.636Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8915,"2025-08-31T16:51:45.637Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","failed",8327,"2025-08-31T16:51:53.998Z","31. 08. 2025 18:51"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",8938,"2025-08-31T16:52:02.993Z","31. 08. 2025 18:52"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",16903,"2025-08-31T16:52:19.938Z","31. 08. 2025 18:52"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",7705,"2025-08-31T16:52:27.709Z","31. 08. 2025 18:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",11943,"2025-08-31T16:52:40.721Z","31. 08. 2025 18:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7056,"2025-08-31T16:52:47.818Z","31. 08. 2025 18:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9382,"2025-08-31T16:52:57.275Z","31. 08. 2025 18:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1654,"2025-08-31T16:52:59.075Z","31. 08. 2025 18:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2485,"2025-08-31T16:53:01.603Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",987,"2025-08-31T16:53:02.614Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1129,"2025-08-31T16:53:03.794Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13014,"2025-08-31T16:53:16.871Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12407,"2025-08-31T16:53:29.369Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",12356,"2025-08-31T16:53:41.803Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12989,"2025-08-31T16:53:54.859Z","31. 08. 2025 18:53"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12132,"2025-08-31T16:54:07.101Z","31. 08. 2025 18:54"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12180,"2025-08-31T16:54:19.348Z","31. 08. 2025 18:54"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8081,"2025-08-31T16:54:27.480Z","31. 08. 2025 18:54"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Delete company","passed",14828,"2025-08-31T16:54:42.347Z","31. 08. 2025 18:54"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Registration company","passed",11762,"2025-08-31T16:54:55.277Z","31. 08. 2025 18:54"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account in bank module exist","passed",6858,"2025-08-31T16:55:02.192Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8588,"2025-08-31T16:55:10.826Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1603,"2025-08-31T16:55:12.503Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2570,"2025-08-31T16:55:15.109Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",950,"2025-08-31T16:55:16.086Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Invoice buttons exist","passed",1179,"2025-08-31T16:55:17.327Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",12894,"2025-08-31T16:55:30.277Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",12081,"2025-08-31T16:55:42.456Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12623,"2025-08-31T16:55:55.226Z","31. 08. 2025 18:55"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12735,"2025-08-31T16:56:08.058Z","31. 08. 2025 18:56"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",12765,"2025-08-31T16:56:20.889Z","31. 08. 2025 18:56"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12024,"2025-08-31T16:56:32.988Z","31. 08. 2025 18:56"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",10566,"2025-08-31T16:56:43.620Z","31. 08. 2025 18:56"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Delete company","passed",14625,"2025-08-31T16:56:58.281Z","31. 08. 2025 18:56"
"Registration company Fyzická osoba - IO - accounting @low","Registration company","passed",11199,"2025-08-31T16:57:10.626Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Bank account in bank module exist","passed",6668,"2025-08-31T16:57:17.366Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Folder for bank account exist in DMS module","passed",8525,"2025-08-31T16:57:25.939Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Bank account is set in invoice setting","passed",1701,"2025-08-31T16:57:27.720Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Path to the DMS folders are set in invoice setting","passed",2190,"2025-08-31T16:57:29.952Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",907,"2025-08-31T16:57:30.887Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Invoice buttons exist","passed",1080,"2025-08-31T16:57:32.013Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Faktury vystavené","passed",12576,"2025-08-31T16:57:44.705Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Faktury přijaté","passed",11852,"2025-08-31T16:57:56.632Z","31. 08. 2025 18:57"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Příjmové doklady","passed",12366,"2025-08-31T16:58:09.081Z","31. 08. 2025 18:58"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12416,"2025-08-31T16:58:21.562Z","31. 08. 2025 18:58"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",12437,"2025-08-31T16:58:34.086Z","31. 08. 2025 18:58"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12043,"2025-08-31T16:58:46.216Z","31. 08. 2025 18:58"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Interní doklady","passed",8103,"2025-08-31T16:58:54.362Z","31. 08. 2025 18:58"
"Registration company Fyzická osoba - IO - accounting @low","Delete company","passed",15048,"2025-08-31T16:59:09.449Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Registration company","passed",11287,"2025-08-31T16:59:21.869Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",6830,"2025-08-31T16:59:28.752Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8603,"2025-08-31T16:59:37.401Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",1502,"2025-08-31T16:59:38.995Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2136,"2025-08-31T16:59:41.184Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1048,"2025-08-31T16:59:42.260Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Invoice buttons exist","passed",1205,"2025-08-31T16:59:43.533Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",12387,"2025-08-31T16:59:55.976Z","31. 08. 2025 18:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",11601,"2025-08-31T17:00:07.647Z","31. 08. 2025 19:00"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",11800,"2025-08-31T17:00:19.516Z","31. 08. 2025 19:00"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",11642,"2025-08-31T17:00:31.246Z","31. 08. 2025 19:00"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11573,"2025-08-31T17:00:42.912Z","31. 08. 2025 19:00"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",11614,"2025-08-31T17:00:54.615Z","31. 08. 2025 19:00"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",8011,"2025-08-31T17:01:02.679Z","31. 08. 2025 19:01"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Delete company","passed",14321,"2025-08-31T17:01:17.031Z","31. 08. 2025 19:01"
"Incomplete company registration delete company part 2 @high @middle @low","Verify deposit and final invoice was send on the email","failed",5668,"2025-08-31T17:01:24.345Z","31. 08. 2025 19:01"
"Incomplete company registration delete company part 2 @high @middle @low","Verify invoice and payment is still in the email","failed",5207,"2025-08-31T17:01:29.612Z","31. 08. 2025 19:01"
"Incomplete company registration delete company part 2 @high @middle @low","Payment is payed","passed",7839,"2025-08-31T17:01:38.327Z","31. 08. 2025 19:01"
"Incomplete company registration delete company part 2 @high @middle @low","Verify user have invoice in the tariff and can be downloaded","failed",9841,"2025-08-31T17:01:48.218Z","31. 08. 2025 19:01"
"Incomplete company registration delete company part 2 @high @middle @low","Verify user have deposit in the tariff and can be downloaded","failed",8304,"2025-08-31T17:01:56.565Z","31. 08. 2025 19:01"
"Incomplete company registration delete company part 2 @high @middle @low","Verify user have final invoice in the tariff and can be downloaded","failed",11280,"2025-08-31T17:02:07.902Z","31. 08. 2025 19:02"
"Incomplete company registration delete company part 2 @high @middle @low","Verify email client is empty if not delete all messages","passed",3820,"2025-08-31T17:02:12.533Z","31. 08. 2025 19:02"
"Incomplete company registration delete company part 2 @high @middle @low","Delete company","passed",14436,"2025-08-31T17:02:27.916Z","31. 08. 2025 19:02"
