# Spuštění testů na registraci BETA opět spadli testy jen na přijetí faktur - nevím co s tím ještě ale v aplikaci vše funguje
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3533,"2025-09-03T07:07:48.663Z","03. 09. 2025 09:07"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",9101,"2025-09-03T07:07:57.837Z","03. 09. 2025 09:07"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",8445,"2025-09-03T07:08:06.317Z","03. 09. 2025 09:08"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",4007,"2025-09-03T07:08:10.354Z","03. 09. 2025 09:08"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",4243,"2025-09-03T07:08:14.622Z","03. 09. 2025 09:08"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",7963,"2025-09-03T07:08:22.621Z","03. 09. 2025 09:08"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",2952,"2025-09-03T07:08:26.302Z","03. 09. 2025 09:08"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",1503,"2025-09-03T07:08:28.415Z","03. 09. 2025 09:08"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11277,"2025-09-03T07:08:40.481Z","03. 09. 2025 09:08"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",15591,"2025-09-03T07:08:56.108Z","03. 09. 2025 09:08"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","failed",5650,"2025-09-03T07:09:02.384Z","03. 09. 2025 09:09"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8361,"2025-09-03T07:09:11.618Z","03. 09. 2025 09:09"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","passed",8340,"2025-09-03T07:09:19.981Z","03. 09. 2025 09:09"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",9179,"2025-09-03T07:09:29.188Z","03. 09. 2025 09:09"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",16474,"2025-09-03T07:09:45.696Z","03. 09. 2025 09:09"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",7388,"2025-09-03T07:09:53.128Z","03. 09. 2025 09:09"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",11944,"2025-09-03T07:10:05.992Z","03. 09. 2025 09:10"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6833,"2025-09-03T07:10:12.856Z","03. 09. 2025 09:10"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8471,"2025-09-03T07:10:21.348Z","03. 09. 2025 09:10"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1566,"2025-09-03T07:10:22.967Z","03. 09. 2025 09:10"
