# Rutinní pondělní spuštění E2E testů. Něco se rozbilo musím přijít na to co
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3990,"2025-09-08T13:01:55.326Z","08. 09. 2025 15:01"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",8731,"2025-09-08T13:02:04.124Z","08. 09. 2025 15:02"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",8369,"2025-09-08T13:02:12.565Z","08. 09. 2025 15:02"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",4424,"2025-09-08T13:02:17.028Z","08. 09. 2025 15:02"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",3947,"2025-09-08T13:02:21.011Z","08. 09. 2025 15:02"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",8260,"2025-09-08T13:02:29.313Z","08. 09. 2025 15:02"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",3018,"2025-09-08T13:02:33.131Z","08. 09. 2025 15:02"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",1773,"2025-09-08T13:02:35.758Z","08. 09. 2025 15:02"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11711,"2025-09-08T13:02:48.386Z","08. 09. 2025 15:02"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",15708,"2025-09-08T13:03:04.144Z","08. 09. 2025 15:03"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","passed",1828,"2025-09-08T13:03:06.658Z","08. 09. 2025 15:03"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8607,"2025-09-08T13:03:16.265Z","08. 09. 2025 15:03"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","failed",8132,"2025-09-08T13:03:24.427Z","08. 09. 2025 15:03"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",9133,"2025-09-08T13:03:33.613Z","08. 09. 2025 15:03"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",17396,"2025-09-08T13:03:51.052Z","08. 09. 2025 15:03"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",7781,"2025-09-08T13:03:58.887Z","08. 09. 2025 15:03"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",11710,"2025-09-08T13:04:11.626Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6623,"2025-09-08T13:04:18.284Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9322,"2025-09-08T13:04:27.645Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1205,"2025-09-08T13:04:28.918Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2982,"2025-09-08T13:04:31.950Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",951,"2025-09-08T13:04:32.926Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1147,"2025-09-08T13:04:34.122Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13293,"2025-09-08T13:04:47.478Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12205,"2025-09-08T13:04:59.755Z","08. 09. 2025 15:04"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",13268,"2025-09-08T13:05:13.082Z","08. 09. 2025 15:05"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",12931,"2025-09-08T13:05:26.092Z","08. 09. 2025 15:05"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12184,"2025-09-08T13:05:38.346Z","08. 09. 2025 15:05"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12204,"2025-09-08T13:05:50.618Z","08. 09. 2025 15:05"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8141,"2025-09-08T13:05:58.827Z","08. 09. 2025 15:05"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Delete company","passed",12316,"2025-09-08T13:06:11.193Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Registration company","passed",12278,"2025-09-08T13:06:24.574Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account in bank module exist","passed",6638,"2025-09-08T13:06:31.248Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",8679,"2025-09-08T13:06:39.963Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1706,"2025-09-08T13:06:41.734Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2310,"2025-09-08T13:06:44.081Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1048,"2025-09-08T13:06:45.157Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Invoice buttons exist","passed",1166,"2025-09-08T13:06:46.365Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",13021,"2025-09-08T13:06:59.441Z","08. 09. 2025 15:06"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",11774,"2025-09-08T13:07:11.274Z","08. 09. 2025 15:07"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12645,"2025-09-08T13:07:23.976Z","08. 09. 2025 15:07"
