# Otestování po nasazení vylepšení 40 - nefungují testy s downloadem ale manuálně fungují budu muset vymyslet jak to opravit
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3707,"2025-09-10T12:48:10.473Z","10. 09. 2025 14:48"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",8342,"2025-09-10T12:48:18.869Z","10. 09. 2025 14:48"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",8632,"2025-09-10T12:48:27.559Z","10. 09. 2025 14:48"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",4416,"2025-09-10T12:48:32.024Z","10. 09. 2025 14:48"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",3955,"2025-09-10T12:48:36.056Z","10. 09. 2025 14:48"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",8237,"2025-09-10T12:48:44.342Z","10. 09. 2025 14:48"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",3609,"2025-09-10T12:48:48.908Z","10. 09. 2025 14:48"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",1465,"2025-09-10T12:48:51.208Z","10. 09. 2025 14:48"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11631,"2025-09-10T12:49:03.897Z","10. 09. 2025 14:49"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",15733,"2025-09-10T12:49:19.742Z","10. 09. 2025 14:49"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","passed",1656,"2025-09-10T12:49:22.173Z","10. 09. 2025 14:49"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8442,"2025-09-10T12:49:31.854Z","10. 09. 2025 14:49"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","failed",8268,"2025-09-10T12:49:40.164Z","10. 09. 2025 14:49"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",8823,"2025-09-10T12:49:49.044Z","10. 09. 2025 14:49"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",17588,"2025-09-10T12:50:06.696Z","10. 09. 2025 14:50"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",7785,"2025-09-10T12:50:14.531Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",12069,"2025-09-10T12:50:27.753Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",7033,"2025-09-10T12:50:34.833Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8936,"2025-09-10T12:50:43.802Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",2340,"2025-09-10T12:50:46.214Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2580,"2025-09-10T12:50:48.885Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1863,"2025-09-10T12:50:50.796Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1170,"2025-09-10T12:50:52.024Z","10. 09. 2025 14:50"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13554,"2025-09-10T12:51:05.652Z","10. 09. 2025 14:51"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12886,"2025-09-10T12:51:18.651Z","10. 09. 2025 14:51"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",13974,"2025-09-10T12:51:32.718Z","10. 09. 2025 14:51"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",13006,"2025-09-10T12:51:45.814Z","10. 09. 2025 14:51"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12647,"2025-09-10T12:51:58.548Z","10. 09. 2025 14:51"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12175,"2025-09-10T12:52:10.833Z","10. 09. 2025 14:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8304,"2025-09-10T12:52:19.235Z","10. 09. 2025 14:52"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Delete company","passed",12071,"2025-09-10T12:52:31.363Z","10. 09. 2025 14:52"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Registration company","passed",12059,"2025-09-10T12:52:44.736Z","10. 09. 2025 14:52"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account in bank module exist","passed",8082,"2025-09-10T12:52:52.865Z","10. 09. 2025 14:52"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",9005,"2025-09-10T12:53:01.915Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1637,"2025-09-10T12:53:03.644Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2859,"2025-09-10T12:53:06.564Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1117,"2025-09-10T12:53:07.713Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Invoice buttons exist","passed",1017,"2025-09-10T12:53:08.776Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",13162,"2025-09-10T12:53:21.996Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",12376,"2025-09-10T12:53:34.459Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12986,"2025-09-10T12:53:47.540Z","10. 09. 2025 14:53"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",13019,"2025-09-10T12:54:00.648Z","10. 09. 2025 14:54"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",12889,"2025-09-10T12:54:13.624Z","10. 09. 2025 14:54"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12309,"2025-09-10T12:54:26.041Z","10. 09. 2025 14:54"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",8306,"2025-09-10T12:54:34.424Z","10. 09. 2025 14:54"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Delete company","passed",12756,"2025-09-10T12:54:47.225Z","10. 09. 2025 14:54"
"Registration company Fyzická osoba - IO - accounting @low","Registration company","passed",11309,"2025-09-10T12:54:59.919Z","10. 09. 2025 14:54"
"Registration company Fyzická osoba - IO - accounting @low","Bank account in bank module exist","passed",6783,"2025-09-10T12:55:06.754Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Folder for bank account exist in DMS module","passed",9063,"2025-09-10T12:55:15.859Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Bank account is set in invoice setting","passed",1713,"2025-09-10T12:55:17.655Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Path to the DMS folders are set in invoice setting","passed",2472,"2025-09-10T12:55:20.162Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1340,"2025-09-10T12:55:21.543Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Invoice buttons exist","passed",1249,"2025-09-10T12:55:22.874Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Faktury vystavené","passed",13302,"2025-09-10T12:55:36.250Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Faktury přijaté","passed",12121,"2025-09-10T12:55:48.488Z","10. 09. 2025 14:55"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Příjmové doklady","passed",13250,"2025-09-10T12:56:01.847Z","10. 09. 2025 14:56"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",13851,"2025-09-10T12:56:15.860Z","10. 09. 2025 14:56"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",12279,"2025-09-10T12:56:28.261Z","10. 09. 2025 14:56"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",13428,"2025-09-10T12:56:41.786Z","10. 09. 2025 14:56"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Interní doklady","passed",8791,"2025-09-10T12:56:50.671Z","10. 09. 2025 14:56"
"Registration company Fyzická osoba - IO - accounting @low","Delete company","passed",12484,"2025-09-10T12:57:03.216Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Registration company","passed",12296,"2025-09-10T12:57:16.881Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account in bank module exist","passed",6705,"2025-09-10T12:57:23.631Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Folder for bank account exist in DMS module","passed",9286,"2025-09-10T12:57:32.965Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Bank account is set in invoice setting","passed",2258,"2025-09-10T12:57:35.331Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",3029,"2025-09-10T12:57:38.404Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",1004,"2025-09-10T12:57:39.436Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Invoice buttons exist","passed",1132,"2025-09-10T12:57:40.616Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",13491,"2025-09-10T12:57:54.180Z","10. 09. 2025 14:57"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12973,"2025-09-10T12:58:07.254Z","10. 09. 2025 14:58"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",13245,"2025-09-10T12:58:20.603Z","10. 09. 2025 14:58"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",13082,"2025-09-10T12:58:33.818Z","10. 09. 2025 14:58"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",11933,"2025-09-10T12:58:45.900Z","10. 09. 2025 14:58"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12067,"2025-09-10T12:58:58.100Z","10. 09. 2025 14:58"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Test pro složku: Interní doklady","passed",11120,"2025-09-10T12:59:09.313Z","10. 09. 2025 14:59"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Delete company","passed",12361,"2025-09-10T12:59:21.720Z","10. 09. 2025 14:59"
"Incomplete company registration delete company part 2 @high @middle @low","Verify deposit and final invoice was send on the email","failed",5729,"2025-09-10T12:59:29.700Z","10. 09. 2025 14:59"
"Incomplete company registration delete company part 2 @high @middle @low","Verify invoice and payment is still in the email","failed",5788,"2025-09-10T12:59:35.543Z","10. 09. 2025 14:59"
"Incomplete company registration delete company part 2 @high @middle @low","Payment is payed","passed",8338,"2025-09-10T12:59:45.058Z","10. 09. 2025 14:59"
"Incomplete company registration delete company part 2 @high @middle @low","Verify user have invoice in the tariff and can be downloaded","failed",10330,"2025-09-10T12:59:55.428Z","10. 09. 2025 14:59"
"Incomplete company registration delete company part 2 @high @middle @low","Verify user have deposit in the tariff and can be downloaded","failed",10397,"2025-09-10T13:00:05.919Z","10. 09. 2025 15:00"
"Incomplete company registration delete company part 2 @high @middle @low","Verify user have final invoice in the tariff and can be downloaded","failed",8614,"2025-09-10T13:00:14.588Z","10. 09. 2025 15:00"
"Incomplete company registration delete company part 2 @high @middle @low","Verify email client is empty if not delete all messages","passed",1385,"2025-09-10T13:00:16.905Z","10. 09. 2025 15:00"
"Incomplete company registration delete company part 2 @high @middle @low","Delete company","passed",11614,"2025-09-10T13:00:29.607Z","10. 09. 2025 15:00"
