# Testování po nasazení vylepšení 38 + 39
"describe","test","status","duration","timestamp","timestampLocal"
"Incomplete company registration delete company @high @middle @low","Verify User have no company","passed",3682,"2025-09-11T13:16:01.264Z","11. 09. 2025 15:16"
"Incomplete company registration delete company @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",8963,"2025-09-11T13:16:10.277Z","11. 09. 2025 15:16"
"Incomplete company registration delete company @high @middle @low","Verify company is lock","passed",8577,"2025-09-11T13:16:18.910Z","11. 09. 2025 15:16"
"Incomplete company registration delete company @high @middle @low","Verify user is redirect to payment page when have only one company and user can choose company","passed",4752,"2025-09-11T13:16:23.701Z","11. 09. 2025 15:16"
"Incomplete company registration delete company @high @middle @low","Verify company can be selected and user is redirected to the payment","passed",4317,"2025-09-11T13:16:28.046Z","11. 09. 2025 15:16"
"Incomplete company registration delete company @high @middle @low","Verify company is deleted","passed",8826,"2025-09-11T13:16:36.929Z","11. 09. 2025 15:16"
"Incomplete company registration delete company part 1 @high @middle @low","Verify User have no company","passed",3217,"2025-09-11T13:16:41.104Z","11. 09. 2025 15:16"
"Incomplete company registration delete company part 1 @high @middle @low","Verify email client is empty if not delete all messages","passed",4046,"2025-09-11T13:16:45.931Z","11. 09. 2025 15:16"
"Incomplete company registration delete company part 1 @high @middle @low","Registers a new company and cancel registration before fill payment detail","passed",11495,"2025-09-11T13:16:58.350Z","11. 09. 2025 15:16"
"Incomplete company registration delete company part 1 @high @middle @low","User can login and use company without payment","passed",15777,"2025-09-11T13:17:14.177Z","11. 09. 2025 15:17"
"Incomplete company registration delete company part 1 @high @middle @low","Verify payment and invoice was send on the email","passed",1607,"2025-09-11T13:17:16.631Z","11. 09. 2025 15:17"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid","passed",8576,"2025-09-11T13:17:26.290Z","11. 09. 2025 15:17"
"Incomplete company registration delete company part 1 @high @middle @low","Verify user have payment in the tariff and payment is unpaid and can be downloaded","failed",8631,"2025-09-11T13:17:34.955Z","11. 09. 2025 15:17"
"Incomplete company registration delete company part 1 @high @middle @low","Verify invoice is in the billing company","passed",9322,"2025-09-11T13:17:44.330Z","11. 09. 2025 15:17"
"Incomplete company registration delete company part 1 @high @middle @low","Pay invoice in tarif module","passed",19278,"2025-09-11T13:18:03.650Z","11. 09. 2025 15:18"
"Incomplete company registration delete company part 1 @high @middle @low","Payment is payed","passed",7977,"2025-09-11T13:18:11.681Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Registration company","passed",12096,"2025-09-11T13:18:24.875Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account in bank module exist","passed",6690,"2025-09-11T13:18:31.598Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Folder for bank account exist in DMS module","passed",8745,"2025-09-11T13:18:40.377Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Bank account is set in invoice setting","passed",1743,"2025-09-11T13:18:42.182Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders are set in invoice setting","passed",2245,"2025-09-11T13:18:44.463Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Path to the DMS folders is set in cashier reception setting","passed",936,"2025-09-11T13:18:45.425Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Invoice buttons exist","passed",1215,"2025-09-11T13:18:46.693Z","11. 09. 2025 15:18"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury vystavené","passed",15873,"2025-09-11T13:19:02.634Z","11. 09. 2025 15:19"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Faktury přijaté","passed",12512,"2025-09-11T13:19:15.259Z","11. 09. 2025 15:19"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Příjmové doklady","passed",13179,"2025-09-11T13:19:28.528Z","11. 09. 2025 15:19"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené v hotovosti","passed",14441,"2025-09-11T13:19:43.039Z","11. 09. 2025 15:19"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Ostatní pohledávky","passed",12271,"2025-09-11T13:19:55.412Z","11. 09. 2025 15:19"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Účtenky - placené kartou","passed",12103,"2025-09-11T13:20:07.607Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Test pro složku: Interní doklady","passed",8206,"2025-09-11T13:20:15.886Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - monthly payer - accounting @high @middle @low","Delete company","passed",12065,"2025-09-11T13:20:27.988Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Registration company","passed",12010,"2025-09-11T13:20:41.083Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account in bank module exist","passed",6983,"2025-09-11T13:20:48.101Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Folder for bank account exist in DMS module","passed",9110,"2025-09-11T13:20:57.244Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Bank account is set in invoice setting","passed",1857,"2025-09-11T13:20:59.167Z","11. 09. 2025 15:20"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders are set in invoice setting","passed",2477,"2025-09-11T13:21:01.678Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1012,"2025-09-11T13:21:02.717Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Invoice buttons exist","passed",1237,"2025-09-11T13:21:04.003Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury vystavené","passed",13251,"2025-09-11T13:21:17.325Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Faktury přijaté","passed",12543,"2025-09-11T13:21:29.955Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Příjmové doklady","passed",12668,"2025-09-11T13:21:42.743Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12814,"2025-09-11T13:21:55.657Z","11. 09. 2025 15:21"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Ostatní pohledávky","passed",12978,"2025-09-11T13:22:08.729Z","11. 09. 2025 15:22"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12462,"2025-09-11T13:22:21.322Z","11. 09. 2025 15:22"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Test pro složku: Interní doklady","passed",8426,"2025-09-11T13:22:29.846Z","11. 09. 2025 15:22"
"Registration company Fyzická osoba - quarterly payer - accounting @low","Delete company","passed",11894,"2025-09-11T13:22:41.783Z","11. 09. 2025 15:22"
"Registration company Fyzická osoba - IO - accounting @low","Registration company","passed",11643,"2025-09-11T13:22:54.517Z","11. 09. 2025 15:22"
"Registration company Fyzická osoba - IO - accounting @low","Bank account in bank module exist","passed",7189,"2025-09-11T13:23:01.748Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Folder for bank account exist in DMS module","passed",9258,"2025-09-11T13:23:11.041Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Bank account is set in invoice setting","passed",1418,"2025-09-11T13:23:12.533Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Path to the DMS folders are set in invoice setting","passed",2386,"2025-09-11T13:23:14.985Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Path to the DMS folders is set in cashier reception setting","passed",1020,"2025-09-11T13:23:16.047Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Invoice buttons exist","passed",1268,"2025-09-11T13:23:17.374Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Faktury vystavené","passed",12897,"2025-09-11T13:23:30.331Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Faktury přijaté","passed",12624,"2025-09-11T13:23:43.033Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Příjmové doklady","passed",13094,"2025-09-11T13:23:56.225Z","11. 09. 2025 15:23"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Účtenky - placené v hotovosti","passed",12988,"2025-09-11T13:24:09.311Z","11. 09. 2025 15:24"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Ostatní pohledávky","passed",12648,"2025-09-11T13:24:22.047Z","11. 09. 2025 15:24"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Účtenky - placené kartou","passed",12591,"2025-09-11T13:24:34.735Z","11. 09. 2025 15:24"
"Registration company Fyzická osoba - IO - accounting @low","Test pro složku: Interní doklady","passed",8518,"2025-09-11T13:24:43.350Z","11. 09. 2025 15:24"
"Registration company Fyzická osoba - IO - accounting @low","Delete company","passed",12004,"2025-09-11T13:24:55.422Z","11. 09. 2025 15:24"
"Registration company Fyzická osoba - neplátce accounting @high @middle @low","Registration company","passed",11904,"2025-09-11T13:25:08.441Z","11. 09. 2025 15:25"
